"Crop Production Statistics",,,,,
,,,,,
"State/Crop/District","Year","Season","Area (Hectare)","Production (Tonnes)","Yield (Tonnes/Hectare)"
"Karnataka",,,,,
"Bajra",,,,,
" 1.BAGALKOTE"," 2008-09","Kharif     ",22009,24287,1.10
," 2009-10","Kharif     ",43613,17323,0.40
," 2010-11","Kharif     ",34045,49726,1.46
," 2011-12","Kharif     ",33222,42396,1.28
," 2012-13","Kharif     ",19091,18227,0.95
," 2013-14","Kharif     ",26519,24211,0.91
," 2014-15","Kharif     ",22021,24288,1.10
," 2015-16","Kharif     ",15898,8669,0.55
," 2016-17","Kharif     ",29342,32809,1.12
," 2017-18","Kharif     ",21826,34150,1.56
," 2018-19","Kharif     ",18210,27887,1.53
" 2.BALLARI"," 2008-09","Kharif     ",12052,7336,0.61
,,"Rabi       ",354,331,0.94
,,"Summer     ",994,1180,1.19
,,"Total",13400,8847,0.66
," 2009-10","Kharif     ",13586,8249,0.61
,,"Rabi       ",116,132,1.14
,,"Summer     ",381,428,1.12
,,"Total",14083,8809,0.63
," 2010-11","Kharif     ",13457,11295,0.84
,,"Rabi       ",84,86,1.02
,,"Summer     ",358,395,1.10
,,"Total",13899,11776,0.85
," 2011-12","Kharif     ",14124,9253,0.66
,,"Rabi       ",522,680,1.30
,,"Summer     ",1702,1937,1.14
,,"Total",16348,11870,0.73
," 2012-13","Kharif     ",20897,16954,0.81
," 2013-14","Kharif     ",17017,17201,1.01
," 2014-15","Kharif     ",15570,16700,1.07
," 2015-16","Kharif     ",13136,12067,0.92
,,"Summer     ",1022,1290,1.26
,,"Total",14158,13357,0.94
," 2016-17","Kharif     ",15771,19837,1.26
,,"Summer     ",274,339,1.24
,,"Total",16045,20176,1.26
," 2017-18","Kharif     ",24180,44587,1.84
,,"Summer     ",290,362,1.25
,,"Total",24470,44949,1.84
," 2018-19","Kharif     ",15137,17256,1.14
,,"Summer     ",395,493,1.25
,,"Total",15532,17749,1.14
" 3.BANGALORE RURAL"," 2008-09","Kharif     ",4,2,0.50
," 2009-10","Kharif     ",4,2,0.50
," 2010-11","Kharif     ",4,4,1.00
," 2011-12","Kharif     ",4,3,0.75
," 2012-13","Kharif     ",5,5,1.00
," 2015-16","Kharif     ",7,5,0.71
," 2016-17","Kharif     ",5,5,1.00
," 2017-18","Kharif     ",1,2,2.00
," 2018-19","Kharif     ",11,10,0.91
" 4.BELAGAVI"," 2008-09","Kharif     ",14131,5753,0.41
," 2009-10","Kharif     ",24305,6290,0.26
," 2010-11","Kharif     ",19149,11639,0.61
," 2011-12","Kharif     ",12459,6619,0.53
," 2012-13","Kharif     ",7579,2657,0.35
," 2013-14","Kharif     ",12444,8204,0.66
," 2014-15","Kharif     ",9256,6146,0.66
," 2015-16","Kharif     ",4433,1579,0.36
,,"Summer     ",102,113,1.11
,,"Total",4535,1692,0.37
