State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Belgaum,Ramdurga,Bajra,28,4,01-Jan-2012
Karnataka,KK,Koppal,Kustagi,Bajra,28,60,01-Jan-2012
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,9,02-Jan-2012
Karnataka,KK,Bellary,Bellary,Bajra,28,1,02-Jan-2012
Karnataka,KK,Bellary,Kottur,Bajra,28,2,02-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,7,02-Jan-2012
Karnataka,KK,Bijapur,Talikot,Bajra,28,20,02-Jan-2012
Karnataka,KK,Gadag,Rona,Bajra,28,1,02-Jan-2012
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,20,02-Jan-2012
Karnataka,KK,Karwar(Uttar Kannad),Siddapur,Bajra,28,14.3,02-Jan-2012
Karnataka,KK,Koppal,Koppal,Bajra,28,17,02-Jan-2012
Karnataka,KK,Koppal,Kustagi,Bajra,28,40,02-Jan-2012
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,12,03-Jan-2012
Karnataka,KK,Bellary,Bellary,Bajra,28,1,03-Jan-2012
Karnataka,KK,Bellary,H.B. Halli,Bajra,28,15,03-Jan-2012
Karnataka,KK,Bellary,Kottur,Bajra,28,4,03-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,8,03-Jan-2012
Karnataka,KK,Bidar,Humanabad,Bajra,28,1,03-Jan-2012
Karnataka,KK,Bijapur,Bijapur,Bajra,28,1,03-Jan-2012
Karnataka,KK,Gadag,Rona,Bajra,28,3,03-Jan-2012
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,41,03-Jan-2012
Karnataka,KK,Karwar(Uttar Kannad),Siddapur,Bajra,28,18.4,03-Jan-2012
Karnataka,KK,Koppal,Kustagi,Bajra,28,143,03-Jan-2012
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,11,04-Jan-2012
Karnataka,KK,Bellary,Kottur,Bajra,28,1,04-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,6,04-Jan-2012
Karnataka,KK,Bidar,Humanabad,Bajra,28,1,04-Jan-2012
Karnataka,KK,Gadag,Rona,Bajra,28,1,04-Jan-2012
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,30,04-Jan-2012
Karnataka,KK,Karwar(Uttar Kannad),Siddapur,Bajra,28,10.4,04-Jan-2012
Karnataka,KK,Koppal,Kustagi,Bajra,28,80,04-Jan-2012
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,2,05-Jan-2012
Karnataka,KK,Bellary,Bellary,Bajra,28,4,05-Jan-2012
Karnataka,KK,Bellary,H.B. Halli,Bajra,28,9,05-Jan-2012
Karnataka,KK,Bellary,Kottur,Bajra,28,1,05-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,7,05-Jan-2012
Karnataka,KK,Bidar,Humanabad,Bajra,28,1,05-Jan-2012
Karnataka,KK,Gadag,Rona,Bajra,28,2,05-Jan-2012
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,40,05-Jan-2012
Karnataka,KK,Karwar(Uttar Kannad),Siddapur,Bajra,28,18,05-Jan-2012
Karnataka,KK,Koppal,Koppal,Bajra,28,11,05-Jan-2012
Karnataka,KK,Koppal,Kustagi,Bajra,28,35,05-Jan-2012
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,5,06-Jan-2012
Karnataka,KK,Bangalore,Bangalore,Bajra,28,2,06-Jan-2012
Karnataka,KK,Bellary,Bellary,Bajra,28,2,06-Jan-2012
Karnataka,KK,Bellary,Kottur,Bajra,28,2,06-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,7,06-Jan-2012
Karnataka,KK,Bijapur,Bijapur,Bajra,28,10,06-Jan-2012
Karnataka,KK,Gadag,Rona,Bajra,28,2,06-Jan-2012
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,31,06-Jan-2012
Karnataka,KK,Karwar(Uttar Kannad),Siddapur,Bajra,28,15.5,06-Jan-2012
Karnataka,KK,Bellary,H.B. Halli,Bajra,28,16,07-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,7,07-Jan-2012
Karnataka,KK,Bidar,Humanabad,Bajra,28,2,07-Jan-2012
Karnataka,KK,Bijapur,Bijapur,Bajra,28,9,07-Jan-2012
Karnataka,KK,Gadag,Rona,Bajra,28,2,07-Jan-2012
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,30,07-Jan-2012
Karnataka,KK,Karwar(Uttar Kannad),Siddapur,Bajra,28,14.4,07-Jan-2012
Karnataka,KK,Koppal,Kustagi,Bajra,28,15,07-Jan-2012
Karnataka,KK,Raichur,Raichur,Bajra,28,2,07-Jan-2012
Karnataka,KK,Belgaum,Ramdurga,Bajra,28,17,08-Jan-2012
Karnataka,KK,Bellary,H.B. Halli,Bajra,28,18,08-Jan-2012
Karnataka,KK,Koppal,Kustagi,Bajra,28,60,08-Jan-2012
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,6,09-Jan-2012
Karnataka,KK,Bangalore,Bangalore,Bajra,28,1,09-Jan-2012
Karnataka,KK,Bellary,Bellary,Bajra,28,2,09-Jan-2012
Karnataka,KK,Bellary,Kottur,Bajra,28,2,09-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,5,09-Jan-2012
Karnataka,KK,Bidar,Bidar,Bajra,28,1,09-Jan-2012
Karnataka,KK,Bijapur,Bijapur,Bajra,28,20,09-Jan-2012
Karnataka,KK,Bijapur,Talikot,Bajra,28,6,09-Jan-2012
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,31,09-Jan-2012
Karnataka,KK,Karwar(Uttar Kannad),Siddapur,Bajra,28,15,09-Jan-2012
Karnataka,KK,Koppal,Koppal,Bajra,28,10,09-Jan-2012
Karnataka,KK,Koppal,Kustagi,Bajra,28,30,09-Jan-2012
Karnataka,KK,Raichur,Raichur,Bajra,28,3,09-Jan-2012
Karnataka,KK,Bagalkot,Hungund,Bajra,28,1,10-Jan-2012
Karnataka,KK,Bellary,Bellary,Bajra,28,7,10-Jan-2012
Karnataka,KK,Bellary,Kottur,Bajra,28,7,10-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,5,10-Jan-2012
Karnataka,KK,Bijapur,Bijapur,Bajra,28,24,10-Jan-2012
Karnataka,KK,Bijapur,Talikot,Bajra,28,10,10-Jan-2012
Karnataka,KK,Gadag,Rona,Bajra,28,3,10-Jan-2012
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,25,10-Jan-2012
Karnataka,KK,Karwar(Uttar Kannad),Siddapur,Bajra,28,14.6,10-Jan-2012
Karnataka,KK,Koppal,Kustagi,Bajra,28,41,10-Jan-2012
Karnataka,KK,Raichur,Sindhanur,Bajra,28,16,10-Jan-2012
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,4,11-Jan-2012
Karnataka,KK,Bagalkot,Hungund,Bajra,28,1,11-Jan-2012
Karnataka,KK,Bangalore,Bangalore,Bajra,28,12,11-Jan-2012
Karnataka,KK,Bellary,Bellary,Bajra,28,1,11-Jan-2012
Karnataka,KK,Bellary,H.B. Halli,Bajra,28,16,11-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,10,11-Jan-2012
Karnataka,KK,Bidar,Humanabad,Bajra,28,1,11-Jan-2012
Karnataka,KK,Bijapur,Talikot,Bajra,28,15,11-Jan-2012
Karnataka,KK,Gadag,Rona,Bajra,28,1,11-Jan-2012
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,20,11-Jan-2012
Karnataka,KK,Karwar(Uttar Kannad),Siddapur,Bajra,28,22.4,11-Jan-2012
Karnataka,KK,Koppal,Kustagi,Bajra,28,30,11-Jan-2012
Karnataka,KK,Bangalore,Bangalore,Bajra,28,2,12-Jan-2012
Karnataka,KK,Bellary,Bellary,Bajra,28,2,12-Jan-2012
Karnataka,KK,Bellary,H.B. Halli,Bajra,28,21,12-Jan-2012
