"Min,Max,Modal Price from Karnataka[Bajra(Pearl Millet/Cumbu)] from 01-Jan-2017To31-Dec-2017 (Total-2572) (Total-2572)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1976,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1510,1510,1510,1-Jan-17
270,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1401,1612,1478,2-Jan-17
448,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1700,2300,2000,2-Jan-17
689,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1250,1521,1320,2-Jan-17
921,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1420,1922,1667,2-Jan-17
1044,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1275,1325,1300,2-Jan-17
1370,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1254,1752,1475,2-Jan-17
1602,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1400,1559,1509,2-Jan-17
1710,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1545,1566,1563,2-Jan-17
1975,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1510,1510,1510,2-Jan-17
2269,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1300,1641,1549,2-Jan-17
2322,Raichur,Manvi,Bajra(Pearl Millet/Cumbu),Other,Medium,1250,1250,1250,2-Jan-17
2397,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1501,1501,1501,2-Jan-17
2409,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1500,1600,1500,2-Jan-17
2519,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1495,1495,1495,2-Jan-17
2572,Koppal,Yalburga,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1200,1200,1200,2-Jan-17
269,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1402,1632,1485,3-Jan-17
447,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1700,2300,2000,3-Jan-17
688,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1250,1400,1350,3-Jan-17
920,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1555,1888,1666,3-Jan-17
1043,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1400,1450,1425,3-Jan-17
1369,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1264,1755,1562,3-Jan-17
1709,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1529,1575,1558,3-Jan-17
1974,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1510,1510,1510,3-Jan-17
