"Crop Production Statistics",,,,,
,,,,,
"State/Crop/District","Year","Season","Area (Hectare)","Production (Tonnes)","Yield (Tonnes/Hectare)"
"Karnataka",,,,,
"Cotton(lint)",,,,"Bales*","Bales/Hectare"
" 1.BAGALKOTE"," 2008-09","Whole Year ",2466,5901,2.39
," 2009-10","Whole Year ",2824,4402,1.56
," 2010-11","Kharif     ",1034,2338,2.26
,,"Rabi       ",1357,1938,1.43
,,"Total",2391,4276,1.79
," 2011-12","Kharif     ",1007,2450,2.43
,,"Rabi       ",874,928,1.06
,,"Total",1881,3378,1.80
," 2012-13","Kharif     ",477,909,1.91
,,"Rabi       ",328,409,1.25
,,"Total",805,1318,1.64
," 2013-14","Kharif     ",606,1795,2.96
,,"Rabi       ",354,653,1.84
,,"Total",960,2448,2.55
," 2014-15","Kharif     ",3299,8996,2.73
,,"Rabi       ",210,334,1.59
,,"Summer     ",350,663,1.89
,,"Total",3859,9993,2.59
," 2015-16","Kharif     ",1618,6401,3.96
,,"Rabi       ",200,239,1.20
,,"Summer     ",2,4,2.00
,,"Total",1820,6644,3.65
," 2016-17","Kharif     ",794,1664,2.10
,,"Rabi       ",210,67,0.32
,,"Total",1004,1731,1.72
," 2017-18","Kharif     ",1389,4859,3.50
,,"Rabi       ",143,108,0.76
,,"Total",1532,4967,3.24
," 2018-19","Kharif     ",1006,1973,1.96
" 2.BALLARI"," 2008-09","Whole Year ",19627,36344,1.85
," 2009-10","Whole Year ",25269,47008,1.86
," 2010-11","Kharif     ",37118,100359,2.70
,,"Rabi       ",7774,20933,2.69
,,"Total",44892,121292,2.70
," 2011-12","Kharif     ",37717,80774,2.14
,,"Rabi       ",4654,7285,1.57
,,"Total",42371,88059,2.08
," 2012-13","Kharif     ",62710,171708,2.74
,,"Rabi       ",1869,2026,1.08
,,"Summer     ",922,2555,2.77
,,"Total",65501,176289,2.69
," 2013-14","Kharif     ",72108,184949,2.56
,,"Rabi       ",1096,2021,1.84
,,"Summer     ",1095,3947,3.60
,,"Total",74299,190917,2.57
," 2014-15","Kharif     ",78646,242150,3.08
,,"Rabi       ",2687,4369,1.63
,,"Summer     ",1010,1913,1.89
,,"Total",82343,248432,3.02
," 2015-16","Kharif     ",65890,142491,2.16
,,"Rabi       ",1171,2716,2.32
,,"Summer     ",989,2095,2.12
,,"Total",68050,147302,2.16
," 2016-17","Kharif     ",48032,133665,2.78
,,"Rabi       ",28,9,0.32
,,"Total",48060,133674,2.78
," 2017-18","Kharif     ",58997,198794,3.37
,,"Rabi       ",164,124,0.76
,,"Total",59161,198918,3.36
," 2018-19","Kharif     ",45465,119916,2.64
,,"Rabi       ",155,74,0.48
,,"Total",45620,119990,2.63
" 3.BANGALORE RURAL"," 2013-14","Kharif     ",2,6,3.00
," 2015-16","Kharif     ",2,4,2.00
," 2018-19","Kharif     ",3,6,2.00
" 4.BELAGAVI"," 2008-09","Whole Year ",20041,38609,1.93
," 2009-10","Whole Year ",30046,63454,2.11
," 2010-11","Kharif     ",37660,83178,2.21
,,"Rabi       ",671,1277,1.90
,,"Total",38331,84455,2.20
," 2011-12","Kharif     ",37618,84884,2.26
,,"Rabi       ",394,744,1.89
,,"Total",38012,85628,2.25
," 2012-13","Kharif     ",22513,41389,1.84
,,"Summer     ",162,449,2.77
,,"Total",22675,41838,1.85
," 2013-14","Kharif     ",29844,83384,2.79
,,"Rabi       ",1256,2316,1.84
,,"Summer     ",265,955,3.60
,,"Total",31365,86655,2.76
," 2014-15","Kharif     ",39811,108785,2.73
,,"Rabi       ",470,749,1.59
,,"Summer     ",29,55,1.90
,,"Total",40310,109589,2.72
," 2015-16","Kharif     ",39429,58828,1.49
,,"Rabi       ",110,132,1.20
,,"Summer     ",39,83,2.13
,,"Total",39578,59043,1.49
," 2016-17","Kharif     ",54634,145320,2.66
,,"Rabi       ",90,29,0.32
,,"Total",54724,145349,2.66
," 2017-18","Kharif     ",30997,101675,3.28
," 2018-19","Kharif     ",63580,167339,2.63
" 5.BENGALURU URBAN"," 2018-19","Kharif     ",14,27,1.93
" 6.BIDAR"," 2008-09","Whole Year ",1384,1270,0.92
," 2009-10","Whole Year ",1165,1115,0.96
," 2010-11","Kharif     ",787,901,1.14
," 2011-12","Kharif     ",632,1286,2.03
," 2012-13","Kharif     ",549,1261,2.30
," 2013-14","Kharif     ",319,945,2.96
," 2014-15","Kharif     ",291,794,2.73
," 2015-16","Kharif     ",283,520,1.84
," 2016-17","Kharif     ",51,107,2.10
," 2017-18","Kharif     ",490,1714,3.50
," 2018-19","Kharif     ",446,875,1.96
