State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Bijapur,Bijapur,Cotton,15,144,01-Jan-2011
Karnataka,KK,Chikmagalur,Tarikere,Cotton,15,71,01-Jan-2011
Karnataka,KK,Chitradurga,Chitradurga,Cotton,15,85,01-Jan-2011
Karnataka,KK,Davangere,Davangere,Cotton,15,1,01-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),Cotton,15,61,01-Jan-2011
Karnataka,KK,Gadag,Laxmeshwar,Cotton,15,1,01-Jan-2011
Karnataka,KK,Gulbarga,Shorapur,Cotton,15,3,01-Jan-2011
Karnataka,KK,Haveri,Hirekerur,Cotton,15,23,01-Jan-2011
Karnataka,KK,Koppal,Yalburga,Cotton,15,1,01-Jan-2011
Karnataka,KK,Raichur,Raichur,Cotton,15,153,01-Jan-2011
Karnataka,KK,Gadag,Nargunda,Cotton,15,109,02-Jan-2011
Karnataka,KK,Belgaum,Soundati,Cotton,15,432,03-Jan-2011
Karnataka,KK,Bellary,Kottur,Cotton,15,224,03-Jan-2011
Karnataka,KK,Chikmagalur,Tarikere,Cotton,15,10,03-Jan-2011
Karnataka,KK,Gadag,Nargunda,Cotton,15,115,03-Jan-2011
Karnataka,KK,Haveri,Ranebennur,Cotton,15,985,03-Jan-2011
Karnataka,KK,Mysore,Santhesargur,Cotton,15,9,03-Jan-2011
Karnataka,KK,Raichur,Raichur,Cotton,15,259,03-Jan-2011
Karnataka,KK,Shimoga,Shimoga,Cotton,15,14,03-Jan-2011
Karnataka,KK,Belgaum,Soundati,Cotton,15,8,04-Jan-2011
Karnataka,KK,Bellary,Bellary,Cotton,15,65,04-Jan-2011
Karnataka,KK,Haveri,Haveri,Cotton,15,12,04-Jan-2011
Karnataka,KK,Bagalkot,Jamakhandi,Cotton,15,1,05-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),Cotton,15,119,05-Jan-2011
Karnataka,KK,Haveri,Ranebennur,Cotton,15,61,05-Jan-2011
Karnataka,KK,Mysore,Santhesargur,Cotton,15,9,05-Jan-2011
Karnataka,KK,Belgaum,Soundati,Cotton,15,529,06-Jan-2011
Karnataka,KK,Bellary,Kottur,Cotton,15,168,06-Jan-2011
Karnataka,KK,Chamrajnagar,Kollegal,Cotton,15,7,06-Jan-2011
Karnataka,KK,Chitradurga,Chitradurga,Cotton,15,236,06-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),Cotton,15,154,06-Jan-2011
Karnataka,KK,Gadag,Nargunda,Cotton,15,40,06-Jan-2011
Karnataka,KK,Haveri,Haveri,Cotton,15,1075,06-Jan-2011
Karnataka,KK,Haveri,Hirekerur,Cotton,15,144,06-Jan-2011
Karnataka,KK,Haveri,Ranebennur,Cotton,15,1102,06-Jan-2011
Karnataka,KK,Raichur,Raichur,Cotton,15,140,06-Jan-2011
Karnataka,KK,Belgaum,Soundati,Cotton,15,9,07-Jan-2011
Karnataka,KK,Chamrajnagar,Kollegal,Cotton,15,6,07-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),Cotton,15,102,07-Jan-2011
Karnataka,KK,Gadag,Nargunda,Cotton,15,289,07-Jan-2011
Karnataka,KK,Haveri,Haveri,Cotton,15,16,07-Jan-2011
Karnataka,KK,Haveri,Ranebennur,Cotton,15,64,07-Jan-2011
Karnataka,KK,Raichur,Raichur,Cotton,15,297,07-Jan-2011
Karnataka,KK,Shimoga,Shimoga,Cotton,15,17,07-Jan-2011
Karnataka,KK,Chitradurga,Chitradurga,Cotton,15,171,08-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),Cotton,15,141,08-Jan-2011
Karnataka,KK,Raichur,Raichur,Cotton,15,205,08-Jan-2011
Karnataka,KK,Belgaum,Soundati,Cotton,15,1050,10-Jan-2011
Karnataka,KK,Bellary,Kottur,Cotton,15,272,10-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),Cotton,15,131,10-Jan-2011
Karnataka,KK,Haveri,Haveri,Cotton,15,1273,10-Jan-2011
Karnataka,KK,Haveri,Ranebennur,Cotton,15,1327,10-Jan-2011
Karnataka,KK,Mysore,Nanjangud,Cotton,15,17,10-Jan-2011
Karnataka,KK,Mysore,Santhesargur,Cotton,15,9,10-Jan-2011
Karnataka,KK,Raichur,Raichur,Cotton,15,348,10-Jan-2011
Karnataka,KK,Raichur,Sindhanur,Cotton,15,5,10-Jan-2011
Karnataka,KK,Shimoga,Shimoga,Cotton,15,38,10-Jan-2011
Karnataka,KK,Bellary,Bellary,Cotton,15,100,11-Jan-2011
Karnataka,KK,Chamrajnagar,Kollegal,Cotton,15,14,11-Jan-2011
Karnataka,KK,Chitradurga,Chitradurga,Cotton,15,316,11-Jan-2011
Karnataka,KK,Hassan,Arasikere,Cotton,15,8,11-Jan-2011
Karnataka,KK,Haveri,Haveri,Cotton,15,8,11-Jan-2011
Karnataka,KK,Raichur,Raichur,Cotton,15,359,11-Jan-2011
Karnataka,KK,Shimoga,Shimoga,Cotton,15,41,11-Jan-2011
Karnataka,KK,Chamrajnagar,Kollegal,Cotton,15,9,12-Jan-2011
Karnataka,KK,Gadag,Nargunda,Cotton,15,211,12-Jan-2011
Karnataka,KK,Raichur,Raichur,Cotton,15,202,12-Jan-2011
Karnataka,KK,Bellary,Kottur,Cotton,15,133,13-Jan-2011
Karnataka,KK,Chamrajnagar,Kollegal,Cotton,15,6,13-Jan-2011
Karnataka,KK,Chikmagalur,Tarikere,Cotton,15,10,13-Jan-2011
Karnataka,KK,Chitradurga,Chitradurga,Cotton,15,195,13-Jan-2011
Karnataka,KK,Gadag,Nargunda,Cotton,15,57,13-Jan-2011
Karnataka,KK,Haveri,Byadagi,Cotton,15,8,13-Jan-2011
Karnataka,KK,Haveri,Hirekerur,Cotton,15,147,13-Jan-2011
Karnataka,KK,Haveri,Ranebennur,Cotton,15,922,13-Jan-2011
Karnataka,KK,Raichur,Raichur,Cotton,15,155,13-Jan-2011
Karnataka,KK,Shimoga,Shimoga,Cotton,15,22,13-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),Cotton,15,40,14-Jan-2011
Karnataka,KK,Gadag,Nargunda,Cotton,15,129,14-Jan-2011
Karnataka,KK,Haveri,Ranebennur,Cotton,15,15,14-Jan-2011
Karnataka,KK,Raichur,Raichur,Cotton,15,29,14-Jan-2011
Karnataka,KK,Bagalkot,Jamakhandi,Cotton,15,2,17-Jan-2011
Karnataka,KK,Belgaum,Soundati,Cotton,15,604,17-Jan-2011
Karnataka,KK,Bellary,Kottur,Cotton,15,234,17-Jan-2011
Karnataka,KK,Bijapur,Bijapur,Cotton,15,298,17-Jan-2011
Karnataka,KK,Chamrajnagar,Kollegal,Cotton,15,8,17-Jan-2011
Karnataka,KK,Davangere,Davangere,Cotton,15,21,17-Jan-2011
