"Min,Max,Modal Price from Karnataka[Cotton] from 01-Jan-2008To31-Dec-2008 (Total-3328) (Total-3328)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
906,Dharwad,Dharwar,Cotton,LH-1556,FAQ,2159,2492,2281,4-Jan-08
907,Dharwad,Dharwar,Cotton,Varalakshmi (Ginned),FAQ,2519,2759,2559,4-Jan-08
1607,Chikmagalur,Kadur,Cotton,Other,FAQ,2000,2200,2105,4-Jan-08
2292,Raichur,Raichur,Cotton,F-1054,FAQ,1649,2181,1910,4-Jan-08
2293,Raichur,Raichur,Cotton,Varalakshmi (Ginned),FAQ,2535,2535,2535,4-Jan-08
3182,Gulbarga,Shorapur,Cotton,Varalakshmi (Ginned),FAQ,2165,2341,2237,4-Jan-08
217,Belgaum,Bailahongal,Cotton,LH-1556,FAQ,2185,2700,2569,5-Jan-08
218,Belgaum,Bailahongal,Cotton,Varalakshmi (Ginned),FAQ,2359,3022,2839,5-Jan-08
519,Bijapur,Bijapur,Cotton,LH-1556,FAQ,2100,2451,2250,5-Jan-08
669,Chitradurga,Chitradurga,Cotton,Varalakshmi (Ginned),FAQ,2387,3017,2705,5-Jan-08
843,Davangere,Davangere,Cotton,MCU 5,FAQ,2362,2401,2386,5-Jan-08
905,Dharwad,Dharwar,Cotton,Varalakshmi (Ginned),FAQ,2539,2675,2639,5-Jan-08
1522,Dharwad,Hubli (Amaragol),Cotton,Varalakshmi (Ginned),FAQ,2109,3025,2430,5-Jan-08
2291,Raichur,Raichur,Cotton,F-1054,FAQ,1755,2250,1900,5-Jan-08
3012,Haveri,Savanur,Cotton,GCH,FAQ,2321,2491,2406,5-Jan-08
3073,Shimoga,Shimoga,Cotton,Varalakshmi (Ginned),FAQ,2099,2969,2781,5-Jan-08
3181,Gulbarga,Shorapur,Cotton,Varalakshmi (Ginned),FAQ,1961,2339,2290,5-Jan-08
3203,Raichur,Sindhanur,Cotton,F-1054,Medium,2200,2200,2200,5-Jan-08
3307,Chikmagalur,Tarikere,Cotton,Other,FAQ,2700,2900,2800,5-Jan-08
1011,Karwar(Uttar Kannad),Haliyala,Cotton,Varalakshmi (Ginned),FAQ,2309,3009,2789,6-Jan-08
1304,Haveri,Hirekerur,Cotton,MCU 5,FAQ,2720,2720,2720,6-Jan-08
1590,Mandya,K.R. Pet,Cotton,Other,Medium,2000,2200,2100,6-Jan-08
3306,Chikmagalur,Tarikere,Cotton,Other,FAQ,2400,2825,2558,6-Jan-08
63,Bidar,Aurad,Cotton,Varalakshmi (Ginned),FAQ,2075,2075,2075,7-Jan-08
518,Bijapur,Bijapur,Cotton,LH-1556,FAQ,2200,2472,2300,7-Jan-08
544,Chamrajnagar,Chamaraj Nagar,Cotton,Other,FAQ,1850,1850,1850,7-Jan-08
842,Davangere,Davangere,Cotton,MCU 5,FAQ,2070,2836,2439,7-Jan-08
903,Dharwad,Dharwar,Cotton,LH-1556,FAQ,2319,2491,2389,7-Jan-08
904,Dharwad,Dharwar,Cotton,Varalakshmi (Ginned),FAQ,2579,2831,2779,7-Jan-08
1256,Haveri,Haveri,Cotton,Varalakshmi (Ginned),Medium,2539,2739,2619,7-Jan-08
1257,Haveri,Haveri,Cotton,GCH,Medium,2289,2589,2429,7-Jan-08
1318,Davangere,Honnali,Cotton,Varalakshmi (Ginned),FAQ,0,2675,2675,7-Jan-08
1521,Dharwad,Hubli (Amaragol),Cotton,Varalakshmi (Ginned),FAQ,2189,3005,2419,7-Jan-08
1589,Bagalkot,Jamakhandi,Cotton,R-51 (Ginned),FAQ,1850,2100,2000,7-Jan-08
1764,Bellary,Kottur,Cotton,GCH,Medium,1982,2618,2460,7-Jan-08
1989,Gadag,Laxmeshwar,Cotton,GCH,FAQ,1874,2179,1906,7-Jan-08
2054,Mysore,Nanjangud,Cotton,Other,FAQ,1210,0,1210,7-Jan-08
2290,Raichur,Raichur,Cotton,F-1054,FAQ,1875,2525,2150,7-Jan-08
2754,Haveri,Ranebennur,Cotton,MCU 5,Medium,2410,2450,2425,7-Jan-08
2755,Haveri,Ranebennur,Cotton,Varalakshmi (Ginned),Medium,2600,3082,2800,7-Jan-08
