"Crop Production Statistics",,,,,
,,,,,
"State/Crop/District","Year","Season","Area (Hectare)","Production (Tonnes)","Yield (Tonnes/Hectare)"
"Karnataka",,,,,
"Moong(Green Gram)",,,,,
" 1.BAGALKOTE"," 2008-09","Kharif     ",19906,321,0.02
," 2009-10","Kharif     ",36714,4883,0.13
," 2010-11","Kharif     ",51675,7806,0.15
," 2011-12","Kharif     ",42815,7443,0.17
," 2012-13","Kharif     ",925,48,0.05
," 2013-14","Kharif     ",37597,4750,0.13
," 2014-15","Kharif     ",22974,4081,0.18
," 2015-16","Kharif     ",21067,1081,0.05
," 2016-17","Kharif     ",41100,8941,0.22
," 2017-18","Kharif     ",39021,4930,0.13
," 2018-19","Kharif     ",40834,8534,0.21
" 2.BALLARI"," 2008-09","Kharif     ",1075,88,0.08
,,"Rabi       ",50,13,0.26
,,"Total",1125,101,0.09
," 2009-10","Kharif     ",1319,278,0.21
,,"Rabi       ",15,4,0.27
,,"Total",1334,282,0.21
," 2010-11","Kharif     ",469,105,0.22
,,"Rabi       ",26,7,0.27
,,"Total",495,112,0.23
," 2011-12","Kharif     ",273,51,0.19
,,"Rabi       ",5,2,0.40
,,"Total",278,53,0.19
," 2012-13","Kharif     ",116,35,0.30
,,"Rabi       ",94,22,0.23
,,"Total",210,57,0.27
," 2013-14","Kharif     ",118,30,0.25
,,"Rabi       ",8,2,0.25
,,"Total",126,32,0.25
," 2014-15","Kharif     ",76,12,0.16
,,"Rabi       ",2,1,0.50
,,"Total",78,13,0.17
," 2015-16","Kharif     ",285,41,0.14
,,"Summer     ",13,4,0.31
,,"Total",298,45,0.15
," 2016-17","Kharif     ",264,52,0.20
," 2018-19","Kharif     ",326,116,0.36
,,"Rabi       ",7,2,0.29
,,"Total",333,118,0.35
" 3.BANGALORE RURAL"," 2008-09","Kharif     ",14,2,0.14
," 2009-10","Kharif     ",6,1,0.17
," 2010-11","Kharif     ",23,6,0.26
," 2011-12","Kharif     ",10,3,0.30
," 2012-13","Kharif     ",5,2,0.40
," 2013-14","Kharif     ",11,3,0.27
," 2014-15","Kharif     ",7,1,0.14
," 2015-16","Kharif     ",3,,0.00
," 2016-17","Kharif     ",11,3,0.27
," 2018-19","Kharif     ",7,2,0.29
" 4.BELAGAVI"," 2008-09","Kharif     ",27697,2473,0.09
,,"Rabi       ",104,27,0.26
,,"Total",27801,2500,0.09
," 2009-10","Kharif     ",25311,3342,0.13
,,"Rabi       ",158,41,0.26
,,"Total",25469,3383,0.13
," 2010-11","Kharif     ",20351,4853,0.24
,,"Rabi       ",159,42,0.26
,,"Total",20510,4895,0.24
," 2011-12","Kharif     ",16954,4123,0.24
,,"Rabi       ",94,31,0.33
,,"Total",17048,4154,0.24
," 2012-13","Kharif     ",4025,792,0.20
,,"Rabi       ",55,13,0.24
,,"Total",4080,805,0.20
," 2013-14","Kharif     ",16191,3768,0.23
,,"Rabi       ",66,17,0.26
,,"Total",16257,3785,0.23
," 2014-15","Kharif     ",25848,4616,0.18
,,"Rabi       ",65,21,0.32
,,"Total",25913,4637,0.18
," 2015-16","Kharif     ",32378,2891,0.09
,,"Rabi       ",39,12,0.31
,,"Total",32417,2903,0.09
," 2016-17","Kharif     ",40138,12126,0.30
,,"Rabi       ",38,3,0.08
,,"Total",40176,12129,0.30
," 2017-18","Kharif     ",30813,10158,0.33
,,"Rabi       ",8,1,0.13
,,"Total",30821,10159,0.33
," 2018-19","Kharif     ",54955,30176,0.55
,,"Rabi       ",8,2,0.25
,,"Total",54963,30178,0.55
" 5.BENGALURU URBAN"," 2008-09","Kharif     ",49,7,0.14
," 2009-10","Kharif     ",50,6,0.12
," 2010-11","Kharif     ",49,13,0.27
," 2011-12","Kharif     ",28,7,0.25
," 2012-13","Kharif     ",12,4,0.33
,,"Rabi       ",2,,0.00
,,"Total",14,4,0.29
," 2013-14","Kharif     ",21,5,0.24
,,"Rabi       ",4,1,0.25
,,"Total",25,6,0.24
," 2014-15","Kharif     ",13,3,0.23
," 2015-16","Kharif     ",14,2,0.14
," 2016-17","Kharif     ",22,6,0.27
," 2017-18","Kharif     ",13,4,0.31
," 2018-19","Kharif     ",5,2,0.40
" 6.BIDAR"," 2008-09","Kharif     ",49123,4153,0.08
," 2009-10","Kharif     ",42498,283,0.01
," 2010-11","Kharif     ",45325,13004,0.29
," 2011-12","Kharif     ",27097,8057,0.30
," 2012-13","Kharif     ",42864,26387,0.62
," 2013-14","Kharif     ",35857,15295,0.43
," 2014-15","Kharif     ",29743,5990,0.20
," 2015-16","Kharif     ",29955,2675,0.09
," 2016-17","Kharif     ",37964,19187,0.51
," 2017-18","Kharif     ",34524,26763,0.78
," 2018-19","Kharif     ",26461,13298,0.50
" 7.CHAMARAJANAGARA"," 2008-09","Kharif     ",1569,495,0.32
,,"Rabi       ",72,18,0.25
,,"Total",1641,513,0.31
," 2009-10","Kharif     ",1905,1397,0.73
,,"Rabi       ",41,11,0.27
,,"Total",1946,1408,0.72
," 2010-11","Kharif     ",2242,941,0.42
