State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,44,01-Jan-2011
Karnataka,KK,Bidar,Bidar,GreenGram,9,1,01-Jan-2011
Karnataka,KK,Dharwad,Dharwar,GreenGram,9,3,01-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),GreenGram,9,3,01-Jan-2011
Karnataka,KK,Gadag,Gadag,GreenGram,9,68,01-Jan-2011
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,1,01-Jan-2011
Karnataka,KK,Mysore,Mysore (Bandipalya),GreenGram,9,2,01-Jan-2011
Karnataka,KK,Bagalkot,Bagalakot,GreenGram,9,42,03-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,52,03-Jan-2011
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,3,03-Jan-2011
Karnataka,KK,Mysore,Mysore (Bandipalya),GreenGram,9,20,03-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,13,05-Jan-2011
Karnataka,KK,Bidar,Bidar,GreenGram,9,15,05-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),GreenGram,9,3,05-Jan-2011
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,11,05-Jan-2011
Karnataka,KK,Bidar,Bidar,GreenGram,9,16,06-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),GreenGram,9,4,06-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,32,07-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),GreenGram,9,5,07-Jan-2011
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,3,07-Jan-2011
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,7,08-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,219,10-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),GreenGram,9,10,10-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,52,11-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,58,12-Jan-2011
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,10,12-Jan-2011
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,1,12-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,13,13-Jan-2011
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,1,13-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,47,14-Jan-2011
Karnataka,KK,Bagalkot,Bagalakot,GreenGram,9,33,17-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,177,17-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),GreenGram,9,2,17-Jan-2011
Karnataka,KK,Gadag,Gadag,GreenGram,9,71,17-Jan-2011
Karnataka,KK,Gadag,Laxmeshwar,GreenGram,9,1,17-Jan-2011
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,5,17-Jan-2011
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,1,17-Jan-2011
Karnataka,KK,Mysore,Mysore (Bandipalya),GreenGram,9,32,17-Jan-2011
Karnataka,KK,Bagalkot,Bagalakot,GreenGram,9,1,18-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,6,18-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),GreenGram,9,3,18-Jan-2011
Karnataka,KK,Gadag,Gadag,GreenGram,9,38,18-Jan-2011
Karnataka,KK,Gadag,Laxmeshwar,GreenGram,9,1,18-Jan-2011
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,5,18-Jan-2011
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,3,18-Jan-2011
Karnataka,KK,Mysore,Mysore (Bandipalya),GreenGram,9,25,18-Jan-2011
Karnataka,KK,Bagalkot,Bagalakot,GreenGram,9,2,19-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,64,19-Jan-2011
Karnataka,KK,Bidar,Bidar,GreenGram,9,2,19-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),GreenGram,9,1,19-Jan-2011
Karnataka,KK,Gadag,Gadag,GreenGram,9,61,19-Jan-2011
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,5,19-Jan-2011
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,3,19-Jan-2011
Karnataka,KK,Bagalkot,Bagalakot,GreenGram,9,1,20-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,62,20-Jan-2011
Karnataka,KK,Dharwad,Dharwar,GreenGram,9,9,20-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),GreenGram,9,6,20-Jan-2011
Karnataka,KK,Gadag,Gadag,GreenGram,9,38,20-Jan-2011
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,4,20-Jan-2011
Karnataka,KK,Bagalkot,Bagalakot,GreenGram,9,8,21-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,47,21-Jan-2011
Karnataka,KK,Gadag,Gadag,GreenGram,9,20,21-Jan-2011
Karnataka,KK,Gadag,Laxmeshwar,GreenGram,9,1,21-Jan-2011
Karnataka,KK,Gadag,Nargunda,GreenGram,9,20,21-Jan-2011
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,4,21-Jan-2011
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,2,21-Jan-2011
Karnataka,KK,Mysore,Mysore (Bandipalya),GreenGram,9,22,21-Jan-2011
Karnataka,KK,Raichur,Lingasugur,GreenGram,9,17,21-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,19,22-Jan-2011
Karnataka,KK,Bagalkot,Bagalakot,GreenGram,9,4,24-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,49,24-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),GreenGram,9,5,24-Jan-2011
Karnataka,KK,Gadag,Laxmeshwar,GreenGram,9,3,24-Jan-2011
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,4,24-Jan-2011
Karnataka,KK,Mysore,Mysore (Bandipalya),GreenGram,9,40,24-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,51,25-Jan-2011
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,5,25-Jan-2011
Karnataka,KK,Gadag,Laxmeshwar,GreenGram,9,1,27-Jan-2011
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,12,27-Jan-2011
Karnataka,KK,Mysore,Mysore (Bandipalya),GreenGram,9,12,27-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,16,28-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),GreenGram,9,5,28-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,16,29-Jan-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,21,31-Jan-2011
Karnataka,KK,Dharwad,Hubli (Amaragol),GreenGram,9,2,31-Jan-2011
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,5,31-Jan-2011
Karnataka,KK,Bagalkot,Bagalakot,GreenGram,9,13,01-Feb-2011
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,30,01-Feb-2011
Karnataka,KK,Gadag,Gadag,GreenGram,9,55,01-Feb-2011
