"Min,Max,Modal Price from Karnataka[Green Gram (Moong)(Whole)] from 01-Jan-2013To31-Dec-2013 (Total-1328) (Total-1328)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
506,Dharwad,Dharwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,4500,4800,4650,1-Jan-13
1328,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,4655,5025,4725,1-Jan-13
444,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,4495,4990,4745,1-Jan-13
698,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,4401,4953,4775,1-Jan-13
620,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2365,5110,4800,1-Jan-13
379,Bidar,Bhalki,Green Gram (Moong)(Whole),Green (Whole),FAQ,4405,5010,4801,1-Jan-13
959,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,5014,5014,5014,1-Jan-13
1262,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,5100,6600,5850,1-Jan-13
254,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5800,6800,6000,1-Jan-13
468,Bijapur,Bijapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,3800,4200,4000,2-Jan-13
697,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,4501,4802,4684,2-Jan-13
443,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,4196,4980,4778,2-Jan-13
378,Bidar,Bhalki,Green Gram (Moong)(Whole),Green (Whole),Medium,4505,5050,4801,2-Jan-13
958,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,5039,5286,5286,2-Jan-13
253,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5800,6800,6000,2-Jan-13
1036,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,6200,6600,6300,2-Jan-13
701,Chamrajnagar,Gundlupet,Green Gram (Moong)(Whole),Small,FAQ,3200,3200,3200,3-Jan-13
290,Shimoga,Bhadravathi,Green Gram (Moong)(Whole),Green (Whole),FAQ,3750,3750,3750,3-Jan-13
700,Chamrajnagar,Gundlupet,Green Gram (Moong)(Whole),Green (Whole),FAQ,4400,4400,4400,3-Jan-13
442,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,3100,4945,4600,3-Jan-13
619,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2325,4831,4700,3-Jan-13
957,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,4796,4796,4796,3-Jan-13
696,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,4601,5001,4811,3-Jan-13
1327,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,4611,5259,4925,3-Jan-13
1261,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,5900,6400,6150,3-Jan-13
1278,Karwar(Uttar Kannad),Siddapur,Green Gram (Moong)(Whole),Other,FAQ,3650,4000,3825,4-Jan-13
695,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,4501,5005,4811,4-Jan-13
441,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,4425,4963,4838,4-Jan-13
377,Bidar,Bhalki,Green Gram (Moong)(Whole),Green (Whole),Medium,4850,5070,5001,4-Jan-13
1326,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,5225,5225,5225,4-Jan-13
505,Dharwad,Dharwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,5900,5900,5900,4-Jan-13
252,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5800,6800,6000,4-Jan-13
1260,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,5800,6509,6155,4-Jan-13
1035,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,6000,6600,6300,4-Jan-13
891,Udupi,Kundapura,Green Gram (Moong)(Whole),Green (Whole),FAQ,6367,6367,6367,4-Jan-13
440,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,3700,4920,4725,5-Jan-13
694,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,4605,5052,4875,5-Jan-13
251,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5800,6800,6000,5-Jan-13
1259,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,5800,6450,6125,5-Jan-13
1034,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,6000,6600,6300,5-Jan-13
618,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2022,2022,2022,7-Jan-13
467,Bijapur,Bijapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,4000,4500,4200,7-Jan-13
439,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,4400,4700,4600,7-Jan-13
376,Bidar,Bhalki,Green Gram (Moong)(Whole),Green (Whole),Medium,4510,4801,4701,7-Jan-13
722,Bellary,Hoovinahadagali,Green Gram (Moong)(Whole),Green (Whole),FAQ,4800,4800,4800,7-Jan-13
693,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,4701,5101,4951,7-Jan-13
250,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5800,6800,6000,7-Jan-13
1258,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,5950,6400,6175,7-Jan-13
890,Udupi,Kundapura,Green Gram (Moong)(Whole),Green (Whole),FAQ,6243,6243,6243,7-Jan-13
617,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2035,5055,3800,8-Jan-13
438,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,4135,4856,4525,8-Jan-13
692,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,4601,5105,4811,8-Jan-13
1325,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,4711,5316,5268,8-Jan-13
249,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5800,6800,6000,8-Jan-13
1257,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,5800,6400,6100,8-Jan-13
1075,Raichur,Raichur,Green Gram (Moong)(Whole),Green (Whole),FAQ,2219,2219,2219,9-Jan-13
466,Bijapur,Bijapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,3800,4200,4000,9-Jan-13
616,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2011,4870,4200,9-Jan-13
437,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,4100,4800,4500,9-Jan-13
504,Dharwad,Dharwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,4551,4551,4551,9-Jan-13
691,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,4305,4925,4635,9-Jan-13
1324,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,5232,5232,5232,9-Jan-13
1033,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,5500,6300,5900,9-Jan-13
248,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5800,6800,6000,9-Jan-13
465,Bijapur,Bijapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,3800,4500,4000,10-Jan-13
856,Koppal,Koppal,Green Gram (Moong)(Whole),Medium,FAQ,4010,4010,4010,10-Jan-13
615,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2060,4709,4300,10-Jan-13
436,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,4100,4971,4600,10-Jan-13
