"Min,Max,Modal Price from Karnataka[Green Gram (Moong)(Whole)] from 01-Jan-2012To31-Dec-2012 (Total-2491) (Total-2491)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
413,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,3600,4800,4130,2-Jan-12
569,Bidar,Bhalki,Green Gram (Moong)(Whole),Green (Whole),Medium,4001,4302,4201,2-Jan-12
668,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,3595,4170,3995,2-Jan-12
1137,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2465,5147,4500,2-Jan-12
1273,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,3301,3702,3502,2-Jan-12
1407,Dharwad,Hubli (Amaragol),Green Gram (Moong)(Whole),Green (Whole),FAQ,1851,4156,3326,2-Jan-12
1759,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,2306,2668,2668,2-Jan-12
2350,Karwar(Uttar Kannad),Siddapur,Green Gram (Moong)(Whole),Other,FAQ,3500,3500,3500,2-Jan-12
2491,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,3096,3966,3469,2-Jan-12
137,Bagalkot,Bagalakot,Green Gram (Moong)(Whole),Green (Whole),FAQ,4255,4255,4255,3-Jan-12
412,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,3600,4800,4130,3-Jan-12
568,Bidar,Bhalki,Green Gram (Moong)(Whole),Green (Whole),Medium,4001,4290,4105,3-Jan-12
667,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,3575,4162,4008,3-Jan-12
1272,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,3401,3852,3611,3-Jan-12
1406,Dharwad,Hubli (Amaragol),Green Gram (Moong)(Whole),Green (Whole),FAQ,3272,3520,3520,3-Jan-12
1758,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,2009,2329,2329,3-Jan-12
1964,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,5000,6500,5700,3-Jan-12
2355,Belgaum,Soundati,Green Gram (Moong)(Whole),Green (Whole),FAQ,3200,4110,3700,3-Jan-12
2490,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,3011,4352,4162,3-Jan-12
411,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,3600,4800,4130,4-Jan-12
567,Bidar,Bhalki,Green Gram (Moong)(Whole),Green (Whole),Medium,4005,4460,4401,4-Jan-12
666,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,3635,4220,4114,4-Jan-12
880,Dharwad,Dharwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,2800,3100,2950,4-Jan-12
1271,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,3405,3842,3601,4-Jan-12
1757,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,3560,3560,3560,4-Jan-12
2349,Karwar(Uttar Kannad),Siddapur,Green Gram (Moong)(Whole),Other,FAQ,2900,2900,2900,4-Jan-12
2489,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,3011,3850,3850,4-Jan-12
136,Bagalkot,Bagalakot,Green Gram (Moong)(Whole),Green (Whole),Medium,2300,2600,2600,5-Jan-12
410,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,3600,4800,4130,5-Jan-12
566,Bidar,Bhalki,Green Gram (Moong)(Whole),Green (Whole),Medium,4005,4350,4101,5-Jan-12
665,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,3980,4411,4295,5-Jan-12
879,Dharwad,Dharwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,3050,3050,3050,5-Jan-12
1136,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2455,4901,4500,5-Jan-12
1270,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,3411,3858,3602,5-Jan-12
1405,Dharwad,Hubli (Amaragol),Green Gram (Moong)(Whole),Green (Whole),FAQ,1669,3500,3229,5-Jan-12
1756,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,3809,3809,3809,5-Jan-12
1963,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,5000,6500,5700,5-Jan-12
2354,Belgaum,Soundati,Green Gram (Moong)(Whole),Green (Whole),FAQ,3260,4060,3619,5-Jan-12
2488,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,3009,4264,3989,5-Jan-12
409,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,3600,4800,4130,6-Jan-12
664,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,3695,4200,3990,6-Jan-12
878,Dharwad,Dharwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,3000,3100,3050,6-Jan-12
1135,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2460,5011,4500,6-Jan-12
