"Crop Production Statistics",,,,,
,,,,,
"State/Crop/District","Year","Season","Area (Hectare)","Production (Tonnes)","Yield (Tonnes/Hectare)"
"Karnataka",,,,,
"Groundnut",,,,,
" 1.BAGALKOTE"," 2008-09","Kharif     ",2182,1366,0.63
,,"Rabi       ",16605,16611,1.00
,,"Total",18787,17977,0.96
," 2009-10","Kharif     ",6090,1789,0.29
,,"Rabi       ",17718,20266,1.14
,,"Total",23808,22055,0.93
," 2010-11","Kharif     ",3633,2564,0.71
,,"Rabi       ",17639,25136,1.43
,,"Total",21272,27700,1.30
," 2011-12","Kharif     ",3782,1945,0.51
,,"Rabi       ",22893,25946,1.13
,,"Total",26675,27891,1.05
," 2012-13","Kharif     ",1306,721,0.55
,,"Summer     ",26362,27749,1.05
,,"Total",27668,28470,1.03
," 2013-14","Kharif     ",2082,1454,0.70
,,"Summer     ",26190,26747,1.02
,,"Total",28272,28201,1.00
," 2014-15","Kharif     ",1406,1344,0.96
,,"Summer     ",25540,26398,1.03
,,"Total",26946,27742,1.03
," 2015-16","Kharif     ",723,662,0.92
,,"Summer     ",25610,23137,0.90
,,"Total",26333,23799,0.90
," 2016-17","Kharif     ",1390,1158,0.83
,,"Summer     ",24586,33307,1.35
,,"Total",25976,34465,1.33
," 2017-18","Kharif     ",1271,999,0.79
,,"Summer     ",27062,41057,1.52
,,"Total",28333,42056,1.48
," 2018-19","Kharif     ",2886,2712,0.94
,,"Summer     ",27934,27678,0.99
,,"Total",30820,30390,0.99
" 2.BALLARI"," 2008-09","Kharif     ",62958,16648,0.26
,,"Rabi       ",8967,7437,0.83
,,"Total",71925,24085,0.33
," 2009-10","Kharif     ",62079,16191,0.26
,,"Rabi       ",8853,7233,0.82
,,"Total",70932,23424,0.33
," 2010-11","Kharif     ",63596,20851,0.33
,,"Rabi       ",8667,6669,0.77
,,"Total",72263,27520,0.38
," 2011-12","Kharif     ",56185,26561,0.47
,,"Rabi       ",10618,8433,0.79
,,"Total",66803,34994,0.52
," 2012-13","Kharif     ",49598,33595,0.68
,,"Rabi       ",1322,2234,1.69
,,"Summer     ",9204,6820,0.74
,,"Total",60124,42649,0.71
," 2013-14","Kharif     ",45709,56364,1.23
,,"Summer     ",8042,8465,1.05
,,"Total",53751,64829,1.21
," 2014-15","Kharif     ",47214,46513,0.99
,,"Summer     ",7591,6844,0.90
,,"Total",54805,53357,0.97
," 2015-16","Kharif     ",42025,38726,0.92
,,"Summer     ",7737,7857,1.02
,,"Total",49762,46583,0.94
," 2016-17","Kharif     ",33385,40438,1.21
,,"Summer     ",2997,2300,0.77
,,"Total",36382,42738,1.17
," 2017-18","Kharif     ",53312,80528,1.51
,,"Summer     ",7104,9610,1.35
,,"Total",60416,90138,1.49
," 2018-19","Kharif     ",55751,61914,1.11
,,"Summer     ",5051,5369,1.06
,,"Total",60802,67283,1.11
" 3.BANGALORE RURAL"," 2008-09","Kharif     ",693,699,1.01
,,"Rabi       ",22,17,0.77
,,"Total",715,716,1.00
," 2009-10","Kharif     ",450,297,0.66
,,"Rabi       ",35,27,0.77
,,"Total",485,324,0.67
," 2010-11","Kharif     ",475,503,1.06
,,"Rabi       ",66,58,0.88
,,"Total",541,561,1.04
," 2011-12","Kharif     ",410,540,1.32
,,"Rabi       ",28,23,0.82
,,"Total",438,563,1.29
," 2012-13","Kharif     ",475,254,0.53
,,"Rabi       ",58,98,1.69
,,"Total",533,352,0.66
," 2013-14","Kharif     ",228,103,0.45
,,"Summer     ",41,37,0.90
,,"Total",269,140,0.52
," 2014-15","Kharif     ",275,155,0.56
,,"Summer     ",23,20,0.87
,,"Total",298,175,0.59
," 2015-16","Kharif     ",169,212,1.25
,,"Summer     ",6,4,0.67
,,"Total",175,216,1.23
," 2016-17","Kharif     ",123,39,0.32
,,"Summer     ",2,2,1.00
,,"Total",125,41,0.33
," 2017-18","Kharif     ",112,97,0.87
,,"Summer     ",3,3,1.00
,,"Total",115,100,0.87
," 2018-19","Kharif     ",158,103,0.65
,,"Summer     ",4,3,0.75
,,"Total",162,106,0.65
" 4.BELAGAVI"," 2008-09","Kharif     ",45876,26501,0.58
,,"Rabi       ",5095,3712,0.73
,,"Total",50971,30213,0.59
," 2009-10","Kharif     ",43801,24052,0.55
,,"Rabi       ",7862,7364,0.94
,,"Total",51663,31416,0.61
," 2010-11","Kharif     ",37042,28233,0.76
,,"Rabi       ",5908,5607,0.95
,,"Total",42950,33840,0.79
," 2011-12","Kharif     ",31261,26661,0.85
,,"Rabi       ",4992,5430,1.09
,,"Total",36253,32091,0.89
," 2012-13","Kharif     ",32327,22972,0.71
,,"Rabi       ",3076,5199,1.69
,,"Summer     ",2024,1457,0.72
,,"Total",37427,29628,0.79
," 2013-14","Kharif     ",34262,34339,1.00
,,"Summer     ",5261,4868,0.93
,,"Total",39523,39207,0.99
," 2014-15","Kharif     ",33675,30904,0.92
,,"Summer     ",4050,3690,0.91
,,"Total",37725,34594,0.92
," 2015-16","Kharif     ",27757,13501,0.49
,,"Summer     ",9662,7839,0.81
,,"Total",37419,21340,0.57
," 2016-17","Kharif     ",28371,26252,0.93
,,"Summer     ",6986,8409,1.20
,,"Total",35357,34661,0.98
," 2017-18","Kharif     ",27087,33144,1.22
,,"Summer     ",5545,6790,1.22
,,"Total",32632,39934,1.22
," 2018-19","Kharif     ",25993,27187,1.05
,,"Summer     ",5107,5249,1.03
,,"Total",31100,32436,1.04
" 5.BENGALURU URBAN"," 2008-09","Kharif     ",146,53,0.36
,,"Rabi       ",18,14,0.78
,,"Total",164,67,0.41
," 2009-10","Kharif     ",155,75,0.48
,,"Rabi       ",12,9,0.75
,,"Total",167,84,0.50
," 2010-11","Kharif     ",114,78,0.68
,,"Rabi       ",25,22,0.88
,,"Total",139,100,0.72
," 2011-12","Kharif     ",172,109,0.63
,,"Rabi       ",18,17,0.94
,,"Total",190,126,0.66
," 2012-13","Kharif     ",100,56,0.56
," 2013-14","Kharif     ",48,41,0.85
,,"Summer     ",7,6,0.86
,,"Total",55,47,0.85
," 2014-15","Kharif     ",84,61,0.73
," 2015-16","Kharif     ",68,46,0.68
,,"Summer     ",4,3,0.75
,,"Total",72,49,0.68
," 2016-17","Kharif     ",40,20,0.50
,,"Summer     ",2,2,1.00
,,"Total",42,22,0.52
," 2017-18","Kharif     ",78,86,1.10
,,"Summer     ",4,5,1.25
,,"Total",82,91,1.11
," 2018-19","Kharif     ",86,59,0.69
,,"Summer     ",1,1,1.00
,,"Total",87,60,0.69
" 6.BIDAR"," 2008-09","Kharif     ",434,169,0.39
,,"Rabi       ",680,535,0.79
,,"Total",1114,704,0.63
," 2009-10","Kharif     ",542,207,0.38
,,"Rabi       ",594,471,0.79
,,"Total",1136,678,0.60
," 2010-11","Kharif     ",280,110,0.39
,,"Rabi       ",587,516,0.88
,,"Total",867,626,0.72
," 2011-12","Kharif     ",253,145,0.57
,,"Rabi       ",607,494,0.81
,,"Total",860,639,0.74
," 2012-13","Kharif     ",405,198,0.49
,,"Rabi       ",329,556,1.69
,,"Summer     ",379,311,0.82
,,"Total",1113,1065,0.96
," 2013-14","Kharif     ",363,172,0.47
,,"Summer     ",574,511,0.89
,,"Total",937,683,0.73
," 2014-15","Kharif     ",243,62,0.26
,,"Summer     ",102,87,0.85
,,"Total",345,149,0.43
," 2015-16","Kharif     ",246,38,0.15
,,"Summer     ",52,37,0.71
,,"Total",298,75,0.25
," 2016-17","Kharif     ",30,16,0.53
