State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Bagalkot,Bagalakot,Groundnut,10,2,01-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Groundnut,10,2,01-Jan-2010
Karnataka,KK,Bellary,Bellary,Groundnut,10,19,01-Jan-2010
Karnataka,KK,Bellary,Kottur,Groundnut,10,108,01-Jan-2010
Karnataka,KK,Chamrajnagar,Gundlupet,Groundnut,10,1,01-Jan-2010
Karnataka,KK,Chitradurga,Challakere,Groundnut,10,60,01-Jan-2010
Karnataka,KK,Chitradurga,Chitradurga,Groundnut,10,37,01-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Groundnut,10,4,01-Jan-2010
Karnataka,KK,Gadag,Gadag,Groundnut,10,42,01-Jan-2010
Karnataka,KK,Gadag,Laxmeshwar,Groundnut,10,90,01-Jan-2010
Karnataka,KK,Gadag,Mundaragi,Groundnut,10,12,01-Jan-2010
Karnataka,KK,Gadag,Rona,Groundnut,10,2,01-Jan-2010
Karnataka,KK,Gulbarga,Shahapur,Groundnut,10,3,01-Jan-2010
Karnataka,KK,Gulbarga,Yadgir,Groundnut,10,6,01-Jan-2010
Karnataka,KK,Haveri,Ranebennur,Groundnut,10,1,01-Jan-2010
Karnataka,KK,Koppal,Yalburga,Groundnut,10,6,01-Jan-2010
Karnataka,KK,Raichur,Raichur,Groundnut,10,3,01-Jan-2010
Karnataka,KK,Tumkur,Madhugiri,Groundnut,10,2,01-Jan-2010
Karnataka,KK,Chitradurga,Challakere,Groundnut,10,270,02-Jan-2010
Karnataka,KK,Chitradurga,Hiriyur,Groundnut,10,16,02-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Groundnut,10,31,02-Jan-2010
Karnataka,KK,Gadag,Gadag,Groundnut,10,150,02-Jan-2010
Karnataka,KK,Gadag,Laxmeshwar,Groundnut,10,18,02-Jan-2010
Karnataka,KK,Gadag,Mundaragi,Groundnut,10,20,02-Jan-2010
Karnataka,KK,Gadag,Rona,Groundnut,10,1,02-Jan-2010
Karnataka,KK,Gulbarga,Shahapur,Groundnut,10,1,02-Jan-2010
Karnataka,KK,Haveri,Savanur,Groundnut,10,11,02-Jan-2010
Karnataka,KK,Koppal,Yalburga,Groundnut,10,5,02-Jan-2010
Karnataka,KK,Raichur,Raichur,Groundnut,10,14,02-Jan-2010
Karnataka,KK,Tumkur,Madhugiri,Groundnut,10,3,02-Jan-2010
Karnataka,KK,Belgaum,Ramdurga,Groundnut,10,43,03-Jan-2010
Karnataka,KK,Bellary,H.B. Halli,Groundnut,10,4,03-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Groundnut,10,2,04-Jan-2010
Karnataka,KK,Bellary,Bellary,Groundnut,10,28,04-Jan-2010
Karnataka,KK,Bellary,H.B. Halli,Groundnut,10,6,04-Jan-2010
Karnataka,KK,Chitradurga,Chitradurga,Groundnut,10,69,04-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Groundnut,10,26,04-Jan-2010
Karnataka,KK,Gadag,Gadag,Groundnut,10,94,04-Jan-2010
Karnataka,KK,Gadag,Laxmeshwar,Groundnut,10,95,04-Jan-2010
Karnataka,KK,Gadag,Mundaragi,Groundnut,10,19,04-Jan-2010
Karnataka,KK,Gadag,Rona,Groundnut,10,5,04-Jan-2010
Karnataka,KK,Gulbarga,Shahapur,Groundnut,10,4,04-Jan-2010
Karnataka,KK,Gulbarga,Yadgir,Groundnut,10,2,04-Jan-2010
Karnataka,KK,Haveri,Savanur,Groundnut,10,34,04-Jan-2010
Karnataka,KK,Raichur,Raichur,Groundnut,10,13,04-Jan-2010
Karnataka,KK,Tumkur,Madhugiri,Groundnut,10,1,04-Jan-2010
Karnataka,KK,Tumkur,Tumkur,Groundnut,10,22,04-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Groundnut,10,2,05-Jan-2010
Karnataka,KK,Bellary,H.B. Halli,Groundnut,10,23,05-Jan-2010
Karnataka,KK,Bellary,Kottur,Groundnut,10,127,05-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Groundnut,10,30,05-Jan-2010
Karnataka,KK,Gadag,Gadag,Groundnut,10,100,05-Jan-2010
Karnataka,KK,Gadag,Laxmeshwar,Groundnut,10,21,05-Jan-2010
Karnataka,KK,Gadag,Mundaragi,Groundnut,10,15,05-Jan-2010
Karnataka,KK,Gadag,Rona,Groundnut,10,4,05-Jan-2010
Karnataka,KK,Gulbarga,Shahapur,Groundnut,10,2,05-Jan-2010
Karnataka,KK,Gulbarga,Yadgir,Groundnut,10,5,05-Jan-2010
Karnataka,KK,Haveri,Savanur,Groundnut,10,5,05-Jan-2010
Karnataka,KK,Koppal,Koppal,Groundnut,10,1,05-Jan-2010
Karnataka,KK,Koppal,Yalburga,Groundnut,10,2,05-Jan-2010
Karnataka,KK,Raichur,Raichur,Groundnut,10,12,05-Jan-2010
Karnataka,KK,Tumkur,Madhugiri,Groundnut,10,1,05-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Groundnut,10,4,06-Jan-2010
Karnataka,KK,Bijapur,Bijapur,Groundnut,10,1,06-Jan-2010
Karnataka,KK,Chitradurga,Chitradurga,Groundnut,10,46,06-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Groundnut,10,4,06-Jan-2010
Karnataka,KK,Gadag,Gadag,Groundnut,10,49,06-Jan-2010
Karnataka,KK,Gadag,Laxmeshwar,Groundnut,10,17,06-Jan-2010
Karnataka,KK,Gadag,Mundaragi,Groundnut,10,12,06-Jan-2010
Karnataka,KK,Gadag,Rona,Groundnut,10,1,06-Jan-2010
Karnataka,KK,Gulbarga,Shahapur,Groundnut,10,2,06-Jan-2010
Karnataka,KK,Gulbarga,Yadgir,Groundnut,10,1,06-Jan-2010
Karnataka,KK,Haveri,Savanur,Groundnut,10,4,06-Jan-2010
Karnataka,KK,Koppal,Yalburga,Groundnut,10,4,06-Jan-2010
Karnataka,KK,Raichur,Raichur,Groundnut,10,10,06-Jan-2010
Karnataka,KK,Tumkur,Madhugiri,Groundnut,10,1,06-Jan-2010
Karnataka,KK,Tumkur,Sira,Groundnut,10,4,06-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Groundnut,10,7,07-Jan-2010
Karnataka,KK,Belgaum,Ramdurga,Groundnut,10,11,07-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Groundnut,10,25,07-Jan-2010
Karnataka,KK,Gadag,Gadag,Groundnut,10,45,07-Jan-2010
Karnataka,KK,Gadag,Laxmeshwar,Groundnut,10,23,07-Jan-2010
Karnataka,KK,Gadag,Mundaragi,Groundnut,10,16,07-Jan-2010
Karnataka,KK,Gadag,Rona,Groundnut,10,1,07-Jan-2010
Karnataka,KK,Gulbarga,Shahapur,Groundnut,10,1,07-Jan-2010
Karnataka,KK,Haveri,Savanur,Groundnut,10,58,07-Jan-2010
Karnataka,KK,Kolar,Mulabagilu,Groundnut,10,15,07-Jan-2010
Karnataka,KK,Raichur,Raichur,Groundnut,10,31,07-Jan-2010
Karnataka,KK,Tumkur,Pavagada,Groundnut,10,24,07-Jan-2010
Karnataka,KK,Tumkur,Sira,Groundnut,10,2,07-Jan-2010
Karnataka,KK,Tumkur,Tumkur,Groundnut,10,21,07-Jan-2010
Karnataka,KK,Bagalkot,Bagalakot,Groundnut,10,1,08-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Groundnut,10,7,08-Jan-2010
Karnataka,KK,Bellary,Bellary,Groundnut,10,9,08-Jan-2010
Karnataka,KK,Bellary,Hoovinahadagali,Groundnut,10,3,08-Jan-2010
Karnataka,KK,Bellary,Kottur,Groundnut,10,73,08-Jan-2010
Karnataka,KK,Bijapur,Sindagi,Groundnut,10,4,08-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Groundnut,10,12,08-Jan-2010
Karnataka,KK,Gadag,Gadag,Groundnut,10,45,08-Jan-2010
Karnataka,KK,Gadag,Laxmeshwar,Groundnut,10,82,08-Jan-2010
Karnataka,KK,Gadag,Mundaragi,Groundnut,10,12,08-Jan-2010
Karnataka,KK,Gadag,Rona,Groundnut,10,2,08-Jan-2010
Karnataka,KK,Gulbarga,Shahapur,Groundnut,10,3,08-Jan-2010
Karnataka,KK,Koppal,Koppal,Groundnut,10,1,08-Jan-2010
Karnataka,KK,Raichur,Raichur,Groundnut,10,18,08-Jan-2010
Karnataka,KK,Tumkur,Madhugiri,Groundnut,10,1,08-Jan-2010
Karnataka,KK,Tumkur,Pavagada,Groundnut,10,11,08-Jan-2010
Karnataka,KK,Chitradurga,Hiriyur,Groundnut,10,15,09-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Groundnut,10,23,09-Jan-2010
Karnataka,KK,Gadag,Gadag,Groundnut,10,141,09-Jan-2010
Karnataka,KK,Gadag,Laxmeshwar,Groundnut,10,7,09-Jan-2010
Karnataka,KK,Gadag,Mundaragi,Groundnut,10,15,09-Jan-2010
Karnataka,KK,Gadag,Rona,Groundnut,10,1,09-Jan-2010
Karnataka,KK,Gulbarga,Shahapur,Groundnut,10,1,09-Jan-2010
Karnataka,KK,Gulbarga,Yadgir,Groundnut,10,16,09-Jan-2010
Karnataka,KK,Haveri,Savanur,Groundnut,10,11,09-Jan-2010
