"Min,Max,Modal Price from Karnataka[Groundnut] from 01-Jan-2015To31-Dec-2015 (Total-4664) (Total-4664)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
308,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,1-Jan-15
540,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3000,3200,3100,1-Jan-15
1015,Kolar,Chintamani,Groundnut,Big (With Shell),Medium,3200,4000,3500,1-Jan-15
1016,Kolar,Chintamani,Groundnut,Big (With Shell),FAQ,3200,4000,3500,1-Jan-15
1788,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2724,3719,3101,1-Jan-15
1789,Gadag,Gadag,Groundnut,Gejje,FAQ,2211,4030,3247,1-Jan-15
2309,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,3476,3476,3476,1-Jan-15
2310,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,2849,3619,2969,1-Jan-15
2311,Dharwad,Hubli (Amaragol),Groundnut,Hybrid,FAQ,3069,3069,3069,1-Jan-15
2653,Dharwad,Kundagol,Groundnut,Gejje,FAQ,3800,3800,3800,1-Jan-15
3022,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2559,3780,3309,1-Jan-15
3023,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,2396,4391,3429,1-Jan-15
3102,Tumkur,Madhugiri,Groundnut,Big (With Shell),Medium,2800,3800,3000,1-Jan-15
3103,Tumkur,Madhugiri,Groundnut,Big (With Shell),FAQ,2800,3800,3000,1-Jan-15
3379,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2682,4379,3130,1-Jan-15
3857,Belgaum,Ramdurga,Groundnut,Gejje,FAQ,1800,2189,1900,1-Jan-15
3941,Haveri,Ranebennur,Groundnut,Gejje,Medium,2879,3729,3629,1-Jan-15
4234,Haveri,Savanur,Groundnut,Balli/Habbu,FAQ,3089,3610,3350,1-Jan-15
215,Bagalkot,Bagalakot,Groundnut,Gejje,Medium,2859,3841,3160,2-Jan-15
539,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3000,3200,3100,2-Jan-15
717,Bellary,Bellary,Groundnut,Big (With Shell),FAQ,2821,4580,3768,2-Jan-15
814,Bijapur,Bijapur,Groundnut,Gejje,FAQ,3200,3500,3400,2-Jan-15
979,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3000,4633,3626,2-Jan-15
1137,Chitradurga,Chitradurga,Groundnut,Natte,FAQ,2809,4842,4039,2-Jan-15
1786,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2763,3751,3127,2-Jan-15
1787,Gadag,Gadag,Groundnut,Gejje,FAQ,2011,3798,3149,2-Jan-15
2306,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,2569,3349,2832,2-Jan-15
2307,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,2819,3829,3089,2-Jan-15
2308,Dharwad,Hubli (Amaragol),Groundnut,Hybrid,FAQ,3383,3383,3383,2-Jan-15
2540,Koppal,Koppal,Groundnut,Gejje,FAQ,3461,4509,4215,2-Jan-15
2615,Bellary,Kottur,Groundnut,Natte,FAQ,2017,4529,3809,2-Jan-15
2753,Koppal,Kustagi,Groundnut,Gejje,FAQ,2609,2811,2800,2-Jan-15
3020,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2315,3809,3319,2-Jan-15
3021,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,2889,4239,3059,2-Jan-15
3378,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2850,4339,3220,2-Jan-15
3508,Belgaum,Nippani,Groundnut,Big (With Shell),FAQ,3500,3500,3500,2-Jan-15
3778,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2869,3969,3569,2-Jan-15
4133,Gadag,Rona,Groundnut,Gejje,FAQ,2246,3530,3200,2-Jan-15
307,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,3-Jan-15
538,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3000,3200,3100,3-Jan-15
978,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3151,4529,3770,3-Jan-15
1784,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2802,3797,3174,3-Jan-15
1785,Gadag,Gadag,Groundnut,Gejje,FAQ,2369,4340,3199,3-Jan-15
1907,Chitradurga,Hiriyur,Groundnut,Big (With Shell),FAQ,3289,4712,3910,3-Jan-15
2303,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,2101,3419,2659,3-Jan-15
2304,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,2730,3701,3260,3-Jan-15
2305,Dharwad,Hubli (Amaragol),Groundnut,Hybrid,FAQ,2865,3855,3373,3-Jan-15
2539,Koppal,Koppal,Groundnut,Gejje,FAQ,3461,4509,4215,3-Jan-15
2652,Dharwad,Kundagol,Groundnut,Gejje,FAQ,3700,3700,3700,3-Jan-15
2706,Udupi,Kundapura,Groundnut,Gejje,FAQ,2600,3100,2800,3-Jan-15
3019,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2839,3744,3145,3-Jan-15
3101,Tumkur,Madhugiri,Groundnut,Big (With Shell),FAQ,2800,3800,3500,3-Jan-15
3377,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2660,4374,3083,3-Jan-15
3777,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2000,3638,3148,3-Jan-15
4132,Gadag,Rona,Groundnut,Gejje,FAQ,2246,3060,2580,3-Jan-15
4233,Haveri,Savanur,Groundnut,Balli/Habbu,FAQ,3209,3589,3400,3-Jan-15
2752,Koppal,Kustagi,Groundnut,Gejje,FAQ,2609,2811,2800,4-Jan-15
3856,Belgaum,Ramdurga,Groundnut,Gejje,FAQ,2200,3870,3000,4-Jan-15
306,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,5-Jan-15
537,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3500,4000,3700,5-Jan-15
716,Bellary,Bellary,Groundnut,Big (With Shell),FAQ,2600,4670,3821,5-Jan-15
977,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3000,4751,3858,5-Jan-15
1782,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2793,3716,3141,5-Jan-15
1783,Gadag,Gadag,Groundnut,Gejje,FAQ,2216,4031,3229,5-Jan-15
2301,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,2201,3449,2569,5-Jan-15
2302,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,2670,3609,3019,5-Jan-15
3017,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2539,3820,3489,5-Jan-15
3018,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,2189,4369,3359,5-Jan-15
3497,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,3536,4390,3900,5-Jan-15
3776,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2192,3969,3569,5-Jan-15
4131,Gadag,Rona,Groundnut,Gejje,FAQ,2160,3020,2580,5-Jan-15
4232,Haveri,Savanur,Groundnut,Balli/Habbu,FAQ,3339,3781,3560,5-Jan-15
4655,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3321,3839,3610,5-Jan-15
305,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,6-Jan-15
536,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3500,4000,3700,6-Jan-15
976,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3200,4709,3817,6-Jan-15
1780,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2799,3770,3165,6-Jan-15
1781,Gadag,Gadag,Groundnut,Gejje,FAQ,2211,3909,3265,6-Jan-15
2298,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,1509,3501,3169,6-Jan-15
2299,Dharwad,Hubli (Amaragol),Groundnut,Gejje,Medium,2019,2019,2019,6-Jan-15
2300,Dharwad,Hubli (Amaragol),Groundnut,Hybrid,Medium,1669,1669,1669,6-Jan-15
2538,Koppal,Koppal,Groundnut,Gejje,FAQ,3669,4722,4345,6-Jan-15
2614,Bellary,Kottur,Groundnut,Natte,Medium,2669,4781,4062,6-Jan-15
2651,Dharwad,Kundagol,Groundnut,Gejje,FAQ,3700,3700,3700,6-Jan-15
3016,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2319,4035,3558,6-Jan-15
3100,Tumkur,Madhugiri,Groundnut,Big (With Shell),FAQ,2800,3600,3000,6-Jan-15
3376,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2689,4369,3093,6-Jan-15
3496,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,2269,4666,3563,6-Jan-15
3775,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2889,4289,3689,6-Jan-15
3779,Bangalore,Ramanagara,Groundnut,Big (With Shell),FAQ,3500,3700,3600,6-Jan-15
4130,Gadag,Rona,Groundnut,Gejje,FAQ,2260,3170,2850,6-Jan-15
4231,Haveri,Savanur,Groundnut,Balli/Habbu,FAQ,3549,3859,3704,6-Jan-15
4428,Tumkur,Sira,Groundnut,Other,FAQ,2750,3700,3600,6-Jan-15
4654,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3301,3809,3609,6-Jan-15
304,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,7-Jan-15
535,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3500,4000,3700,7-Jan-15
588,Bidar,Basava Kalayana,Groundnut,Gungri (With Shell),FAQ,4000,4000,4000,7-Jan-15
715,Bellary,Bellary,Groundnut,Big (With Shell),FAQ,2809,4578,3855,7-Jan-15
975,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3200,4812,3751,7-Jan-15
1136,Chitradurga,Chitradurga,Groundnut,Natte,FAQ,1800,4961,4273,7-Jan-15
1778,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2469,3909,3406,7-Jan-15
1779,Gadag,Gadag,Groundnut,Gejje,FAQ,2451,3897,3369,7-Jan-15
1955,Chitradurga,Hosadurga,Groundnut,Gejje,Medium,3039,3200,3100,7-Jan-15
2297,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,3829,3829,3829,7-Jan-15
2650,Dharwad,Kundagol,Groundnut,Gejje,FAQ,3600,3700,3700,7-Jan-15
3015,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2589,3930,3515,7-Jan-15
3099,Tumkur,Madhugiri,Groundnut,Big (With Shell),FAQ,2800,3800,3500,7-Jan-15
3375,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2692,4269,3181,7-Jan-15
3774,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2699,4148,3748,7-Jan-15
4129,Gadag,Rona,Groundnut,Gejje,FAQ,2650,3040,2850,7-Jan-15
4653,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3765,3765,3765,7-Jan-15
303,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,8-Jan-15
534,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3500,4000,3700,8-Jan-15
1286,Davangere,Davangere,Groundnut,Gejje,FAQ,3469,3469,3469,8-Jan-15
1776,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2451,3870,3405,8-Jan-15
1777,Gadag,Gadag,Groundnut,Gejje,FAQ,2011,4219,3355,8-Jan-15
1870,Bellary,H.B. Halli,Groundnut,Big (With Shell),Medium,3000,3000,3000,8-Jan-15
2295,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,2210,3369,3019,8-Jan-15
2296,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,2570,3879,2969,8-Jan-15
2649,Dharwad,Kundagol,Groundnut,Gejje,FAQ,3501,3501,3501,8-Jan-15
3013,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2639,3958,3259,8-Jan-15
3014,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,4008,4489,4108,8-Jan-15
3133,Kolar,Mulabagilu,Groundnut,Other,FAQ,3500,4500,4000,8-Jan-15
3374,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2810,3889,3161,8-Jan-15
3773,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2619,3918,3611,8-Jan-15
4128,Gadag,Rona,Groundnut,Gejje,FAQ,2260,3080,2580,8-Jan-15
4230,Haveri,Savanur,Groundnut,Balli/Habbu,FAQ,3789,4021,3895,8-Jan-15
4652,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3659,3659,3659,8-Jan-15
302,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,9-Jan-15
