State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Bidar,Basava Kalayana,Jowar,5,22,05-Jan-2009
Karnataka,KK,Bidar,Basava Kalayana,Jowar,5,23,06-Jan-2009
Karnataka,KK,Bijapur,Bijapur,Jowar,5,2,06-Jan-2009
Karnataka,KK,Raichur,Raichur,Jowar,5,7,06-Jan-2009
Karnataka,KK,Bidar,Basava Kalayana,Jowar,5,21,07-Jan-2009
Karnataka,KK,Gulbarga,Gulbarga,Jowar,5,90,07-Jan-2009
Karnataka,KK,Haveri,Savanur,Jowar,5,1,07-Jan-2009
Karnataka,KK,Raichur,Raichur,Jowar,5,11,07-Jan-2009
Karnataka,KK,Bagalkot,Hungund,Jowar,5,3,09-Jan-2009
Karnataka,KK,Belgaum,Belgaum,Jowar,5,2,09-Jan-2009
Karnataka,KK,Bellary,Bellary,Jowar,5,2,09-Jan-2009
Karnataka,KK,Bidar,Basava Kalayana,Jowar,5,29,09-Jan-2009
Karnataka,KK,Chamrajnagar,Gundlupet,Jowar,5,1,09-Jan-2009
Karnataka,KK,Gadag,Gadag,Jowar,5,8,09-Jan-2009
Karnataka,KK,Gulbarga,Gulbarga,Jowar,5,60,09-Jan-2009
Karnataka,KK,Haveri,Ranebennur,Jowar,5,17,09-Jan-2009
Karnataka,KK,Koppal,Koppal,Jowar,5,1,09-Jan-2009
Karnataka,KK,Raichur,Raichur,Jowar,5,4,09-Jan-2009
Karnataka,KK,Belgaum,Belgaum,Jowar,5,7,10-Jan-2009
Karnataka,KK,Bidar,Basava Kalayana,Jowar,5,29,10-Jan-2009
Karnataka,KK,Chikmagalur,Tarikere,Jowar,5,1,10-Jan-2009
Karnataka,KK,Davangere,Harappana Halli,Jowar,5,60,10-Jan-2009
Karnataka,KK,Gadag,Gadag,Jowar,5,20,10-Jan-2009
Karnataka,KK,Gulbarga,Gulbarga,Jowar,5,60,10-Jan-2009
Karnataka,KK,Belgaum,Ramdurga,Jowar,5,10,11-Jan-2009
Karnataka,KK,Bijapur,Bijapur,Jowar,5,1,12-Jan-2009
Karnataka,KK,Gadag,Gadag,Jowar,5,7,12-Jan-2009
Karnataka,KK,Gulbarga,Gulbarga,Jowar,5,66,12-Jan-2009
Karnataka,KK,Raichur,Raichur,Jowar,5,13,12-Jan-2009
Karnataka,KK,Davangere,Harappana Halli,Jowar,5,25,13-Jan-2009
Karnataka,KK,Dharwad,Dharwar,Jowar,5,1,13-Jan-2009
Karnataka,KK,Gadag,Gadag,Jowar,5,9,13-Jan-2009
Karnataka,KK,Gadag,Laxmeshwar,Jowar,5,1,13-Jan-2009
Karnataka,KK,Gulbarga,Gulbarga,Jowar,5,60,13-Jan-2009
Karnataka,KK,Hassan,Sakaleshpura,Jowar,5,10,13-Jan-2009
Karnataka,KK,Raichur,Sindhanur,Jowar,5,10,13-Jan-2009
Karnataka,KK,Bagalkot,Bagalakot,Jowar,5,2,15-Jan-2009
Karnataka,KK,Bagalkot,Hungund,Jowar,5,2,15-Jan-2009
Karnataka,KK,Belgaum,Belgaum,Jowar,5,3,15-Jan-2009
Karnataka,KK,Bellary,Bellary,Jowar,5,65,15-Jan-2009
Karnataka,KK,Dharwad,Kundagol,Jowar,5,1,15-Jan-2009
Karnataka,KK,Gadag,Gadag,Jowar,5,8,15-Jan-2009
Karnataka,KK,Koppal,Koppal,Jowar,5,1,15-Jan-2009
Karnataka,KK,Belgaum,Bailahongal,Jowar,5,17,16-Jan-2009
Karnataka,KK,Belgaum,Belgaum,Jowar,5,13,16-Jan-2009
Karnataka,KK,Bellary,Bellary,Jowar,5,3,16-Jan-2009
Karnataka,KK,Gadag,Gadag,Jowar,5,6,16-Jan-2009
Karnataka,KK,Gadag,Laxmeshwar,Jowar,5,2,16-Jan-2009
Karnataka,KK,Gulbarga,Gulbarga,Jowar,5,80,16-Jan-2009
Karnataka,KK,Raichur,Raichur,Jowar,5,18,16-Jan-2009
Karnataka,KK,Belgaum,Belgaum,Jowar,5,2,17-Jan-2009
Karnataka,KK,Bellary,Bellary,Jowar,5,15,17-Jan-2009
Karnataka,KK,Bidar,Bidar,Jowar,5,12,17-Jan-2009
Karnataka,KK,Bijapur,Bijapur,Jowar,5,6,17-Jan-2009
Karnataka,KK,Gadag,Gadag,Jowar,5,27,17-Jan-2009
Karnataka,KK,Gadag,Laxmeshwar,Jowar,5,1,17-Jan-2009
Karnataka,KK,Gulbarga,Gulbarga,Jowar,5,82,17-Jan-2009
Karnataka,KK,Haveri,Ranebennur,Jowar,5,13,17-Jan-2009
Karnataka,KK,Kolar,Chintamani,Jowar,5,1,17-Jan-2009
Karnataka,KK,Raichur,Raichur,Jowar,5,4,17-Jan-2009
Karnataka,KK,Belgaum,Belgaum,Jowar,5,5,18-Jan-2009
Karnataka,KK,Belgaum,Ramdurga,Jowar,5,22,18-Jan-2009
Karnataka,KK,Bagalkot,Badami,Jowar,5,1,19-Jan-2009
Karnataka,KK,Bagalkot,Hungund,Jowar,5,3,19-Jan-2009
Karnataka,KK,Bangalore,Bangalore,Jowar,5,6,19-Jan-2009
Karnataka,KK,Belgaum,Belgaum,Jowar,5,4,19-Jan-2009
Karnataka,KK,Bidar,Bidar,Jowar,5,13,19-Jan-2009
Karnataka,KK,Bijapur,Bijapur,Jowar,5,1,19-Jan-2009
Karnataka,KK,Bijapur,Talikot,Jowar,5,1,19-Jan-2009
Karnataka,KK,Davangere,Harappana Halli,Jowar,5,36,19-Jan-2009
Karnataka,KK,Gadag,Gadag,Jowar,5,15,19-Jan-2009
Karnataka,KK,Gadag,Laxmeshwar,Jowar,5,2,19-Jan-2009
Karnataka,KK,Gulbarga,Gulbarga,Jowar,5,82,19-Jan-2009
Karnataka,KK,Raichur,Raichur,Jowar,5,31,19-Jan-2009
Karnataka,KK,Raichur,Sindhanur,Jowar,5,20,19-Jan-2009
Karnataka,KK,Bidar,Basava Kalayana,Jowar,5,23,20-Jan-2009
Karnataka,KK,Bidar,Bidar,Jowar,5,12,20-Jan-2009
Karnataka,KK,Bijapur,Bijapur,Jowar,5,16,20-Jan-2009
Karnataka,KK,Gadag,Gadag,Jowar,5,4,20-Jan-2009
Karnataka,KK,Gadag,Laxmeshwar,Jowar,5,1,20-Jan-2009
Karnataka,KK,Gulbarga,Gulbarga,Jowar,5,82,20-Jan-2009
Karnataka,KK,Mandya,Nagamangala,Jowar,5,27,20-Jan-2009
Karnataka,KK,Raichur,Raichur,Jowar,5,4,20-Jan-2009
Karnataka,KK,Raichur,Sindhanur,Jowar,5,10,20-Jan-2009
Karnataka,KK,Bagalkot,Bagalakot,Jowar,5,5,21-Jan-2009
Karnataka,KK,Bangalore,Bangalore,Jowar,5,13,21-Jan-2009
Karnataka,KK,Bellary,Bellary,Jowar,5,15,21-Jan-2009
Karnataka,KK,Bellary,Hospet,Jowar,5,3,21-Jan-2009
Karnataka,KK,Bidar,Basava Kalayana,Jowar,5,18,21-Jan-2009
Karnataka,KK,Bidar,Bidar,Jowar,5,15,21-Jan-2009
Karnataka,KK,Bijapur,Bijapur,Jowar,5,2,21-Jan-2009
Karnataka,KK,Chitradurga,Hosadurga,Jowar,5,27,21-Jan-2009
Karnataka,KK,Gadag,Gadag,Jowar,5,13,21-Jan-2009
Karnataka,KK,Gulbarga,Gulbarga,Jowar,5,62,21-Jan-2009
Karnataka,KK,Raichur,Raichur,Jowar,5,7,21-Jan-2009
Karnataka,KK,Raichur,Sindhanur,Jowar,5,44,21-Jan-2009
Karnataka,KK,Bagalkot,Badami,Jowar,5,1,22-Jan-2009
Karnataka,KK,Bagalkot,Hungund,Jowar,5,1,22-Jan-2009
Karnataka,KK,Bellary,Bellary,Jowar,5,16,22-Jan-2009
Karnataka,KK,Bidar,Basava Kalayana,Jowar,5,16,22-Jan-2009
Karnataka,KK,Bidar,Bidar,Jowar,5,12,22-Jan-2009
Karnataka,KK,Bijapur,Bijapur,Jowar,5,5,22-Jan-2009
Karnataka,KK,Bijapur,Talikot,Jowar,5,5,22-Jan-2009
Karnataka,KK,Chamrajnagar,Gundlupet,Jowar,5,19,22-Jan-2009
Karnataka,KK,Gadag,Gadag,Jowar,5,6,22-Jan-2009
Karnataka,KK,Gadag,Laxmeshwar,Jowar,5,1,22-Jan-2009
Karnataka,KK,Gulbarga,Gulbarga,Jowar,5,72,22-Jan-2009
Karnataka,KK,Koppal,Koppal,Jowar,5,3,22-Jan-2009
Karnataka,KK,Raichur,Raichur,Jowar,5,6,22-Jan-2009
Karnataka,KK,Raichur,Sindhanur,Jowar,5,30,22-Jan-2009
Karnataka,KK,Belgaum,Bailahongal,Jowar,5,16,23-Jan-2009
