"Min,Max,Modal Price from Karnataka[Jowar(Sorghum)] from 01-jan-2008To31-Dec-2008 (Total-5139) (Total-5139)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
2005,Bidar,Bidar,Jowar(Sorghum),Jowar ( White),FAQ,1552,2190,1840,2-Jan-08
2006,Bidar,Bidar,Jowar(Sorghum),Jowar Hybrid,FAQ,505,875,665,2-Jan-08
3244,Bidar,Humanabad,Jowar(Sorghum),Jowar Hybrid,Medium,700,814,700,2-Jan-08
2003,Bidar,Bidar,Jowar(Sorghum),Jowar ( White),FAQ,1525,2175,1831,3-Jan-08
2004,Bidar,Bidar,Jowar(Sorghum),Jowar Hybrid,FAQ,521,900,675,3-Jan-08
5075,Bijapur,Talikot,Jowar(Sorghum),Jowar ( White),FAQ,1601,1601,1601,3-Jan-08
389,Belgaum,Bailahongal,Jowar(Sorghum),Jowar ( White),FAQ,1200,1600,1400,4-Jan-08
390,Belgaum,Bailahongal,Jowar(Sorghum),Jowar Hybrid,FAQ,550,700,625,4-Jan-08
2001,Bidar,Bidar,Jowar(Sorghum),Jowar ( White),FAQ,1521,2185,1871,4-Jan-08
2002,Bidar,Bidar,Jowar(Sorghum),Jowar Hybrid,FAQ,515,876,646,4-Jan-08
2620,Gadag,Gadag,Jowar(Sorghum),Jowar ( White),FAQ,745,1619,1110,4-Jan-08
2857,Gulbarga,Gulbarga,Jowar(Sorghum),Jowar ( White),FAQ,1600,1900,1850,4-Jan-08
3243,Bidar,Humanabad,Jowar(Sorghum),Jowar Hybrid,Medium,800,900,800,4-Jan-08
4404,Raichur,Raichur,Jowar(Sorghum),Jowar ( White),FAQ,1336,1336,1336,4-Jan-08
5074,Bijapur,Talikot,Jowar(Sorghum),Jowar ( White),FAQ,1200,1301,1250,4-Jan-08
312,Bagalkot,Bagalakot,Jowar(Sorghum),Jowar Hybrid,Medium,512,512,512,5-Jan-08
