"Min,Max,Modal Price from Karnataka[Jowar(Sorghum)] from 01-Jan-2012To31-Dec-2012 (Total-4954) (Total-4954)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1063,Belgaum,Belgaum,Jowar(Sorghum),Jowar ( White),FAQ,2600,3000,2800,1-Jan-12
3300,Bidar,Humanabad,Jowar(Sorghum),Jowar Hybrid,FAQ,950,1200,1100,1-Jan-12
3524,Koppal,Kustagi,Jowar(Sorghum),Jowar Hybrid,FAQ,921,921,921,1-Jan-12
4402,Belgaum,Ramdurga,Jowar(Sorghum),Local,Medium,2800,3400,3150,1-Jan-12
4403,Belgaum,Ramdurga,Jowar(Sorghum),Hybrid,FAQ,1420,1900,1700,1-Jan-12
782,Bidar,Basava Kalayana,Jowar(Sorghum),Hybrid,FAQ,1000,1150,1050,2-Jan-12
1062,Belgaum,Belgaum,Jowar(Sorghum),Jowar ( White),FAQ,2600,3000,2800,2-Jan-12
1319,Bellary,Bellary,Jowar(Sorghum),Jowar Hybrid,FAQ,1170,1715,1281,2-Jan-12
1718,Bidar,Bidar,Jowar(Sorghum),Jowar ( White),FAQ,3170,3850,3740,2-Jan-12
1888,Bijapur,Bijapur,Jowar(Sorghum),Jowar ( White),FAQ,3000,3500,3200,2-Jan-12
2001,Gulbarga,Chittapur,Jowar(Sorghum),Jowar ( White),FAQ,3401,3401,3401,2-Jan-12
2191,Dharwad,Dharwar,Jowar(Sorghum),Hybrid,FAQ,900,1000,950,2-Jan-12
2452,Gadag,Gadag,Jowar(Sorghum),Jowar ( White),FAQ,1165,3009,2600,2-Jan-12
2781,Gulbarga,Gulbarga,Jowar(Sorghum),Jowar ( White),FAQ,2601,3852,3506,2-Jan-12
2782,Gulbarga,Gulbarga,Jowar(Sorghum),Hybrid,FAQ,852,1752,1452,2-Jan-12
2813,Bellary,H.B. Halli,Jowar(Sorghum),Jowar Hybrid,Medium,1005,1010,1010,2-Jan-12
2917,Davangere,Harappana Halli,Jowar(Sorghum),Jowar Hybrid,FAQ,1010,1010,1010,2-Jan-12
3099,Dharwad,Hubli (Amaragol),Jowar(Sorghum),Jowar ( White),Medium,1162,2529,1551,2-Jan-12
3307,Bagalkot,Hungund,Jowar(Sorghum),Local,FAQ,2600,2801,2801,2-Jan-12
3423,Koppal,Koppal,Jowar(Sorghum),Hybrid,FAQ,809,851,830,2-Jan-12
3454,Bellary,Kottur,Jowar(Sorghum),Jowar Hybrid,Medium,940,1301,1101,2-Jan-12
3523,Koppal,Kustagi,Jowar(Sorghum),Jowar Hybrid,FAQ,921,921,921,2-Jan-12
3729,Gadag,Laxmeshwar,Jowar(Sorghum),Jowar ( White),FAQ,1006,2201,2201,2-Jan-12
4532,Shimoga,Shimoga,Jowar(Sorghum),Jowar ( White),FAQ,980,2900,1940,2-Jan-12
4716,Karwar(Uttar Kannad),Siddapur,Jowar(Sorghum),Other,FAQ,1400,1490,1445,2-Jan-12
361,Bangalore,Bangalore,Jowar(Sorghum),Jowar ( White),FAQ,1400,3000,2800,3-Jan-12
781,Bidar,Basava Kalayana,Jowar(Sorghum),Hybrid,FAQ,950,1200,1050,3-Jan-12
1318,Bellary,Bellary,Jowar(Sorghum),Jowar Hybrid,FAQ,1036,1546,1261,3-Jan-12
1717,Bidar,Bidar,Jowar(Sorghum),Jowar ( White),FAQ,2235,3820,3700,3-Jan-12
1887,Bijapur,Bijapur,Jowar(Sorghum),Jowar ( White),FAQ,3100,3600,3300,3-Jan-12
1920,Kolar,Chickkaballapura,Jowar(Sorghum),Jowar ( White),FAQ,2800,3300,3150,3-Jan-12
2779,Gulbarga,Gulbarga,Jowar(Sorghum),Jowar ( White),FAQ,2801,3602,3405,3-Jan-12
2780,Gulbarga,Gulbarga,Jowar(Sorghum),Hybrid,FAQ,953,1852,1601,3-Jan-12
2916,Davangere,Harappana Halli,Jowar(Sorghum),Jowar Hybrid,FAQ,1015,1015,1015,3-Jan-12
3010,Bellary,Hospet,Jowar(Sorghum),Jowar ( White),Large,3800,3800,3800,3-Jan-12
3299,Bidar,Humanabad,Jowar(Sorghum),Jowar Hybrid,FAQ,900,1455,1000,3-Jan-12
3453,Bellary,Kottur,Jowar(Sorghum),Jowar Hybrid,Medium,932,1350,1101,3-Jan-12
3845,Mysore,Mysore (Bandipalya),Jowar(Sorghum),Local,FAQ,985,985,985,3-Jan-12
4271,Raichur,Raichur,Jowar(Sorghum),Jowar ( White),FAQ,2675,3265,3265,3-Jan-12
4715,Karwar(Uttar Kannad),Siddapur,Jowar(Sorghum),Other,FAQ,1500,1500,1500,3-Jan-12
360,Bangalore,Bangalore,Jowar(Sorghum),Jowar ( White),FAQ,1400,3000,2800,4-Jan-12
779,Bidar,Basava Kalayana,Jowar(Sorghum),Jowar (Yellow),FAQ,1800,1800,1800,4-Jan-12
780,Bidar,Basava Kalayana,Jowar(Sorghum),Hybrid,FAQ,1000,1310,1100,4-Jan-12
1061,Belgaum,Belgaum,Jowar(Sorghum),Jowar ( White),FAQ,2500,2900,2700,4-Jan-12
1716,Bidar,Bidar,Jowar(Sorghum),Jowar ( White),FAQ,2228,3845,3727,4-Jan-12
2000,Gulbarga,Chittapur,Jowar(Sorghum),Hybrid,FAQ,3302,3311,3302,4-Jan-12
2777,Gulbarga,Gulbarga,Jowar(Sorghum),Jowar ( White),FAQ,2805,3605,3402,4-Jan-12
2778,Gulbarga,Gulbarga,Jowar(Sorghum),Hybrid,FAQ,950,1855,1550,4-Jan-12
3298,Bidar,Humanabad,Jowar(Sorghum),Jowar Hybrid,FAQ,900,1349,1160,4-Jan-12
3306,Bagalkot,Hungund,Jowar(Sorghum),Local,FAQ,1041,1061,0,4-Jan-12
3452,Bellary,Kottur,Jowar(Sorghum),Jowar Hybrid,Medium,952,1369,1019,4-Jan-12
3888,Belgaum,Nippani,Jowar(Sorghum),Local,FAQ,1500,1950,1500,4-Jan-12
4270,Raichur,Raichur,Jowar(Sorghum),Jowar ( White),FAQ,2767,3716,3716,4-Jan-12
359,Bangalore,Bangalore,Jowar(Sorghum),Jowar ( White),FAQ,2800,3500,3000,5-Jan-12
778,Bidar,Basava Kalayana,Jowar(Sorghum),Hybrid,FAQ,1000,1250,1100,5-Jan-12
1060,Belgaum,Belgaum,Jowar(Sorghum),Jowar ( White),FAQ,2500,2900,2700,5-Jan-12
1317,Bellary,Bellary,Jowar(Sorghum),Jowar Hybrid,FAQ,1026,1687,1340,5-Jan-12
1715,Bidar,Bidar,Jowar(Sorghum),Jowar ( White),FAQ,2230,3825,3705,5-Jan-12
1886,Bijapur,Bijapur,Jowar(Sorghum),Jowar ( White),FAQ,3000,3500,3200,5-Jan-12
2451,Gadag,Gadag,Jowar(Sorghum),Jowar ( White),FAQ,1165,2758,2400,5-Jan-12
2775,Gulbarga,Gulbarga,Jowar(Sorghum),Jowar ( White),FAQ,2751,3905,3611,5-Jan-12
2776,Gulbarga,Gulbarga,Jowar(Sorghum),Hybrid,FAQ,962,1871,1562,5-Jan-12
