State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Bagalkot,Bagalakot,Maize,4,41,01-Jan-2016
Karnataka,KK,Belgaum,Kudchi,Maize,4,6,01-Jan-2016
Karnataka,KK,Belgaum,Soundati,Maize,4,6,01-Jan-2016
Karnataka,KK,Bellary,Bellary,Maize,4,2,01-Jan-2016
Karnataka,KK,Bellary,Hoovinahadagali,Maize,4,41,01-Jan-2016
Karnataka,KK,Bijapur,Bijapur,Maize,4,11,01-Jan-2016
Karnataka,KK,Chamrajnagar,Chamaraj Nagar,Maize,4,26,01-Jan-2016
Karnataka,KK,Chamrajnagar,Gundlupet,Maize,4,10,01-Jan-2016
Karnataka,KK,Chamrajnagar,Kollegal,Maize,4,41,01-Jan-2016
Karnataka,KK,Chikmagalur,Bagepalli,Maize,4,43,01-Jan-2016
Karnataka,KK,Chikmagalur,Kadur,Maize,4,158,01-Jan-2016
Karnataka,KK,Chikmagalur,Moodigere,Maize,4,17,01-Jan-2016
Karnataka,KK,Chikmagalur,Tarikere,Maize,4,38,01-Jan-2016
Karnataka,KK,Chitradurga,Challakere,Maize,4,116,01-Jan-2016
Karnataka,KK,Chitradurga,Chitradurga,Maize,4,141,01-Jan-2016
Karnataka,KK,Chitradurga,Holalkere,Maize,4,278,01-Jan-2016
Karnataka,KK,Chitradurga,Hosadurga,Maize,4,21,01-Jan-2016
Karnataka,KK,Davangere,Davangere,Maize,4,690,01-Jan-2016
Karnataka,KK,Davangere,Harappana Halli,Maize,4,59,01-Jan-2016
Karnataka,KK,Davangere,Harihara,Maize,4,262,01-Jan-2016
Karnataka,KK,Davangere,Honnali,Maize,4,93,01-Jan-2016
Karnataka,KK,Dharwad,Dharwar,Maize,4,49,01-Jan-2016
Karnataka,KK,Dharwad,Kalagategi,Maize,4,14,01-Jan-2016
Karnataka,KK,Dharwad,Kundagol,Maize,4,449,01-Jan-2016
Karnataka,KK,Gadag,Gadag,Maize,4,11,01-Jan-2016
Karnataka,KK,Gadag,Mundaragi,Maize,4,45,01-Jan-2016
Karnataka,KK,Gadag,Rona,Maize,4,17,01-Jan-2016
Karnataka,KK,Hassan,Arasikere,Maize,4,103,01-Jan-2016
Karnataka,KK,Hassan,Belur,Maize,4,652,01-Jan-2016
Karnataka,KK,Hassan,Channarayapatna,Maize,4,71,01-Jan-2016
Karnataka,KK,Hassan,Hassan,Maize,4,67,01-Jan-2016
Karnataka,KK,Hassan,Holenarsipura,Maize,4,46,01-Jan-2016
Karnataka,KK,Haveri,Hanagal,Maize,4,191,01-Jan-2016
Karnataka,KK,Haveri,Haveri,Maize,4,337,01-Jan-2016
Karnataka,KK,Haveri,Ranebennur,Maize,4,118,01-Jan-2016
Karnataka,KK,Karwar(Uttar Kannad),Mundgod,Maize,4,5,01-Jan-2016
Karnataka,KK,Kolar,Bangarpet,Maize,4,46,01-Jan-2016
Karnataka,KK,Kolar,Chintamani,Maize,4,44,01-Jan-2016
Karnataka,KK,Kolar,Gowribidanoor,Maize,4,1301,01-Jan-2016
Karnataka,KK,Kolar,Kolar,Maize,4,91,01-Jan-2016
Karnataka,KK,Madikeri(Kodagu),Somvarpet,Maize,4,359,01-Jan-2016
Karnataka,KK,Mysore,K.R.Nagar,Maize,4,23,01-Jan-2016
Karnataka,KK,Shimoga,Bhadravathi,Maize,4,72,01-Jan-2016
Karnataka,KK,Shimoga,Shikaripura,Maize,4,701,01-Jan-2016
Karnataka,KK,Shimoga,Shimoga,Maize,4,35,01-Jan-2016
Karnataka,KK,Shimoga,Sorabha,Maize,4,10,01-Jan-2016
Karnataka,KK,Tumkur,Kunigal,Maize,4,27,01-Jan-2016
Karnataka,KK,Tumkur,Madhugiri,Maize,4,10,01-Jan-2016
Karnataka,KK,Tumkur,Sira,Maize,4,25,01-Jan-2016
Karnataka,KK,Tumkur,Tumkur,Maize,4,41,01-Jan-2016
Karnataka,KK,Bagalkot,Bagalakot,Maize,4,33,02-Jan-2016
Karnataka,KK,Bagalkot,Bilagi,Maize,4,12,02-Jan-2016
Karnataka,KK,Bangalore,Bangalore,Maize,4,88,02-Jan-2016
Karnataka,KK,Belgaum,Athani,Maize,4,23,02-Jan-2016
Karnataka,KK,Belgaum,Gokak,Maize,4,17,02-Jan-2016
Karnataka,KK,Belgaum,Kudchi,Maize,4,6,02-Jan-2016
Karnataka,KK,Belgaum,Sankeshwar,Maize,4,13,02-Jan-2016
Karnataka,KK,Belgaum,Soundati,Maize,4,5,02-Jan-2016
Karnataka,KK,Bellary,Bellary,Maize,4,8,02-Jan-2016
Karnataka,KK,Bellary,Hoovinahadagali,Maize,4,21,02-Jan-2016
Karnataka,KK,Bellary,Kottur,Maize,4,262,02-Jan-2016
Karnataka,KK,Bijapur,Sindagi,Maize,4,5,02-Jan-2016
Karnataka,KK,Chamrajnagar,Chamaraj Nagar,Maize,4,36,02-Jan-2016
Karnataka,KK,Chamrajnagar,Gundlupet,Maize,4,41,02-Jan-2016
Karnataka,KK,Chamrajnagar,Kollegal,Maize,4,31,02-Jan-2016
Karnataka,KK,Chikmagalur,Bagepalli,Maize,4,10,02-Jan-2016
Karnataka,KK,Chikmagalur,Chikkamagalore,Maize,4,18,02-Jan-2016
Karnataka,KK,Chikmagalur,Kadur,Maize,4,106,02-Jan-2016
Karnataka,KK,Chitradurga,Holalkere,Maize,4,856,02-Jan-2016
Karnataka,KK,Chitradurga,Hosadurga,Maize,4,22,02-Jan-2016
Karnataka,KK,Davangere,Davangere,Maize,4,620,02-Jan-2016
Karnataka,KK,Davangere,Harappana Halli,Maize,4,64,02-Jan-2016
Karnataka,KK,Davangere,Harihara,Maize,4,38,02-Jan-2016
Karnataka,KK,Dharwad,Dharwar,Maize,4,15,02-Jan-2016
Karnataka,KK,Dharwad,Hubli (Amaragol),Maize,4,2,02-Jan-2016
Karnataka,KK,Dharwad,Kalagategi,Maize,4,12,02-Jan-2016
Karnataka,KK,Gadag,Gadag,Maize,4,44,02-Jan-2016
Karnataka,KK,Gadag,Mundaragi,Maize,4,72,02-Jan-2016
Karnataka,KK,Gadag,Rona,Maize,4,10,02-Jan-2016
Karnataka,KK,Hassan,Arasikere,Maize,4,55,02-Jan-2016
