"Min,Max,Modal Price from Karnataka[Maize] from 01-Jan-2011To31-Dec-2011 (Total-8979) (Total-8979)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
200,Hassan,Arasikere,Maize,Local,Medium,800,825,800,01-Jan-11
639,Bagalkot,Bagalakot,Maize,Hybrid/Local,FAQ,839,925,902,01-Jan-11
920,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,900,930,915,01-Jan-11
1237,Hassan,Belur,Maize,Hybrid/Local,FAQ,900,975,950,01-Jan-11
1353,Shimoga,Bhadravathi,Maize,Hybrid/Local,FAQ,890,890,890,01-Jan-11
1559,Bijapur,Bijapur,Maize,Hybrid/Local,FAQ,881,897,890,01-Jan-11
2513,Davangere,Davangere,Maize,Local,FAQ,760,880,820,01-Jan-11
2645,Dharwad,Dharwar,Maize,Local,FAQ,700,840,810,01-Jan-11
2795,Bangalore,Doddaballa Pur,Maize,Local,FAQ,900,1000,950,01-Jan-11
3001,Gadag,Gadag,Maize,Local,FAQ,611,862,650,01-Jan-11
3286,Chamrajnagar,Gundlupet,Maize,Local,FAQ,980,980,980,01-Jan-11
3467,Bellary,H.B. Halli,Maize,Hybrid/Local,Medium,820,900,850,01-Jan-11
3468,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,820,900,850,01-Jan-11
3832,Davangere,Harappana Halli,Maize,Hybrid/Local,FAQ,830,880,856,01-Jan-11
4160,Hassan,Hassan,Maize,Local,FAQ,700,1059,944,01-Jan-11
4410,Chitradurga,Hiriyur,Maize,Hybrid/Local,FAQ,810,880,845,01-Jan-11
4570,Hassan,Holenarsipura,Maize,Local,FAQ,950,1000,975,01-Jan-11
4951,Bellary,Hoovinahadagali,Maize,Yellow,FAQ,800,920,900,01-Jan-11
5239,Dharwad,Hubli (Amaragol),Maize,Local,Medium,749,825,799,01-Jan-11
5701,Bagalkot,Jamakhandi,Maize,Hybrid/Local,Medium,820,900,850,01-Jan-11
6172,Koppal,Koppal,Maize,Yellow,FAQ,801,913,890,01-Jan-11
6345,Bellary,Kottur,Maize,Hybrid/Local,Medium,616,940,889,01-Jan-11
6547,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,850,870,860,01-Jan-11
6754,Koppal,Kustagi,Maize,Hybrid/Local,FAQ,860,860,860,01-Jan-11
6834,Gadag,Laxmeshwar,Maize,Local,FAQ,750,770,768,01-Jan-11
7160,Gadag,Mundaragi,Maize,Yellow,FAQ,791,866,858,01-Jan-11
7356,Mysore,Mysore (Bandipalya),Maize,Local,Medium,817,868,850,01-Jan-11
7555,Gadag,Nargunda,Maize,Local,FAQ,870,900,890,01-Jan-11
7709,Mysore,Piriya Pattana,Maize,Hybrid/Local,FAQ,571,800,741,01-Jan-11
8259,Shimoga,Shikaripura,Maize,Local,Medium,830,860,850,01-Jan-11
8489,Shimoga,Shimoga,Maize,Hybrid/Local,FAQ,850,870,860,01-Jan-11
8887,Chikmagalur,Tarikere,Maize,Other,FAQ,960,960,960,01-Jan-11
8979,Koppal,Yalburga,Maize,Hybrid/Local,FAQ,845,860,850,01-Jan-11
1754,Chitradurga,Challakere,Maize,Yellow,Medium,875,900,890,02-Jan-11
3466,Bellary,H.B. Halli,Maize,Hybrid/Local,Medium,860,920,900,02-Jan-11
7554,Gadag,Nargunda,Maize,Local,FAQ,880,930,900,02-Jan-11
7708,Mysore,Piriya Pattana,Maize,Hybrid/Local,FAQ,750,750,750,02-Jan-11
199,Hassan,Arasikere,Maize,Local,Medium,790,940,880,03-Jan-11
638,Bagalkot,Bagalakot,Maize,Hybrid/Local,Medium,860,921,886,03-Jan-11
919,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,900,930,915,03-Jan-11
1125,Bellary,Bellary,Maize,Local,FAQ,815,957,932,03-Jan-11
1352,Shimoga,Bhadravathi,Maize,Hybrid/Local,FAQ,980,980,980,03-Jan-11
1752,Chitradurga,Challakere,Maize,Yellow,Medium,875,922,895,03-Jan-11
1753,Chitradurga,Challakere,Maize,Yellow,FAQ,875,922,895,03-Jan-11
1884,Davangere,Channagiri,Maize,Hybrid/Local,FAQ,750,950,880,03-Jan-11
2151,Kolar,Chintamani,Maize,Local,FAQ,880,950,915,03-Jan-11
2282,Chitradurga,Chitradurga,Maize,Local,FAQ,871,919,885,03-Jan-11
3465,Bellary,H.B. Halli,Maize,Hybrid/Local,Medium,820,850,850,03-Jan-11
3968,Davangere,Harihara,Maize,Hybrid/Local,FAQ,860,880,870,03-Jan-11
4159,Hassan,Hassan,Maize,Local,FAQ,952,1053,992,03-Jan-11
4569,Hassan,Holenarsipura,Maize,Local,FAQ,750,800,780,03-Jan-11
4788,Davangere,Honnali,Maize,Local,Medium,967,967,967,03-Jan-11
4950,Bellary,Hoovinahadagali,Maize,Yellow,FAQ,800,920,850,03-Jan-11
5700,Bagalkot,Jamakhandi,Maize,Hybrid/Local,Medium,840,900,850,03-Jan-11
6171,Koppal,Koppal,Maize,Yellow,FAQ,806,919,886,03-Jan-11
6344,Bellary,Kottur,Maize,Hybrid/Local,Medium,706,941,890,03-Jan-11
6546,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,840,860,850,03-Jan-11
