"Crop Production Statistics",,,,,
,,,,,
"State/Crop/District","Year","Season","Area (Hectare)","Production (Tonnes)","Yield (Tonnes/Hectare)"
"Karnataka",,,,,
"Onion",,,,,
" 1.BAGALKOTE"," 2008-09","Kharif     ",6945,54530,7.85
,,"Rabi       ",2526,22773,9.02
,,"Summer     ",651,4053,6.23
,,"Total",10122,81356,8.04
," 2009-10","Kharif     ",17697,49445,2.79
,,"Rabi       ",2083,14319,6.87
,,"Summer     ",540,4485,8.31
,,"Total",20320,68249,3.36
," 2010-11","Kharif     ",17139,141312,8.25
,,"Rabi       ",2244,14257,6.35
,,"Summer     ",709,10377,14.64
,,"Total",20092,165946,8.26
," 2011-12","Kharif     ",18304,141893,7.75
,,"Rabi       ",1561,17276,11.07
,,"Summer     ",362,4721,13.04
,,"Total",20227,163890,8.10
," 2012-13","Kharif     ",7720,69292,8.98
,,"Rabi       ",1094,8916,8.15
,,"Summer     ",365,2841,7.78
,,"Total",9179,81049,8.83
," 2013-14","Kharif     ",10683,96861,9.07
,,"Rabi       ",972,9730,10.01
,,"Summer     ",328,3276,9.99
,,"Total",11983,109867,9.17
," 2014-15","Kharif     ",10969,82750,7.54
,,"Rabi       ",1237,10051,8.13
,,"Summer     ",313,2880,9.20
,,"Total",12519,95681,7.64
," 2015-16","Kharif     ",12810,89507,6.99
,,"Rabi       ",1549,13303,8.59
,,"Summer     ",642,2776,4.32
,,"Total",15001,105586,7.04
," 2016-17","Kharif     ",18880,223214,11.82
,,"Rabi       ",4218,72637,17.22
,,"Summer     ",275,4048,14.72
,,"Total",23373,299899,12.83
," 2017-18","Kharif     ",20452,316796,15.49
,,"Rabi       ",5004,85706,17.13
,,"Summer     ",410,3921,9.56
,,"Total",25866,406423,15.71
," 2018-19","Kharif     ",27720,339603,12.25
,,"Rabi       ",6694,109622,16.38
,,"Summer     ",1058,11559,10.93
,,"Total",35472,460784,12.99
" 2.BALLARI"," 2008-09","Kharif     ",3148,16481,5.24
,,"Rabi       ",122,815,6.68
,,"Summer     ",605,3151,5.21
,,"Total",3875,20447,5.28
," 2009-10","Kharif     ",2732,12217,4.47
,,"Rabi       ",458,2713,5.92
,,"Summer     ",675,3705,5.49
,,"Total",3865,18635,4.82
," 2010-11","Kharif     ",2798,17961,6.42
,,"Rabi       ",84,575,6.85
,,"Summer     ",488,3044,6.24
,,"Total",3370,21580,6.40
," 2011-12","Kharif     ",3822,23822,6.23
,,"Rabi       ",268,2133,7.96
,,"Summer     ",430,1836,4.27
,,"Total",4520,27791,6.15
," 2012-13","Kharif     ",2594,14135,5.45
,,"Rabi       ",352,2304,6.55
,,"Summer     ",216,1378,6.38
,,"Total",3162,17817,5.63
," 2013-14","Kharif     ",2716,23743,8.74
,,"Rabi       ",352,2473,7.03
,,"Summer     ",1111,12048,10.84
,,"Total",4179,38264,9.16
," 2014-15","Kharif     ",5726,44431,7.76
,,"Rabi       ",567,3758,6.63
,,"Summer     ",876,5157,5.89
,,"Total",7169,53346,7.44
," 2015-16","Kharif     ",10261,78607,7.66
,,"Rabi       ",1297,12516,9.65
,,"Summer     ",1757,5875,3.34
,,"Total",13315,96998,7.28
," 2016-17","Kharif     ",11037,196513,17.80
,,"Rabi       ",266,2981,11.21
,,"Summer     ",149,1781,11.95
,,"Total",11452,201275,17.58
," 2017-18","Kharif     ",3754,50360,13.42
,,"Rabi       ",1366,20683,15.14
,,"Summer     ",626,8511,13.60
,,"Total",5746,79554,13.85
," 2018-19","Kharif     ",9714,94101,9.69
,,"Rabi       ",1394,11602,8.32
,,"Summer     ",143,1231,8.61
,,"Total",11251,106934,9.50
" 3.BANGALORE RURAL"," 2008-09","Kharif     ",66,342,5.18
,,"Rabi       ",19,127,6.68
,,"Summer     ",17,93,5.47
,,"Total",102,562,5.51
," 2009-10","Kharif     ",77,272,3.53
,,"Rabi       ",22,130,5.91
,,"Summer     ",9,69,7.67
,,"Total",108,471,4.36
," 2010-11","Kharif     ",74,462,6.24
,,"Rabi       ",44,301,6.84
,,"Summer     ",4,43,10.75
,,"Total",122,806,6.61
," 2011-12","Kharif     ",54,267,4.94
,,"Rabi       ",42,334,7.95
,,"Summer     ",4,25,6.25
,,"Total",100,626,6.26
," 2012-13","Kharif     ",42,223,5.31
,,"Rabi       ",7,46,6.57
,,"Summer     ",10,57,5.70
,,"Total",59,326,5.53
," 2013-14","Kharif     ",30,198,6.60
,,"Rabi       ",15,105,7.00
,,"Summer     ",182,1429,7.85
,,"Total",227,1732,7.63
," 2014-15","Kharif     ",69,354,5.13
,,"Rabi       ",11,73,6.64
,,"Summer     ",6,29,4.83
,,"Total",86,456,5.30
," 2015-16","Kharif     ",23,100,4.35
,,"Rabi       ",12,68,5.67
,,"Total",35,168,4.80
," 2016-17","Kharif     ",15,108,7.20
,,"Rabi       ",1,14,14.00
,,"Summer     ",29,427,14.72
,,"Total",45,549,12.20
," 2017-18","Kharif     ",20,221,11.05
,,"Rabi       ",22,312,14.18
,,"Summer     ",1,12,12.00
,,"Total",43,545,12.67
," 2018-19","Kharif     ",32,242,7.56
,,"Rabi       ",19,252,13.26
,,"Total",51,494,9.69
" 4.BELAGAVI"," 2008-09","Kharif     ",6139,25941,4.23
,,"Rabi       ",661,1895,2.87
,,"Summer     ",30,164,5.47
,,"Total",6830,28000,4.10
," 2009-10","Kharif     ",11253,35930,3.19
,,"Rabi       ",1197,2519,2.10
,,"Summer     ",23,176,7.65
,,"Total",12473,38625,3.10
," 2010-11","Kharif     ",8385,52454,6.26
,,"Rabi       ",726,7333,10.10
,,"Summer     ",40,426,10.65
,,"Total",9151,60213,6.58
," 2011-12","Kharif     ",8044,48036,5.97
,,"Rabi       ",1107,2431,2.20
,,"Summer     ",32,197,6.16
,,"Total",9183,50664,5.52
," 2012-13","Kharif     ",2854,9755,3.42
,,"Rabi       ",1872,5309,2.84
,,"Summer     ",59,335,5.68
,,"Total",4785,15399,3.22
," 2013-14","Kharif     ",6722,39267,5.84
,,"Rabi       ",1105,2978,2.70
,,"Summer     ",2,16,8.00
,,"Total",7829,42261,5.40
," 2014-15","Kharif     ",10001,48132,4.81
,,"Rabi       ",930,3873,4.16
,,"Summer     ",157,770,4.90
,,"Total",11088,52775,4.76
," 2015-16","Kharif     ",9791,39373,4.02
,,"Rabi       ",848,4799,5.66
,,"Summer     ",97,419,4.32
,,"Total",10736,44591,4.15
," 2016-17","Kharif     ",2176,11099,5.10
,,"Rabi       ",406,4755,11.71
,,"Summer     ",94,1384,14.72
,,"Total",2676,17238,6.44
," 2017-18","Kharif     ",3725,49896,13.39
,,"Rabi       ",464,6973,15.03
,,"Summer     ",208,2509,12.06
,,"Total",4397,59378,13.50
," 2018-19","Kharif     ",6172,60405,9.79
,,"Rabi       ",359,4160,11.59
,,"Summer     ",55,580,10.55
,,"Total",6586,65145,9.89
" 5.BENGALURU URBAN"," 2008-09","Kharif     ",44,228,5.18
," 2009-10","Kharif     ",45,159,3.53
," 2010-11","Kharif     ",42,262,6.24
," 2011-12","Kharif     ",44,217,4.93
," 2012-13","Kharif     ",26,138,5.31
,,"Rabi       ",1,7,7.00
,,"Summer     ",14,79,5.64
,,"Total",41,224,5.46
," 2013-14","Kharif     ",31,205,6.61
,,"Rabi       ",8,56,7.00
,,"Total",39,261,6.69
," 2014-15","Kharif     ",8,41,5.13
," 2015-16","Kharif     ",1,4,4.00
,,"Rabi       ",1,6,6.00
,,"Total",2,10,5.00
," 2016-17","Kharif     ",3,22,7.33
,,"Rabi       ",3,43,14.33
,,"Total",6,65,10.83
," 2017-18","Kharif     ",16,177,11.06
,,"Rabi       ",2,28,14.00
,,"Summer     ",13,157,12.08
,,"Total",31,362,11.68
," 2018-19","Kharif     ",16,121,7.56
,,"Rabi       ",9,119,13.22
,,"Summer     ",10,106,10.60
,,"Total",35,346,9.89
" 6.BIDAR"," 2008-09","Kharif     ",114,591,5.18
,,"Rabi       ",341,1311,3.84
,,"Summer     ",28,153,5.46
,,"Total",483,2055,4.25
," 2009-10","Kharif     ",93,328,3.53
,,"Rabi       ",438,7057,16.11
,,"Summer     ",39,298,7.64
,,"Total",570,7683,13.48
," 2010-11","Kharif     ",88,549,6.24
,,"Rabi       ",585,4006,6.85
,,"Summer     ",24,255,10.63
,,"Total",697,4810,6.90
," 2011-12","Kharif     ",350,1728,4.94
,,"Rabi       ",691,12143,17.57
,,"Summer     ",28,172,6.14
,,"Total",1069,14043,13.14
," 2012-13","Kharif     ",289,1534,5.31
,,"Rabi       ",570,4148,7.28
,,"Summer     ",20,113,5.65
,,"Total",879,5795,6.59
," 2013-14","Kharif     ",343,2269,6.62
,,"Rabi       ",455,5443,11.96
,,"Summer     ",123,966,7.85
,,"Total",921,8678,9.42
," 2014-15","Kharif     ",170,873,5.14
,,"Rabi       ",389,4510,11.59
,,"Summer     ",43,211,4.91
,,"Total",602,5594,9.29
," 2015-16","Kharif     ",258,1127,4.37
,,"Rabi       ",476,2694,5.66
,,"Summer     ",19,82,4.32
,,"Total",753,3903,5.18
," 2016-17","Kharif     ",203,1458,7.18
,,"Rabi       ",519,7433,14.32
,,"Summer     ",15,221,14.73
,,"Total",737,9112,12.36
," 2017-18","Kharif     ",259,2859,11.04
,,"Rabi       ",209,2963,14.18
,,"Summer     ",8,97,12.13
,,"Total",476,5919,12.43
," 2018-19","Kharif     ",573,4337,7.57
,,"Rabi       ",150,1989,13.26
,,"Summer     ",10,106,10.60
,,"Total",733,6432,8.77
" 7.CHAMARAJANAGARA"," 2008-09","Kharif     ",2107,21830,10.36
,,"Rabi       ",784,6424,8.19
,,"Summer     ",331,1805,5.45
,,"Total",3222,30059,9.33
," 2009-10","Kharif     ",2314,19903,8.60
,,"Rabi       ",733,7743,10.56
,,"Summer     ",285,3089,10.84
,,"Total",3332,30735,9.22
," 2010-11","Kharif     ",2310,27903,12.08
,,"Rabi       ",636,6398,10.06
,,"Summer     ",222,2362,10.64
,,"Total",3168,36663,11.57
," 2011-12","Kharif     ",2591,19640,7.58
,,"Rabi       ",851,7459,8.76
,,"Summer     ",109,671,6.16
,,"Total",3551,27770,7.82
," 2012-13","Kharif     ",1756,18450,10.51
,,"Rabi       ",763,7180,9.41
,,"Summer     ",98,556,5.67
,,"Total",2617,26186,10.01
," 2013-14","Kharif     ",1683,11133,6.61
,,"Rabi       ",921,10661,11.58
,,"Summer     ",516,4051,7.85
,,"Total",3120,25845,8.28
," 2014-15","Kharif     ",1937,9948,5.14
,,"Rabi       ",864,8059,9.33
,,"Summer     ",678,3326,4.91
,,"Total",3479,21333,6.13
," 2015-16","Kharif     ",2329,10171,4.37
,,"Rabi       ",898,11242,12.52
,,"Summer     ",556,6133,11.03
,,"Total",3783,27546,7.28
," 2016-17","Kharif     ",3115,29252,9.39
,,"Rabi       ",1089,8153,7.49
,,"Summer     ",234,767,3.28
,,"Total",4438,38172,8.60
," 2017-18","Kharif     ",3321,47148,14.20
,,"Rabi       ",1227,11726,9.56
,,"Summer     ",341,3370,9.88
,,"Total",4889,62244,12.73
," 2018-19","Kharif     ",1865,18456,9.90
,,"Rabi       ",1087,10734,9.87
,,"Summer     ",255,1765,6.92
,,"Total",3207,30955,9.65
" 8.CHIKKABALLAPURA"," 2008-09","Kharif     ",296,1535,5.19
,,"Rabi       ",269,1796,6.68
,,"Summer     ",44,240,5.45
,,"Total",609,3571,5.86
," 2009-10","Kharif     ",367,1296,3.53
,,"Rabi       ",139,2212,15.91
,,"Summer     ",33,252,7.64
,,"Total",539,3760,6.98
," 2010-11","Kharif     ",572,4026,7.04
,,"Rabi       ",605,4143,6.85
,,"Summer     ",15,160,10.67
,,"Total",1192,8329,6.99
," 2011-12","Kharif     ",503,2483,4.94
,,"Rabi       ",663,3406,5.14
,,"Summer     ",75,462,6.16
,,"Total",1241,6351,5.12
," 2012-13","Kharif     ",464,2463,5.31
,,"Rabi       ",665,8334,12.53
,,"Summer     ",60,340,5.67
,,"Total",1189,11137,9.37
," 2013-14","Kharif     ",413,2732,6.62
,,"Rabi       ",647,1433,2.21
,,"Summer     ",56,440,7.86
,,"Total",1116,4605,4.13
," 2014-15","Kharif     ",563,2891,5.13
,,"Rabi       ",743,4697,6.32
,,"Summer     ",47,231,4.91
,,"Total",1353,7819,5.78
," 2015-16","Kharif     ",693,3026,4.37
