"Min,Max,Modal Price from Karnataka[Onion] from 01-Jan-2008To31-Dec-2019 (Total-50192) (Total-50192)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
4289,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,100,600,350,1-Jan-16
4290,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,1-Jan-16
4291,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1900,1450,1-Jan-16
4292,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1900,1450,1-Jan-16
12288,Belgaum,Belgaum,Onion,White,FAQ,600,2300,1430,1-Jan-16
12289,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,500,2200,1320,1-Jan-16
21334,Davangere,Davangere,Onion,Onion,FAQ,500,1800,1150,1-Jan-16
23829,Gadag,Gadag,Onion,Onion,FAQ,500,1800,1300,1-Jan-16
24972,Chamrajnagar,Gundlupet,Onion,Other,FAQ,3000,5000,3000,1-Jan-16
31814,Dharwad,Hubli (Amaragol),Onion,Local,FAQ,300,1700,850,1-Jan-16
31815,Dharwad,Hubli (Amaragol),Onion,Puna,FAQ,500,2500,1450,1-Jan-16
31816,Dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,400,1850,900,1-Jan-16
43357,Raichur,Raichur,Onion,Onion,FAQ,1140,1790,1481,1-Jan-16
45717,Haveri,Ranebennur,Onion,Local,Medium,800,1100,900,1-Jan-16
46269,Shimoga,Shimoga,Onion,Onion,FAQ,2300,2500,2400,1-Jan-16
1015,Bagalkot,Bagalakot,Onion,Onion,Medium,300,1700,1400,2-Jan-16
1417,Chikmagalur,Bagepalli,Onion,Onion,FAQ,1000,1600,1400,2-Jan-16
4285,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,100,600,350,2-Jan-16
4286,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,2-Jan-16
4287,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1900,1450,2-Jan-16
4288,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1900,1450,2-Jan-16
12286,Belgaum,Belgaum,Onion,White,FAQ,700,2530,1510,2-Jan-16
12287,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,600,2400,1400,2-Jan-16
17785,Kolar,Chickkaballapura,Onion,Beelary-Red,FAQ,2000,2400,2200,2-Jan-16
21333,Davangere,Davangere,Onion,Onion,FAQ,500,1600,1050,2-Jan-16
23828,Gadag,Gadag,Onion,Onion,FAQ,500,1600,1300,2-Jan-16
31811,Dharwad,Hubli (Amaragol),Onion,Local,FAQ,300,1900,950,2-Jan-16
31812,Dharwad,Hubli (Amaragol),Onion,Puna,FAQ,500,2400,1450,2-Jan-16
31813,Dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,300,2000,1000,2-Jan-16
40789,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,1000,2000,1500,2-Jan-16
43356,Raichur,Raichur,Onion,Onion,FAQ,1185,1765,1510,2-Jan-16
48368,Tumkur,Tumkur,Onion,Other,FAQ,1200,2500,2000,2-Jan-16
12284,Belgaum,Belgaum,Onion,White,FAQ,700,2530,1510,3-Jan-16
12285,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,600,2400,1400,3-Jan-16
4281,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,100,600,350,4-Jan-16
4282,Bangalore,Bangalore,Onion,Local,FAQ,700,1100,900,4-Jan-16
4283,Bangalore,Bangalore,Onion,Onion,FAQ,1100,2000,1550,4-Jan-16
4284,Bangalore,Bangalore,Onion,Puna,FAQ,1200,2000,1600,4-Jan-16
12282,Belgaum,Belgaum,Onion,White,FAQ,700,2300,1430,4-Jan-16
12283,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,600,2200,1320,4-Jan-16
16117,Bijapur,Bijapur,Onion,Onion,FAQ,400,1600,1000,4-Jan-16
21332,Davangere,Davangere,Onion,Onion,FAQ,500,1800,1150,4-Jan-16
23827,Gadag,Gadag,Onion,Onion,FAQ,500,1600,1200,4-Jan-16
28151,Bellary,Hospet,Onion,Hybrid,Medium,1300,1800,1600,4-Jan-16
31808,Dharwad,Hubli (Amaragol),Onion,Local,FAQ,300,1700,850,4-Jan-16
31809,Dharwad,Hubli (Amaragol),Onion,Puna,FAQ,400,2100,1300,4-Jan-16
31810,Dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,500,1810,900,4-Jan-16
40788,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,1200,2400,1800,4-Jan-16
43355,Raichur,Raichur,Onion,Onion,FAQ,1180,1860,1490,4-Jan-16
46268,Shimoga,Shimoga,Onion,Onion,FAQ,2300,2500,2400,4-Jan-16
1014,Bagalkot,Bagalakot,Onion,Onion,Medium,500,1800,1500,5-Jan-16
4277,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,100,700,400,5-Jan-16
4278,Bangalore,Bangalore,Onion,Local,FAQ,700,1000,850,5-Jan-16
4279,Bangalore,Bangalore,Onion,Onion,FAQ,1200,2000,1600,5-Jan-16
4280,Bangalore,Bangalore,Onion,Puna,FAQ,1200,2100,1650,5-Jan-16
23826,Gadag,Gadag,Onion,Onion,FAQ,500,1600,1300,5-Jan-16
28150,Bellary,Hospet,Onion,Local,FAQ,1200,2000,1800,5-Jan-16
31805,Dharwad,Hubli (Amaragol),Onion,Local,FAQ,300,1800,850,5-Jan-16
31806,Dharwad,Hubli (Amaragol),Onion,Puna,FAQ,500,2000,1250,5-Jan-16
31807,Dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,500,1620,800,5-Jan-16
40787,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,1200,2400,1800,5-Jan-16
43354,Raichur,Raichur,Onion,Onion,FAQ,1160,1750,1552,5-Jan-16
46267,Shimoga,Shimoga,Onion,Onion,FAQ,2300,2500,2400,5-Jan-16
4273,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,100,700,400,6-Jan-16
4274,Bangalore,Bangalore,Onion,Local,FAQ,700,1000,850,6-Jan-16
4275,Bangalore,Bangalore,Onion,Onion,FAQ,1200,2000,1600,6-Jan-16
4276,Bangalore,Bangalore,Onion,Puna,FAQ,1200,2100,1650,6-Jan-16
12280,Belgaum,Belgaum,Onion,White,FAQ,600,2000,1300,6-Jan-16
12281,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,500,1900,1260,6-Jan-16
17784,Kolar,Chickkaballapura,Onion,Beelary-Red,FAQ,2000,2400,2200,6-Jan-16
21331,Davangere,Davangere,Onion,Onion,FAQ,500,1700,1100,6-Jan-16
23825,Gadag,Gadag,Onion,Onion,FAQ,500,1500,1200,6-Jan-16
28149,Bellary,Hospet,Onion,Local,FAQ,1000,1800,1200,6-Jan-16
31802,Dharwad,Hubli (Amaragol),Onion,Local,FAQ,300,1600,800,6-Jan-16
31803,Dharwad,Hubli (Amaragol),Onion,Puna,FAQ,500,2000,1250,6-Jan-16
31804,Dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,300,1700,850,6-Jan-16
43353,Raichur,Raichur,Onion,Onion,FAQ,1105,1780,1480,6-Jan-16
46266,Shimoga,Shimoga,Onion,Onion,FAQ,2300,2500,2400,6-Jan-16
48367,Tumkur,Tumkur,Onion,Other,FAQ,1250,2600,2000,6-Jan-16
49780,Udupi,Udupi,Onion,Other,FAQ,1900,2100,2000,6-Jan-16
1416,Chikmagalur,Bagepalli,Onion,Onion,FAQ,1200,1600,1400,7-Jan-16
4269,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,100,700,400,7-Jan-16
4270,Bangalore,Bangalore,Onion,Local,FAQ,700,1000,850,7-Jan-16
4271,Bangalore,Bangalore,Onion,Onion,FAQ,1200,2000,1600,7-Jan-16
4272,Bangalore,Bangalore,Onion,Puna,FAQ,1400,2000,1700,7-Jan-16
12278,Belgaum,Belgaum,Onion,White,FAQ,600,2000,1300,7-Jan-16
12279,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,500,1900,1260,7-Jan-16
23824,Gadag,Gadag,Onion,Onion,FAQ,300,1500,1000,7-Jan-16
36103,Bagalkot,Jamakhandi,Onion,Onion,FAQ,300,2000,1500,7-Jan-16
4265,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,100,600,350,8-Jan-16
4266,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,8-Jan-16
4267,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1800,1500,8-Jan-16
4268,Bangalore,Bangalore,Onion,Puna,FAQ,1200,1900,1550,8-Jan-16
12276,Belgaum,Belgaum,Onion,White,FAQ,600,2000,1300,8-Jan-16
12277,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,500,1900,1260,8-Jan-16
21330,Davangere,Davangere,Onion,Onion,FAQ,500,1500,1000,8-Jan-16
23823,Gadag,Gadag,Onion,Onion,FAQ,300,1500,1200,8-Jan-16
31799,Dharwad,Hubli (Amaragol),Onion,Local,FAQ,300,1750,850,8-Jan-16
31800,Dharwad,Hubli (Amaragol),Onion,Puna,FAQ,400,1900,1150,8-Jan-16
31801,Dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,300,1600,800,8-Jan-16
43352,Raichur,Raichur,Onion,Onion,FAQ,900,1530,1305,8-Jan-16
45716,Haveri,Ranebennur,Onion,Local,Medium,600,2000,1700,8-Jan-16
46265,Shimoga,Shimoga,Onion,Onion,FAQ,2300,2500,2400,8-Jan-16
48366,Tumkur,Tumkur,Onion,Other,FAQ,1700,2500,2000,8-Jan-16
1013,Bagalkot,Bagalakot,Onion,Onion,Medium,500,1890,1450,9-Jan-16
12274,Belgaum,Belgaum,Onion,White,FAQ,500,1800,1240,9-Jan-16
12275,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,400,1700,1100,9-Jan-16
17783,Kolar,Chickkaballapura,Onion,Beelary-Red,FAQ,1800,2200,2000,9-Jan-16
23822,Gadag,Gadag,Onion,Onion,FAQ,400,1200,900,9-Jan-16
31796,Dharwad,Hubli (Amaragol),Onion,Local,FAQ,300,1610,800,9-Jan-16
31797,Dharwad,Hubli (Amaragol),Onion,Puna,FAQ,400,1900,1150,9-Jan-16
31798,Dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,300,1450,725,9-Jan-16
43351,Raichur,Raichur,Onion,Onion,FAQ,950,1611,1320,9-Jan-16
12272,Belgaum,Belgaum,Onion,White,FAQ,500,1800,1240,10-Jan-16
12273,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,400,1700,1100,10-Jan-16
4261,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,100,400,250,11-Jan-16
4262,Bangalore,Bangalore,Onion,Local,FAQ,400,1000,700,11-Jan-16
4263,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1600,1300,11-Jan-16
4264,Bangalore,Bangalore,Onion,Puna,FAQ,1200,1800,1500,11-Jan-16
16116,Bijapur,Bijapur,Onion,Onion,FAQ,500,1700,1000,11-Jan-16
21329,Davangere,Davangere,Onion,Onion,FAQ,500,1700,1100,11-Jan-16
28148,Bellary,Hospet,Onion,Hybrid,FAQ,1600,1800,1700,11-Jan-16
