"Min,Max,Modal Price from Karnataka[Ragi (Finger Millet)] from 01-Jan-2014To31-Dec-2014 (Total-2065) (Total-2065)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1712,Mandya,Nagamangala,Ragi (Finger Millet),Local,Medium,1400,1750,1600,1-Jan-14
1197,Mysore,Hunsur,Ragi (Finger Millet),Local,Medium,1400,1400,1400,2-Jan-14
206,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,1400,1550,1500,3-Jan-14
207,Hassan,Arasikere,Ragi (Finger Millet),Local,FAQ,1400,1550,1500,3-Jan-14
471,Bangalore,Bangalore,Ragi (Finger Millet),Fine,FAQ,1800,2100,1900,3-Jan-14
1361,Tumkur,Kunigal,Ragi (Finger Millet),Fine,FAQ,1400,1600,1500,3-Jan-14
1612,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,1427,1619,1565,3-Jan-14
1613,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,FAQ,1427,1619,1565,3-Jan-14
1830,Mysore,Piriya Pattana,Ragi (Finger Millet),Local,Medium,1500,1500,1500,3-Jan-14
1893,Shimoga,Shimoga,Ragi (Finger Millet),Red,FAQ,1200,1600,1400,3-Jan-14
2064,Tumkur,Tumkur,Ragi (Finger Millet),Local,Medium,1500,2000,1800,3-Jan-14
2065,Tumkur,Tumkur,Ragi (Finger Millet),Local,FAQ,1500,2000,1800,3-Jan-14
205,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,1460,1760,1555,4-Jan-14
469,Bangalore,Bangalore,Ragi (Finger Millet),Fine,Medium,1800,2100,1900,4-Jan-14
470,Bangalore,Bangalore,Ragi (Finger Millet),Fine,FAQ,1800,2100,1900,4-Jan-14
1051,Hassan,Holenarsipura,Ragi (Finger Millet),Local,Medium,1056,1056,1056,4-Jan-14
1052,Hassan,Holenarsipura,Ragi (Finger Millet),Local,FAQ,1056,1056,1056,4-Jan-14
1196,Mysore,Hunsur,Ragi (Finger Millet),Local,Medium,1400,1400,1400,4-Jan-14
1310,Chikmagalur,Kadur,Ragi (Finger Millet),Red,FAQ,1825,1825,1825,4-Jan-14
1611,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,1456,1610,1530,4-Jan-14
1049,Hassan,Holenarsipura,Ragi (Finger Millet),Local,Medium,1500,1500,1500,5-Jan-14
1050,Hassan,Holenarsipura,Ragi (Finger Millet),Local,FAQ,1500,1500,1500,5-Jan-14
204,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,1512,1512,1512,6-Jan-14
467,Bangalore,Bangalore,Ragi (Finger Millet),Fine,Medium,1800,2100,1900,6-Jan-14
468,Bangalore,Bangalore,Ragi (Finger Millet),Fine,FAQ,1800,2100,1900,6-Jan-14
589,Hassan,Channarayapatna,Ragi (Finger Millet),Fine,FAQ,1500,1500,1500,6-Jan-14
688,Kolar,Chintamani,Ragi (Finger Millet),Local,Medium,1500,1600,1550,6-Jan-14
689,Kolar,Chintamani,Ragi (Finger Millet),Local,FAQ,1500,1600,1550,6-Jan-14
797,Tumkur,Gubbi,Ragi (Finger Millet),Local,Medium,1400,1600,1500,6-Jan-14
798,Tumkur,Gubbi,Ragi (Finger Millet),Local,FAQ,1400,1600,1500,6-Jan-14
1195,Mysore,Hunsur,Ragi (Finger Millet),Local,Medium,1500,1500,1500,6-Jan-14
1610,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,1419,1546,1492,6-Jan-14
1828,Mysore,Piriya Pattana,Ragi (Finger Millet),Local,Medium,1500,1500,1500,6-Jan-14
1829,Mysore,Piriya Pattana,Ragi (Finger Millet),Local,FAQ,1500,1500,1500,6-Jan-14
203,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,1580,1580,1580,7-Jan-14
465,Bangalore,Bangalore,Ragi (Finger Millet),Fine,Medium,1700,2200,1950,7-Jan-14
466,Bangalore,Bangalore,Ragi (Finger Millet),Fine,FAQ,1700,2200,1950,7-Jan-14
955,Haveri,Haveri,Ragi (Finger Millet),Medium,Medium,1400,1400,1400,7-Jan-14
1194,Mysore,Hunsur,Ragi (Finger Millet),Local,Medium,1400,1400,1400,7-Jan-14
1339,Chamrajnagar,Kollegal,Ragi (Finger Millet),Local,Medium,1600,1600,1600,7-Jan-14
1360,Tumkur,Kunigal,Ragi (Finger Millet),Fine,Medium,1400,1600,1500,7-Jan-14
1609,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,1360,1620,1472,7-Jan-14
2063,Tumkur,Tumkur,Ragi (Finger Millet),Local,Medium,1400,1700,1500,7-Jan-14
202,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,1450,1450,1450,8-Jan-14
464,Bangalore,Bangalore,Ragi (Finger Millet),Fine,Medium,1850,2200,1950,8-Jan-14
620,Chikmagalur,Chikkamagalore,Ragi (Finger Millet),Local,Medium,1400,1800,1600,8-Jan-14
934,Hassan,Hassan,Ragi (Finger Millet),Other,Medium,1400,1504,1400,8-Jan-14
1048,Hassan,Holenarsipura,Ragi (Finger Millet),Local,Medium,1800,1800,1800,8-Jan-14
1176,Tumkur,Huliyar,Ragi (Finger Millet),Local,Medium,1000,2500,1213,8-Jan-14
1309,Chikmagalur,Kadur,Ragi (Finger Millet),Red,Medium,1800,1825,1800,8-Jan-14
1608,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,1404,1623,1484,8-Jan-14
1711,Mandya,Nagamangala,Ragi (Finger Millet),Local,Medium,1600,1700,1600,8-Jan-14
1827,Mysore,Piriya Pattana,Ragi (Finger Millet),Local,Medium,1500,1500,1500,8-Jan-14
201,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,1455,1455,1455,9-Jan-14
463,Bangalore,Bangalore,Ragi (Finger Millet),Fine,Medium,1700,2200,1950,9-Jan-14
933,Hassan,Hassan,Ragi (Finger Millet),Other,Medium,1400,1400,1400,9-Jan-14
1047,Hassan,Holenarsipura,Ragi (Finger Millet),Local,Medium,1600,1600,1600,9-Jan-14
1607,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,1320,1630,1492,9-Jan-14
200,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,1450,1450,1450,10-Jan-14
462,Bangalore,Bangalore,Ragi (Finger Millet),Fine,Medium,1850,2200,1950,10-Jan-14
1308,Chikmagalur,Kadur,Ragi (Finger Millet),Red,Medium,1200,1200,1200,10-Jan-14
199,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,1400,1580,1400,13-Jan-14
461,Bangalore,Bangalore,Ragi (Finger Millet),Fine,Medium,1850,2200,1950,13-Jan-14
515,Shimoga,Bhadravathi,Ragi (Finger Millet),Local,Medium,2100,2100,2100,13-Jan-14
687,Kolar,Chintamani,Ragi (Finger Millet),Local,Medium,1450,1700,1600,13-Jan-14
796,Tumkur,Gubbi,Ragi (Finger Millet),Local,Medium,1400,1600,1500,13-Jan-14
813,Chamrajnagar,Gundlupet,Ragi (Finger Millet),Local,Medium,1600,1600,1600,13-Jan-14
1606,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,1280,1656,1442,13-Jan-14
1826,Mysore,Piriya Pattana,Ragi (Finger Millet),Local,Medium,1500,1500,1500,13-Jan-14
1995,Chikmagalur,Tarikere,Ragi (Finger Millet),Local,Medium,1600,1600,1600,13-Jan-14
686,Kolar,Chintamani,Ragi (Finger Millet),Local,Medium,1500,1700,1600,14-Jan-14
198,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,1430,1455,1455,16-Jan-14
460,Bangalore,Bangalore,Ragi (Finger Millet),Fine,Medium,1850,2200,1950,16-Jan-14
619,Chikmagalur,Chikkamagalore,Ragi (Finger Millet),Local,Medium,1500,1800,1600,16-Jan-14
870,Davangere,Harappana Halli,Ragi (Finger Millet),Local,Medium,1425,1425,1425,16-Jan-14
932,Hassan,Hassan,Ragi (Finger Millet),Other,Medium,1300,1700,1400,16-Jan-14
1605,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,1386,1540,1424,16-Jan-14
1710,Mandya,Nagamangala,Ragi (Finger Millet),Local,Medium,1400,1600,1600,16-Jan-14
1825,Mysore,Piriya Pattana,Ragi (Finger Millet),Local,Medium,1500,1500,1500,16-Jan-14
