State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Bangalore,Bangalore,Rice,3,1751,01-Jan-2013
Karnataka,KK,Bidar,Bidar,Rice,3,19,01-Jan-2013
Karnataka,KK,Gulbarga,Gulbarga,Rice,3,23,01-Jan-2013
Karnataka,KK,Hassan,Arasikere,Rice,3,1,01-Jan-2013
Karnataka,KK,Hassan,Holenarsipura,Rice,3,7,01-Jan-2013
Karnataka,KK,Haveri,Haveri,Rice,3,18,01-Jan-2013
Karnataka,KK,Kolar,Bangarpet,Rice,3,218,01-Jan-2013
Karnataka,KK,Kolar,Chintamani,Rice,3,38,01-Jan-2013
Karnataka,KK,Kolar,Kolar,Rice,3,20,01-Jan-2013
Karnataka,KK,Mangalore(Dakshin Kannad),Mangalore,Rice,3,24,01-Jan-2013
Karnataka,KK,Raichur,Manvi,Rice,3,152,01-Jan-2013
Karnataka,KK,Shimoga,Shimoga,Rice,3,12,01-Jan-2013
Karnataka,KK,Udupi,Kundapura,Rice,3,1,01-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Rice,3,1508,02-Jan-2013
Karnataka,KK,Bidar,Bidar,Rice,3,21,02-Jan-2013
Karnataka,KK,Gulbarga,Gulbarga,Rice,3,27,02-Jan-2013
Karnataka,KK,Haveri,Haveri,Rice,3,23,02-Jan-2013
Karnataka,KK,Kolar,Bangarpet,Rice,3,399,02-Jan-2013
Karnataka,KK,Kolar,Kolar,Rice,3,23,02-Jan-2013
Karnataka,KK,Mangalore(Dakshin Kannad),Mangalore,Rice,3,18,02-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Rice,3,206,02-Jan-2013
Karnataka,KK,Raichur,Manvi,Rice,3,69,02-Jan-2013
Karnataka,KK,Raichur,Sindhanur,Rice,3,15,02-Jan-2013
Karnataka,KK,Shimoga,Shimoga,Rice,3,6,02-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Rice,3,1981,03-Jan-2013
Karnataka,KK,Belgaum,Kudchi,Rice,3,1,03-Jan-2013
Karnataka,KK,Bidar,Bidar,Rice,3,20,03-Jan-2013
Karnataka,KK,Chamrajnagar,Gundlupet,Rice,3,9,03-Jan-2013
Karnataka,KK,Chamrajnagar,Kollegal,Rice,3,28,03-Jan-2013
Karnataka,KK,Gulbarga,Gulbarga,Rice,3,38,03-Jan-2013
Karnataka,KK,Kolar,Bangarpet,Rice,3,92,03-Jan-2013
Karnataka,KK,Kolar,Chintamani,Rice,3,48,03-Jan-2013
Karnataka,KK,Kolar,Mulabagilu,Rice,3,2,03-Jan-2013
Karnataka,KK,Kolar,Srinivasapur,Rice,3,7,03-Jan-2013
Karnataka,KK,Mangalore(Dakshin Kannad),Mangalore,Rice,3,18,03-Jan-2013
Karnataka,KK,Mysore,K.R.Nagar,Rice,3,28,03-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Rice,3,466,03-Jan-2013
Karnataka,KK,Raichur,Sindhanur,Rice,3,6,03-Jan-2013
Karnataka,KK,Shimoga,Shimoga,Rice,3,64,03-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Rice,3,2026,04-Jan-2013
Karnataka,KK,Bidar,Bidar,Rice,3,21,04-Jan-2013
Karnataka,KK,Chamrajnagar,Gundlupet,Rice,3,3,04-Jan-2013
Karnataka,KK,Chamrajnagar,Kollegal,Rice,3,9,04-Jan-2013
Karnataka,KK,Gulbarga,Gulbarga,Rice,3,20,04-Jan-2013
Karnataka,KK,Hassan,Holenarsipura,Rice,3,14,04-Jan-2013
Karnataka,KK,Kolar,Bangarpet,Rice,3,350,04-Jan-2013
Karnataka,KK,Kolar,Chintamani,Rice,3,54,04-Jan-2013
Karnataka,KK,Mangalore(Dakshin Kannad),Mangalore,Rice,3,18,04-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Rice,3,352,04-Jan-2013
Karnataka,KK,Shimoga,Shimoga,Rice,3,1,04-Jan-2013
Karnataka,KK,Udupi,Kundapura,Rice,3,16,04-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Rice,3,2506,05-Jan-2013
Karnataka,KK,Belgaum,Nippani,Rice,3,6,05-Jan-2013
Karnataka,KK,Bidar,Bidar,Rice,3,25,05-Jan-2013
Karnataka,KK,Gulbarga,Gulbarga,Rice,3,17,05-Jan-2013
Karnataka,KK,Haveri,Hanagal,Rice,3,15,05-Jan-2013
Karnataka,KK,Kolar,Bangarpet,Rice,3,233,05-Jan-2013
Karnataka,KK,Kolar,Chintamani,Rice,3,28,05-Jan-2013
Karnataka,KK,Koppal,Gangavathi,Rice,3,7,05-Jan-2013
Karnataka,KK,Mangalore(Dakshin Kannad),Mangalore,Rice,3,18,05-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Rice,3,427,05-Jan-2013
Karnataka,KK,Shimoga,Shikaripura,Rice,3,16,05-Jan-2013
Karnataka,KK,Shimoga,Shimoga,Rice,3,39,05-Jan-2013
Karnataka,KK,Shimoga,Thirthahalli,Rice,3,5,05-Jan-2013
Karnataka,KK,Tumkur,Madhugiri,Rice,3,1,05-Jan-2013
Karnataka,KK,Kolar,Chintamani,Rice,3,61,06-Jan-2013
Karnataka,KK,Kolar,Kolar,Rice,3,9,06-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Rice,3,3018,07-Jan-2013
Karnataka,KK,Bidar,Bidar,Rice,3,23,07-Jan-2013
Karnataka,KK,Gulbarga,Gulbarga,Rice,3,32,07-Jan-2013
Karnataka,KK,Kolar,Bangarpet,Rice,3,226,07-Jan-2013
Karnataka,KK,Kolar,Chintamani,Rice,3,19,07-Jan-2013
Karnataka,KK,Kolar,Malur,Rice,3,3,07-Jan-2013
Karnataka,KK,Koppal,Gangavathi,Rice,3,6,07-Jan-2013
Karnataka,KK,Madikeri(Kodagu),Somvarpet,Rice,3,4,07-Jan-2013
Karnataka,KK,Mangalore(Dakshin Kannad),Mangalore,Rice,3,19,07-Jan-2013
Karnataka,KK,Mysore,Hunsur,Rice,3,5,07-Jan-2013
Karnataka,KK,Mysore,K.R.Nagar,Rice,3,1,07-Jan-2013
Karnataka,KK,Shimoga,Shimoga,Rice,3,30,07-Jan-2013
Karnataka,KK,Tumkur,Madhugiri,Rice,3,1,07-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Rice,3,2361,08-Jan-2013
Karnataka,KK,Bangalore,Channapatana,Rice,3,1,08-Jan-2013
Karnataka,KK,Bidar,Bidar,Rice,3,21,08-Jan-2013
Karnataka,KK,Gulbarga,Gulbarga,Rice,3,27,08-Jan-2013
Karnataka,KK,Hassan,Holenarsipura,Rice,3,14,08-Jan-2013
Karnataka,KK,Haveri,Ranebennur,Rice,3,20,08-Jan-2013
Karnataka,KK,Kolar,Bangarpet,Rice,3,310,08-Jan-2013
Karnataka,KK,Kolar,Chintamani,Rice,3,26,08-Jan-2013
Karnataka,KK,Koppal,Gangavathi,Rice,3,79,08-Jan-2013
Karnataka,KK,Mangalore(Dakshin Kannad),Mangalore,Rice,3,19,08-Jan-2013
Karnataka,KK,Mysore,K.R.Nagar,Rice,3,3,08-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Rice,3,207,08-Jan-2013
Karnataka,KK,Shimoga,Shimoga,Rice,3,16,08-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Rice,3,2050,09-Jan-2013
Karnataka,KK,Bidar,Bidar,Rice,3,25,09-Jan-2013
Karnataka,KK,Chamrajnagar,Kollegal,Rice,3,1,09-Jan-2013
Karnataka,KK,Gulbarga,Gulbarga,Rice,3,30,09-Jan-2013
Karnataka,KK,Kolar,Bangarpet,Rice,3,243,09-Jan-2013
Karnataka,KK,Madikeri(Kodagu),Madikeri,Rice,3,4,09-Jan-2013
Karnataka,KK,Mangalore(Dakshin Kannad),Mangalore,Rice,3,20,09-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Rice,3,251,09-Jan-2013
Karnataka,KK,Mysore,Nanjangud,Rice,3,9,09-Jan-2013
Karnataka,KK,Mysore,Piriya Pattana,Rice,3,25,09-Jan-2013
Karnataka,KK,Raichur,Sindhanur,Rice,3,10,09-Jan-2013
Karnataka,KK,Shimoga,Shikaripura,Rice,3,18,09-Jan-2013
Karnataka,KK,Shimoga,Shimoga,Rice,3,26,09-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Rice,3,2494,10-Jan-2013
Karnataka,KK,Bidar,Bidar,Rice,3,26,10-Jan-2013
Karnataka,KK,Chamrajnagar,Kollegal,Rice,3,1,10-Jan-2013
Karnataka,KK,Gulbarga,Gulbarga,Rice,3,37,10-Jan-2013
Karnataka,KK,Haveri,Hanagal,Rice,3,15,10-Jan-2013
Karnataka,KK,Kolar,Bangarpet,Rice,3,247,10-Jan-2013
Karnataka,KK,Kolar,Chintamani,Rice,3,40,10-Jan-2013
Karnataka,KK,Kolar,Mulabagilu,Rice,3,9,10-Jan-2013
Karnataka,KK,Kolar,Srinivasapur,Rice,3,8,10-Jan-2013
Karnataka,KK,Mandya,K.R. Pet,Rice,3,1,10-Jan-2013
Karnataka,KK,Mangalore(Dakshin Kannad),Mangalore,Rice,3,20,10-Jan-2013
Karnataka,KK,Mysore,Hunsur,Rice,3,20,10-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Rice,3,256,10-Jan-2013
Karnataka,KK,Shimoga,Shimoga,Rice,3,19,10-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Rice,3,2550,11-Jan-2013
Karnataka,KK,Chamrajnagar,Gundlupet,Rice,3,3,11-Jan-2013
Karnataka,KK,Hassan,Holenarsipura,Rice,3,39,11-Jan-2013
Karnataka,KK,Kolar,Bangarpet,Rice,3,334,11-Jan-2013
Karnataka,KK,Kolar,Chintamani,Rice,3,70,11-Jan-2013
Karnataka,KK,Koppal,Gangavathi,Rice,3,132,11-Jan-2013
Karnataka,KK,Madikeri(Kodagu),Gonikappal,Rice,3,8,11-Jan-2013
Karnataka,KK,Mangalore(Dakshin Kannad),Mangalore,Rice,3,20,11-Jan-2013
Karnataka,KK,Mysore,Hunsur,Rice,3,14,11-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Rice,3,135,11-Jan-2013
Karnataka,KK,Shimoga,Bhadravathi,Rice,3,5,11-Jan-2013
Karnataka,KK,Shimoga,Shimoga,Rice,3,18,11-Jan-2013
Karnataka,KK,Bidar,Bidar,Rice,3,24,12-Jan-2013
Karnataka,KK,Gulbarga,Gulbarga,Rice,3,29,12-Jan-2013
Karnataka,KK,Kolar,Bangarpet,Rice,3,295,12-Jan-2013
Karnataka,KK,Kolar,Chintamani,Rice,3,49,12-Jan-2013
Karnataka,KK,Kolar,Chintamani,Rice,3,44,13-Jan-2013
