"Min,Max,Modal Price from Karnataka[Rice] from 01-Jan-2016To31-Dec-2016 (Total-6495) (Total-6495)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
157,Chikmagalur,Bagepalli,Rice,Medium,FAQ,2000,2500,2200,1-Jan-16
424,Bangalore,Bangalore,Rice,Medium,FAQ,4000,4200,4100,1-Jan-16
1003,Kolar,Bangarpet,Rice,Broken Rice,FAQ,1520,1850,1680,1-Jan-16
1004,Kolar,Bangarpet,Rice,Sarbati Raw,FAQ,2450,2980,2880,1-Jan-16
1548,Bidar,Bidar,Rice,CR 1009 (Coarse) Boiled,FAQ,3000,4700,4200,1-Jan-16
1549,Bidar,Bidar,Rice,Broken Rice,FAQ,1900,2400,2200,1-Jan-16
2412,Kolar,Chintamani,Rice,Sona,FAQ,3500,4900,4500,1-Jan-16
2413,Kolar,Chintamani,Rice,Hansa,FAQ,2400,2800,2650,1-Jan-16
2414,Kolar,Chintamani,Rice,Broken Rice,FAQ,1800,2000,1900,1-Jan-16
2451,Davangere,Davangere,Rice,Medium,FAQ,3200,3300,3250,1-Jan-16
3103,Gulbarga,Gulbarga,Rice,Broken Rice,FAQ,1850,2450,2150,1-Jan-16
3104,Gulbarga,Gulbarga,Rice,Fine,FAQ,3250,4450,4150,1-Jan-16
3150,Chamrajnagar,Gundlupet,Rice,Other,FAQ,1333,2000,1665,1-Jan-16
3906,Madikeri(Kodagu),Madikeri,Rice,Fine,FAQ,3235,3235,3235,1-Jan-16
4758,Mangalore(Dakshin Kannad),Mangalore,Rice,Kattasambar,FAQ,2300,2600,2400,1-Jan-16
4759,Mangalore(Dakshin Kannad),Mangalore,Rice,IR-8,FAQ,2200,2420,2350,1-Jan-16
4760,Mangalore(Dakshin Kannad),Mangalore,Rice,Fine,FAQ,2700,3280,3000,1-Jan-16
5397,Mysore,Mysore (Bandipalya),Rice,Broken Rice,FAQ,1600,1800,1700,1-Jan-16
5398,Mysore,Mysore (Bandipalya),Rice,Fine,FAQ,3500,4500,4000,1-Jan-16
5496,Haveri,Ranebennur,Rice,Broken Rice,Medium,2811,2811,2811,1-Jan-16
6255,Shimoga,Shimoga,Rice,Medium,FAQ,2150,3750,2950,1-Jan-16
6256,Shimoga,Shimoga,Rice,Fine,FAQ,2400,4300,3350,1-Jan-16
6257,Shimoga,Shimoga,Rice,Coarse,FAQ,1900,2400,2150,1-Jan-16
6403,Kolar,Srinivasapur,Rice,Fine,FAQ,2800,4000,3020,1-Jan-16
423,Bangalore,Bangalore,Rice,Medium,FAQ,4000,4200,4100,2-Jan-16
1001,Kolar,Bangarpet,Rice,Sarbati Raw,FAQ,2450,2950,2850,2-Jan-16
1002,Kolar,Bangarpet,Rice,Broken Rice,FAQ,1550,1850,1650,2-Jan-16
1070,Mangalore(Dakshin Kannad),Belthangdi,Rice,Kachha Basmati,FAQ,2400,3480,3000,2-Jan-16
1546,Bidar,Bidar,Rice,Broken Rice,FAQ,2000,2400,2200,2-Jan-16
1547,Bidar,Bidar,Rice,CR 1009 (Coarse) Boiled,FAQ,3000,4800,4500,2-Jan-16
2409,Kolar,Chintamani,Rice,Broken Rice,FAQ,1800,2000,1900,2-Jan-16
2410,Kolar,Chintamani,Rice,Hansa,FAQ,2500,2800,2700,2-Jan-16
2411,Kolar,Chintamani,Rice,Sona,FAQ,3600,5000,4800,2-Jan-16
