State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,10,01-Jan-2010
Karnataka,KK,Belgaum,Sankeshwar,Soyabean,13,4,01-Jan-2010
Karnataka,KK,Bidar,Aurad,Soyabean,13,2,01-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,1,01-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,3,01-Jan-2010
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,16,01-Jan-2010
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,10,02-Jan-2010
Karnataka,KK,Bidar,Aurad,Soyabean,13,5,02-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,1,02-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,18,02-Jan-2010
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,87,02-Jan-2010
Karnataka,KK,Haveri,Savanur,Soyabean,13,4,02-Jan-2010
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,16,04-Jan-2010
Karnataka,KK,Bidar,Aurad,Soyabean,13,9,04-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,2,04-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,11,04-Jan-2010
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,28,04-Jan-2010
Karnataka,KK,Haveri,Savanur,Soyabean,13,16,04-Jan-2010
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,10,05-Jan-2010
Karnataka,KK,Bidar,Aurad,Soyabean,13,1,05-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,1,05-Jan-2010
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,6,05-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,1,05-Jan-2010
Karnataka,KK,Haveri,Savanur,Soyabean,13,1,05-Jan-2010
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,12,06-Jan-2010
Karnataka,KK,Belgaum,Sankeshwar,Soyabean,13,80,06-Jan-2010
Karnataka,KK,Bidar,Aurad,Soyabean,13,1,06-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,1,06-Jan-2010
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,47,06-Jan-2010
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,12,07-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,1,07-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,31,07-Jan-2010
Karnataka,KK,Haveri,Savanur,Soyabean,13,9,07-Jan-2010
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,13,08-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,2,08-Jan-2010
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,16,08-Jan-2010
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,10,09-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,1,09-Jan-2010
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,40,09-Jan-2010
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,39,09-Jan-2010
Karnataka,KK,Haveri,Savanur,Soyabean,13,4,09-Jan-2010
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,8,11-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,1,11-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,12,11-Jan-2010
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,30,11-Jan-2010
Karnataka,KK,Haveri,Savanur,Soyabean,13,8,11-Jan-2010
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,1,12-Jan-2010
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,9,12-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,5,12-Jan-2010
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,31,12-Jan-2010
Karnataka,KK,Haveri,Savanur,Soyabean,13,6,12-Jan-2010
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,12,13-Jan-2010
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,46,13-Jan-2010
Karnataka,KK,Haveri,Savanur,Soyabean,13,1,13-Jan-2010
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,15,15-Jan-2010
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,8,16-Jan-2010
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,24,16-Jan-2010
Karnataka,KK,Haveri,Savanur,Soyabean,13,2,16-Jan-2010
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,5,18-Jan-2010
Karnataka,KK,Bidar,Aurad,Soyabean,13,2,18-Jan-2010
