"Min,Max,Modal Price from Karnataka[Soyabean] from 01-Jan-2008To31-Dec-2008 (Total-854) (Total-854)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Data
88,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,1960,1995,1980,4-Jan-08
806,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,1849,1849,1849,4-Jan-08
511,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1900,2026,1950,5-Jan-08
805,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2036,2036,2036,6-Jan-08
323,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,7-Jan-08
510,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2019,2050,2020,7-Jan-08
635,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,901,2021,2001,7-Jan-08
845,Haveri,Savanur,Soyabean,Other,FAQ,1850,1990,1920,7-Jan-08
322,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,8-Jan-08
321,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,9-Jan-08
634,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1501,2031,1975,9-Jan-08
739,Dharwad,Kundagol,Soyabean,Other,FAQ,1979,1979,1979,9-Jan-08
844,Haveri,Savanur,Soyabean,Other,FAQ,1940,1940,1940,9-Jan-08
320,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,10-Jan-08
509,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2050,2020,10-Jan-08
633,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1969,2030,1975,10-Jan-08
87,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,1960,2000,1990,11-Jan-08
508,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2011,2050,2025,11-Jan-08
632,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1909,2009,2009,11-Jan-08
507,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2020,2100,2050,12-Jan-08
3,Bidar,Aurad,Soyabean,Soyabeen,FAQ,1950,1950,1950,14-Jan-08
319,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,14-Jan-08
318,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,16-Jan-08
631,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1821,2062,2052,16-Jan-08
738,Dharwad,Kundagol,Soyabean,Other,FAQ,1998,1998,1998,16-Jan-08
804,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2100,2100,2100,16-Jan-08
854,Haveri,Shiggauv,Soyabean,Soyabeen,FAQ,1990,2010,2001,16-Jan-08
317,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,17-Jan-08
506,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2030,2040,2030,17-Jan-08
630,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,0,1949,1949,17-Jan-08
843,Haveri,Savanur,Soyabean,Other,FAQ,1869,2009,1939,17-Jan-08
86,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,1990,2030,2000,18-Jan-08
316,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,18-Jan-08
505,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2070,2020,18-Jan-08
629,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1909,2009,2001,19-Jan-08
315,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,21-Jan-08
504,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1900,2025,2000,21-Jan-08
724,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2030,2090,2080,21-Jan-08
803,Belgaum,Sankeshwar,Soyabean,Soyabeen,Medium,1979,1979,1979,21-Jan-08
842,Haveri,Savanur,Soyabean,Other,FAQ,2542,2796,2655,21-Jan-08
314,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,22-Jan-08
503,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1971,2021,2000,22-Jan-08
802,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,1936,1960,1948,22-Jan-08
313,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,23-Jan-08
502,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1950,2000,1980,23-Jan-08
723,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2010,2050,2040,23-Jan-08
737,Dharwad,Kundagol,Soyabean,Other,FAQ,2044,2044,2044,23-Jan-08
312,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,24-Jan-08
501,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1850,1925,1900,24-Jan-08
628,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1469,1910,1829,24-Jan-08
801,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2000,2000,2000,24-Jan-08
841,Haveri,Savanur,Soyabean,Other,FAQ,1720,1800,1760,24-Jan-08
85,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,1900,2030,1920,25-Jan-08
311,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,25-Jan-08
500,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1920,1965,1950,25-Jan-08
627,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,0,1900,1900,25-Jan-08
722,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2030,2060,2050,25-Jan-08
800,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,1884,1884,1884,25-Jan-08
310,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,28-Jan-08
499,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1941,1950,1945,28-Jan-08
566,Dharwad,Dharwar,Soyabean,Other,FAQ,1825,1825,1825,28-Jan-08
721,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,1980,2060,2020,28-Jan-08
799,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,1998,1998,1998,28-Jan-08
309,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,29-Jan-08
498,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1950,2025,2000,29-Jan-08
565,Dharwad,Dharwar,Soyabean,Other,FAQ,1800,1875,1800,29-Jan-08
798,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,1911,1911,1911,29-Jan-08
497,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1965,1965,1965,30-Jan-08
720,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,1930,1960,1950,30-Jan-08
853,Haveri,Shiggauv,Soyabean,Other,FAQ,1910,1975,1950,30-Jan-08
496,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2051,2000,31-Jan-08
626,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1609,2329,2119,31-Jan-08
84,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,1900,1990,1980,1-Feb-08
495,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2051,2000,1-Feb-08
494,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1970,1970,1970,2-Feb-08
625,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1009,1953,1709,2-Feb-08
493,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1900,2050,1976,4-Feb-08
624,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,0,1939,1939,4-Feb-08
719,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,1990,2035,2020,4-Feb-08
