"Min,Max,Modal Price from Karnataka[Soyabean] from 01-Jan-2016To31-Dec-2016 (Total-1889) (Total-1889)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
456,Bidar,Basava Kalayana,Soyabean,Soyabeen,FAQ,3400,3671,3550,1-Jan-16
614,Bidar,Bhalki,Soyabean,Soyabeen,Medium,3300,3641,3501,1-Jan-16
1064,Gulbarga,Gulbarga,Soyabean,Soyabeen,FAQ,3155,3458,3322,1-Jan-16
1393,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,2245,3375,2959,1-Jan-16
1595,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,3400,3520,3417,1-Jan-16
1636,Gadag,Laxmeshwar,Soyabean,Soyabeen,FAQ,2860,3279,3070,1-Jan-16
455,Bidar,Basava Kalayana,Soyabean,Soyabeen,FAQ,3450,3600,3500,2-Jan-16
613,Bidar,Bhalki,Soyabean,Soyabeen,Medium,3380,3605,3504,2-Jan-16
823,Dharwad,Dharwar,Soyabean,Soyabeen,FAQ,3110,3665,3500,2-Jan-16
1063,Gulbarga,Gulbarga,Soyabean,Soyabeen,FAQ,3142,3448,3308,2-Jan-16
1182,Haveri,Haveri,Soyabean,Soyabeen,Medium,3419,3510,3480,2-Jan-16
1392,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,2419,3549,2809,2-Jan-16
1594,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,3400,3500,3400,2-Jan-16
1612,Dharwad,Kundagol,Soyabean,Soyabeen,FAQ,3350,3350,3350,2-Jan-16
454,Bidar,Basava Kalayana,Soyabean,Soyabeen,FAQ,3350,3600,3500,4-Jan-16
612,Bidar,Bhalki,Soyabean,Soyabeen,Medium,3404,3710,3501,4-Jan-16
822,Dharwad,Dharwar,Soyabean,Soyabeen,FAQ,3415,3635,3430,4-Jan-16
1062,Gulbarga,Gulbarga,Soyabean,Soyabeen,FAQ,3154,3425,3285,4-Jan-16
1391,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,3031,3519,3319,4-Jan-16
1635,Gadag,Laxmeshwar,Soyabean,Soyabeen,FAQ,2929,2929,2929,4-Jan-16
1805,Haveri,Savanur,Soyabean,Soyabeen,FAQ,2329,3583,3406,4-Jan-16
453,Bidar,Basava Kalayana,Soyabean,Soyabeen,FAQ,3250,3650,3550,5-Jan-16
611,Bidar,Bhalki,Soyabean,Soyabeen,Medium,3405,3660,3510,5-Jan-16
