State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Bangalore,Bangalore,Wheat,1,33,01-Jan-2010
Karnataka,KK,Bangalore,Doddaballa Pur,Wheat,1,16,01-Jan-2010
Karnataka,KK,Bidar,Bidar,Wheat,1,2,01-Jan-2010
Karnataka,KK,Davangere,Davangere,Wheat,1,47,01-Jan-2010
Karnataka,KK,Gadag,Gadag,Wheat,1,1,01-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,7,01-Jan-2010
Karnataka,KK,Hassan,Hassan,Wheat,1,9,01-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Wheat,1,69,02-Jan-2010
Karnataka,KK,Bidar,Bidar,Wheat,1,3,02-Jan-2010
Karnataka,KK,Bijapur,Bijapur,Wheat,1,57,02-Jan-2010
Karnataka,KK,Dharwad,Dharwar,Wheat,1,2,02-Jan-2010
Karnataka,KK,Gadag,Gadag,Wheat,1,7,02-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,9,02-Jan-2010
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,12,02-Jan-2010
Karnataka,KK,Shimoga,Shimoga,Wheat,1,9,02-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Wheat,1,110,04-Jan-2010
Karnataka,KK,Bellary,Hospet,Wheat,1,40,04-Jan-2010
Karnataka,KK,Bidar,Bidar,Wheat,1,2,04-Jan-2010
Karnataka,KK,Gadag,Gadag,Wheat,1,2,04-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,11,04-Jan-2010
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,17,04-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Wheat,1,102,05-Jan-2010
Karnataka,KK,Belgaum,Kudchi,Wheat,1,13,05-Jan-2010
Karnataka,KK,Belgaum,Sankeshwar,Wheat,1,18,05-Jan-2010
Karnataka,KK,Bellary,Hospet,Wheat,1,10,05-Jan-2010
Karnataka,KK,Bidar,Bidar,Wheat,1,2,05-Jan-2010
Karnataka,KK,Bijapur,Bijapur,Wheat,1,147,05-Jan-2010
Karnataka,KK,Gadag,Gadag,Wheat,1,3,05-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,11,05-Jan-2010
Karnataka,KK,Mysore,K.R.Nagar,Wheat,1,89,05-Jan-2010
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,32,05-Jan-2010
Karnataka,KK,Shimoga,Shimoga,Wheat,1,10,05-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Wheat,1,15,06-Jan-2010
Karnataka,KK,Bidar,Bidar,Wheat,1,2,06-Jan-2010
Karnataka,KK,Bijapur,Sindagi,Wheat,1,5,06-Jan-2010
Karnataka,KK,Chikmagalur,Tarikere,Wheat,1,36,06-Jan-2010
Karnataka,KK,Gadag,Gadag,Wheat,1,3,06-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,13,06-Jan-2010
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,13,06-Jan-2010
Karnataka,KK,Shimoga,Shimoga,Wheat,1,9,06-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Wheat,1,17,07-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Wheat,1,1,07-Jan-2010
Karnataka,KK,Bidar,Bidar,Wheat,1,3,07-Jan-2010
Karnataka,KK,Dharwad,Dharwar,Wheat,1,17,07-Jan-2010
Karnataka,KK,Gadag,Gadag,Wheat,1,3,07-Jan-2010
Karnataka,KK,Gadag,Nargunda,Wheat,1,7,07-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,12,07-Jan-2010
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,2,07-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Wheat,1,39,08-Jan-2010
Karnataka,KK,Bidar,Bidar,Wheat,1,3,08-Jan-2010
Karnataka,KK,Davangere,Davangere,Wheat,1,54,08-Jan-2010
Karnataka,KK,Gadag,Gadag,Wheat,1,1,08-Jan-2010
Karnataka,KK,Gadag,Laxmeshwar,Wheat,1,1,08-Jan-2010
Karnataka,KK,Gadag,Nargunda,Wheat,1,18,08-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,10,08-Jan-2010
Karnataka,KK,Koppal,Gangavathi,Wheat,1,20,08-Jan-2010
Karnataka,KK,Shimoga,Bhadravathi,Wheat,1,6,08-Jan-2010
Karnataka,KK,Bidar,Bidar,Wheat,1,4,09-Jan-2010
Karnataka,KK,Gadag,Gadag,Wheat,1,17,09-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,9,09-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Wheat,1,118,11-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Wheat,1,3,11-Jan-2010
Karnataka,KK,Bidar,Bidar,Wheat,1,3,11-Jan-2010
Karnataka,KK,Gadag,Gadag,Wheat,1,5,11-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,9,11-Jan-2010
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,120,11-Jan-2010
Karnataka,KK,Shimoga,Bhadravathi,Wheat,1,28,11-Jan-2010
