"Min,Max,Modal Price from Karnataka[Wheat] from 01-Jan-2008To31-Dec-2018 (Total-35470) (Total-35470)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
14850,Chitradurga,Chitradurga,Wheat,Local,FAQ,1489,1508,1500,2-Jan-14
2365,Bangalore,Bangalore,Wheat,Local,Medium,2000,2700,2400,3-Jan-14
2366,Bangalore,Bangalore,Wheat,Local,FAQ,2000,2700,2400,3-Jan-14
6290,Bidar,Basava Kalayana,Wheat,Medium,FAQ,2750,2799,2750,3-Jan-14
6291,Bidar,Basava Kalayana,Wheat,Mexican,FAQ,1201,1201,1201,3-Jan-14
9456,Bidar,Bidar,Wheat,Red,FAQ,1600,2600,2350,3-Jan-14
12358,Bijapur,Bijapur,Wheat,Medium,FAQ,2600,2850,2750,3-Jan-14
17358,Gadag,Gadag,Wheat,White,Medium,975,1839,1600,3-Jan-14
17359,Gadag,Gadag,Wheat,White,FAQ,975,1839,1600,3-Jan-14
21870,Bellary,Hospet,Wheat,Bansi,Medium,1800,1800,1800,3-Jan-14
26644,Gadag,Laxmeshwar,Wheat,Red,FAQ,1550,1900,1839,3-Jan-14
29954,Gadag,Nargunda,Wheat,H.D.,Medium,1655,1655,1655,3-Jan-14
29955,Gadag,Nargunda,Wheat,H.D.,FAQ,1655,1655,1655,3-Jan-14
32847,Shimoga,Shimoga,Wheat,Super Fine,FAQ,2600,2600,2600,3-Jan-14
2363,Bangalore,Bangalore,Wheat,Local,Medium,2100,2561,2300,4-Jan-14
2364,Bangalore,Bangalore,Wheat,Local,FAQ,2100,2561,2300,4-Jan-14
6288,Bidar,Basava Kalayana,Wheat,Mexican,FAQ,1275,1275,1275,4-Jan-14
6289,Bidar,Basava Kalayana,Wheat,Medium,FAQ,2600,2851,2800,4-Jan-14
9454,Bidar,Bidar,Wheat,Red,Medium,1700,2550,2350,4-Jan-14
9455,Bidar,Bidar,Wheat,Red,FAQ,1700,2550,2350,4-Jan-14
12356,Bijapur,Bijapur,Wheat,Medium,Medium,2600,2800,2700,4-Jan-14
12357,Bijapur,Bijapur,Wheat,Medium,FAQ,2600,2800,2700,4-Jan-14
15416,Dharwad,Dharwar,Wheat,H.D.,Medium,1600,1600,1600,4-Jan-14
15417,Dharwad,Dharwar,Wheat,H.D.,FAQ,1600,1600,1600,4-Jan-14
17356,Gadag,Gadag,Wheat,White,Medium,1025,2239,1800,4-Jan-14
17357,Gadag,Gadag,Wheat,White,FAQ,1025,2239,1800,4-Jan-14
28753,Mysore,Mysore (Bandipalya),Wheat,Local,Medium,2600,2800,2700,4-Jan-14
28754,Mysore,Mysore (Bandipalya),Wheat,Local,FAQ,2600,2800,2700,4-Jan-14
25083,Chikmagalur,Koppa,Wheat,Other,Medium,1740,1760,1750,5-Jan-14
25084,Chikmagalur,Koppa,Wheat,Other,FAQ,1740,1760,1750,5-Jan-14
2361,Bangalore,Bangalore,Wheat,Local,Medium,2100,2561,2300,6-Jan-14
2362,Bangalore,Bangalore,Wheat,Local,FAQ,2100,2561,2300,6-Jan-14
7765,Shimoga,Bhadravathi,Wheat,Local,Medium,2000,2650,2200,6-Jan-14
9452,Bidar,Bidar,Wheat,Red,Medium,1680,2600,2475,6-Jan-14
9453,Bidar,Bidar,Wheat,Red,FAQ,1680,2600,2475,6-Jan-14
12350,Bijapur,Bijapur,Wheat,Medium,Medium,2700,2900,2800,6-Jan-14
12351,Bijapur,Bijapur,Wheat,Medium,FAQ,2700,2900,2800,6-Jan-14
12352,Bijapur,Bijapur,Wheat,Bansi,Medium,1650,2800,2200,6-Jan-14
12353,Bijapur,Bijapur,Wheat,Bansi,FAQ,1650,2800,2200,6-Jan-14
12354,Bijapur,Bijapur,Wheat,Sona,Medium,1650,2200,1900,6-Jan-14
12355,Bijapur,Bijapur,Wheat,Sona,FAQ,1650,2200,1900,6-Jan-14
15414,Dharwad,Dharwar,Wheat,H.D.,Medium,1650,1710,1680,6-Jan-14
15415,Dharwad,Dharwar,Wheat,H.D.,FAQ,1650,1710,1680,6-Jan-14
17354,Gadag,Gadag,Wheat,White,Medium,1011,2055,1800,6-Jan-14
17355,Gadag,Gadag,Wheat,White,FAQ,1011,2055,1800,6-Jan-14
19233,Koppal,Gangavathi,Wheat,Local,Medium,1720,1720,1720,6-Jan-14
19234,Koppal,Gangavathi,Wheat,Local,FAQ,1720,1720,1720,6-Jan-14
26642,Gadag,Laxmeshwar,Wheat,Red,FAQ,1469,1776,1625,6-Jan-14
26643,Gadag,Laxmeshwar,Wheat,Red,Medium,1469,1776,1625,6-Jan-14
28751,Mysore,Mysore (Bandipalya),Wheat,Local,Medium,2700,3100,2900,6-Jan-14
28752,Mysore,Mysore (Bandipalya),Wheat,Local,FAQ,2700,3100,2900,6-Jan-14
31424,Belgaum,Sankeshwar,Wheat,H.D.,Medium,1400,1500,1450,6-Jan-14
31425,Belgaum,Sankeshwar,Wheat,H.D.,FAQ,1400,1500,1450,6-Jan-14
2359,Bangalore,Bangalore,Wheat,Local,Medium,2100,2561,2300,7-Jan-14
2360,Bangalore,Bangalore,Wheat,Local,FAQ,2100,2561,2300,7-Jan-14
6286,Bidar,Basava Kalayana,Wheat,Medium,FAQ,2200,2700,2600,7-Jan-14
6287,Bidar,Basava Kalayana,Wheat,Mexican,FAQ,1151,1401,1200,7-Jan-14
9451,Bidar,Bidar,Wheat,Red,Medium,1650,2600,2440,7-Jan-14
12349,Bijapur,Bijapur,Wheat,Medium,Medium,2700,2900,2800,7-Jan-14
15413,Dharwad,Dharwar,Wheat,H.D.,Medium,1625,1650,1637,7-Jan-14
17353,Gadag,Gadag,Wheat,White,Medium,1021,2015,1800,7-Jan-14
22809,Dharwad,Hubli (Amaragol),Wheat,White,Medium,1586,1609,1609,7-Jan-14
26641,Gadag,Laxmeshwar,Wheat,Red,Medium,1489,1782,1782,7-Jan-14
27931,Raichur,Manvi,Wheat,Other,Medium,1600,1600,1600,7-Jan-14
32846,Shimoga,Shimoga,Wheat,Super Fine,Medium,2800,2900,2850,7-Jan-14
2358,Bangalore,Bangalore,Wheat,Local,Medium,2100,2561,2300,8-Jan-14
6284,Bidar,Basava Kalayana,Wheat,Mexican,FAQ,1151,1211,1151,8-Jan-14
6285,Bidar,Basava Kalayana,Wheat,Medium,FAQ,2600,2752,2600,8-Jan-14
