District ID,Cost,Yield,Price,Demand Max,Demand Min,,W,1.6,11.1.4
1,34220.34542,1.235,1150,281025.85,259843.08,,-1.007821972,47850.16,13524.03
2,43846.74246,0.76,1220,35188.4,31654.15,,-0.296022527,47850.16,13524.03
3,34220.34542,1.13,1193,606780.2,536541,,-1.007821972,47850.16,13524.03
4,46068.2187,1.3,1153,626015.98,300301.26,,-0.131761117,47850.16,13524.03
5,43846.74246,0.9,1450,5141.82,4911.78,,-0.296022527,47850.16,13524.03
6,34220.34542,0.93,981,3278,1907.4,,-1.007821972,47850.16,13524.03
7,34220.34542,0.685,1070,163684.8,148427.64,,-1.007821972,47850.16,13524.03
8,49135.97161,1.195,975,100461.27,99970.78,,0.095076069,47850.16,13524.03
9,52790.34811,0.88,1350,151132.54,83309.46,,0.365289644,47850.16,13524.03
10,46412.0186,1.03,1168,64658.88,48001.18,,-0.106339708,47850.16,13524.03
11,46843.97231,0.72,1584,261415,202165,,-0.07439999,47850.16,13524.03
12,45586.31116,0,1140,551258.76,384312.06,,-0.167394545,47850.16,13524.03
13,34220.34542,1.29,1134,116861,76681.64,,-1.007821972,47850.16,13524.03
14,34220.34542,0.78,1085,126925.26,88861.08,,-1.007821972,47850.16,13524.03
15,34220.34542,0.64,1175,6579.51,6460.2,,-1.007821972,47850.16,13524.03
16,50326.04816,1.055,1142,332598.8,314837.6,,0.183073253,47850.16,13524.03
17,34220.34542,0.765,1135,558639.8,540646.76,,-1.007821972,47850.16,13524.03
18,34220.34542,1.025,1072,19213.2,12079.8,,-1.007821972,47850.16,13524.03
19,52790.34811,0.995,1350,3425.76,355.68,,0.365289644,47850.16,13524.03
20,34220.34542,1.035,1119,154641.9,134499.84,,-1.007821972,47850.16,13524.03
21,47453.03506,0.94,1200,24997.41,8480.7,,-0.029364394,47850.16,13524.03
22,49135.97161,0.79,1001,147927,78771,,0.095076069,47850.16,13524.03
23,34220.34542,1.05,1090,22535.1,7800.8,,-1.007821972,47850.16,13524.03
24,43846.74246,1.065,1220,9978,6480,,-0.296022527,47850.16,13524.03
25,43846.74246,1.145,1188,283423.76,265362.52,,-0.296022527,47850.16,13524.03
26,46160.78021,0.93,1300,58348.62,39841.56,,-0.124916892,47850.16,13524.03
27,34220.34542,0.685,1135,50300.79,48649.24,,-1.007821972,47850.16,13524.03
28,34220.34542,2.145,0,0,0,,-1.007821972,47850.16,13524.03
29,34220.34542,2.175,0,19.68,6.56,,-1.007821972,47850.16,13524.03
30,34220.34542,0.945,1133,373.76,175.2,,-1.007821972,47850.16,13524.03
