District ID,Cost,Yield,Price,Demand Max,Demand Min,,W,1.6,11.1.4
1,49424.39,0.94,1300,281025.85,259843.08,,-1.007821972,47850.16,13524.03
2,49424.39,1.37,1900,35188.4,31654.15,,-0.296022527,47850.16,13524.03
3,49424.39,1.27,1400,606780.2,536541,,-1.007821972,47850.16,13524.03
4,49424.39,2.15,1400,626015.98,300301.26,,-0.131761117,47850.16,13524.03
5,49424.39,1.37,1900,5141.82,4911.78,,-0.296022527,47850.16,13524.03
6,49424.39,1.14,1250,3278,1907.4,,-1.007821972,47850.16,13524.03
7,49424.39,,1300,163684.8,148427.64,,-1.007821972,47850.16,13524.03
8,49424.39,0.9,1300,100461.27,99970.78,,0.095076069,47850.16,13524.03
9,49424.39,1.37,1350,151132.54,83309.46,,0.365289644,47850.16,13524.03
10,49424.39,0.88,1350,64658.88,48001.18,,-0.106339708,47850.16,13524.03
11,49424.39,0.77,1370,261415,202165,,-0.07439999,47850.16,13524.03
12,49424.39,0,1140,551258.76,384312.06,,-0.167394545,47850.16,13524.03
13,49424.39,1.55,1360,116861,76681.64,,-1.007821972,47850.16,13524.03
14,49424.39,0.66,1250,126925.26,88861.08,,-1.007821972,47850.16,13524.03
15,49424.39,0.545,1280,6579.51,6460.2,,-1.007821972,47850.16,13524.03
16,49424.39,1.12,1142,332598.8,314837.6,,0.183073253,47850.16,13524.03
17,49424.39,0.93,1525,558639.8,540646.76,,-1.007821972,47850.16,13524.03
18,49424.39,0.73,1072,19213.2,12079.8,,-1.007821972,47850.16,13524.03
19,49424.39,0,1100,3425.76,355.68,,0.365289644,47850.16,13524.03
20,49424.39,1.37,2000,154641.9,134499.84,,-1.007821972,47850.16,13524.03
21,49424.39,0.585,1375,24997.41,8480.7,,-0.029364394,47850.16,13524.03
22,49424.39,1.37,1100,147927,78771,,0.095076069,47850.16,13524.03
23,49424.39,1.02,1200,22535.1,7800.8,,-1.007821972,47850.16,13524.03
24,49424.39,1.455,1520,9978,6480,,-0.296022527,47850.16,13524.03
25,49424.39,1.37,1100,283423.76,265362.52,,-0.296022527,47850.16,13524.03
26,49424.39,2.405,1350,58348.62,39841.56,,-0.124916892,47850.16,13524.03
27,49424.39,1.19,1500,50300.79,48649.24,,-1.007821972,47850.16,13524.03
28,49424.39,1.185,1300,0,0,,-1.007821972,47850.16,13524.03
29,49424.39,1.25,1350,19.68,6.56,,-1.007821972,47850.16,13524.03
30,49424.39,1.31,1520,373.76,175.2,,-1.007821972,47850.16,13524.03
