Sl no.,District Name,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
1,Ahmednagar,1500,1650,1571
2,Ahmednagar,2028,2028,2028
3,Ahmednagar,1400,1400,1400
4,Ahmednagar,1400,1604,1500
5,Ahmednagar,1605,1605,1605
6,Ahmednagar,1912,1912,1912
7,Ahmednagar,1625,1625,1625
8,Ahmednagar,1625,1625,1625
9,Ahmednagar,1625,1625,1625
10,Ahmednagar,1400,1400,1400
11,Ahmednagar,1400,1400,1400
12,Ahmednagar,1400,1400,1400
13,Ahmednagar,1500,2100,1800
14,Ahmednagar,1725,2125,1930
15,Ahmednagar,2100,2600,2350
16,Ahmednagar,1600,2250,1965
17,Ahmednagar,1500,1800,1650
18,Ahmednagar,2300,2300,2300
19,Ahmednagar,2300,2300,2300
20,Ahmednagar,1975,1975,1975
21,Ahmednagar,2300,2300,2300
22,Ahmednagar,1300,2200,1750
23,Ahmednagar,1300,2200,1750
24,Ahmednagar,1300,2000,1650
25,Ahmednagar,1225,1225,1225
26,Ahmednagar,1311,1311,1311
27,Ahmednagar,1311,1311,1311
28,Ahmednagar,1400,2050,1725
29,Ahmednagar,1400,1800,1710
30,Ahmednagar,1450,1750,1600
31,Ahmednagar,1300,1500,1400
32,Ahmednagar,1300,1500,1400
33,Ahmednagar,1300,1311,1300
34,Ahmednagar,1300,1800,1550
35,Ahmednagar,1311,1311,1311
36,Ahmednagar,1325,1325,1325
37,Ahmednagar,1325,1325,1325
38,Ahmednagar,1300,1325,1311
39,Ahmednagar,1350,1500,1425
40,Ahmednagar,1325,1351,1325
41,Ahmednagar,1325,1351,1351
42,Ahmednagar,1325,1325,1325
43,Ahmednagar,1325,1325,1325
44,Ahmednagar,1311,1500,1405
45,Ahmednagar,1750,1750,1750
46,Ahmednagar,1311,1311,1311
47,Ahmednagar,1321,1361,1341
48,Ahmednagar,1775,1775,1775
49,Ahmednagar,1410,1450,1450
50,Ahmednagar,1300,1300,1300
51,Ahmednagar,1401,1775,1588
52,Ahmednagar,1400,1900,1650
53,Ahmednagar,1350,1551,1450
54,Ahmednagar,1480,2192,1865
55,Ahmednagar,1500,1780,1660
56,Ahmednagar,1550,1800,1675
57,Ahmednagar,1000,1000,1000
58,Ahmednagar,1235,1235,1235
59,Ahmednagar,1600,2050,1825
60,Ahmednagar,1600,2050,1825
61,Ahmednagar,1600,1600,1600
62,Ahmednagar,1721,1730,1725
63,Ahmednagar,1200,1200,1200
64,Ahmednagar,1161,1161,1161
65,Ahmednagar,1200,1380,1290
66,Ahmednagar,1185,1185,1185
67,Ahmednagar,1185,1351,1268
68,Ahmednagar,1211,1211,1211
69,Ahmednagar,1211,1211,1211
70,Ahmednagar,1200,2000,1600
