District ID,Name,yield1,yield2,yield3
1, AHMEDNAGAR,3.09,2.18,3.61
2, AKOLA,1.99,1.02,1.33
3, AMRAVATI,2.34,1.39,2.14
4, AURANGABAD,2.04,1.44,3.4
5,BEED,0.74,0.48,1.95
6,BHANDARA,0.35,1.01,1.67
7, BULDHANA,2.24,1.36,2.21
8, CHANDRAPUR,1.65,1.66,1.67
9, DHULE,3.33,2.13,2.69
10, GADCHIROLI,2.32,1.17,2.63
11, GONDIA,0.77,0.5,1.54
12, HINGOLI,0.77,0.54,1.12
13, JALGAON,3.57,1.98,3.39
14, JALNA,2.02,1.34,2.92
15, KOLHAPUR,2.91,3.38,3.7
16,LATUR,0.56,0.55,0.85
17, NAGPUR,0.49,0.36,2.19
18, NANDED,1.68,0.81,1.88
19, NANDURBAR,2.81,1.48,2.61
20, NASHIK,4.71,2.67,4.61
21, OSMANABAD,0.86,0.57,0.57
22, PALGHAR,2.5,2.5,3.57
23, PARBHANI,0.86,0.6,1.45
24, PUNE,3.1,2.58,6.04
25, RAIGAD,0,0,0
26,RATNAGIRI,0,0,0
27, SANGLI,2.42,1.97,3.06
28, SATARA,2.89,2.32,2.19
29,SINDHUDURG,3.51,3.51,3.51
30, SOLAPUR,2.06,1.23,1.66
31, WARDHA,0.44,0.35,1.54
32, WASHIM,2.33,1.43,2.5
33, YAVATMAL,2.04,1.04,2.15
