Sl no.,District Name,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
1,Gadchiroli,4500,4500,4500
2,Gadchiroli,4500,4500,4500
3,Gadchiroli,4500,4500,4500
4,Gadchiroli,4500,4500,4500
5,Gadchiroli,4500,4500,4500
6,Gadchiroli,4500,4500,4500
7,Gadchiroli,4500,4500,4500
8,Gadchiroli,4500,4500,4500
9,Gadchiroli,4500,4500,4500
10,Gadchiroli,4500,4500,4500
11,Gadchiroli,4500,4500,4500
12,Gadchiroli,4500,4500,4500
13,Gadchiroli,4500,4500,4500
14,Hingoli,5400,5500,5450
15,Hingoli,5300,5500,5400
16,Hingoli,5400,5600,5500
17,Hingoli,5300,5500,5400
18,Hingoli,5400,5600,5500
19,Hingoli,5400,5500,5450
20,Hingoli,5200,5400,5300
21,Hingoli,5400,5400,5400
22,Hingoli,5600,5700,5650
23,Hingoli,5700,5750,5725
24,Hingoli,5700,5750,5725
25,Hingoli,5700,5750,5725
26,Hingoli,5700,5700,5700
27,Hingoli,5700,5800,5750
28,Hingoli,5700,5800,5750
29,Hingoli,5700,5750,5725
30,Hingoli,5600,5700,5650
31,Hingoli,5700,5750,5725
32,Hingoli,5600,5700,5650
33,Hingoli,5700,5750,5725
34,Hingoli,5600,5700,5650
35,Hingoli,5600,5700,5650
36,Hingoli,5700,5800,5750
37,Hingoli,5700,5800,5750
38,Hingoli,5700,5800,5750
39,Hingoli,5700,5800,5750
40,Hingoli,5700,5900,5800
41,Hingoli,5500,5700,5600
42,Hingoli,5400,5600,5500
43,Hingoli,3500,4000,3750
44,Hingoli,3600,3800,3700
45,Hingoli,3900,4000,3950
46,Hingoli,3800,4000,3900
47,Hingoli,4000,4200,4100
48,Hingoli,3900,4200,4050
49,Hingoli,3400,4000,3700
50,Hingoli,3500,3700,3600
51,Hingoli,3500,4000,3750
52,Hingoli,4000,4100,4050
53,Hingoli,3700,3900,3800
54,Hingoli,3900,4100,4000
55,Hingoli,3800,4000,3900
56,Hingoli,4000,4200,4100
57,Hingoli,3500,3700,3600
58,Hingoli,3800,4000,3900
59,Hingoli,4000,4100,4050
60,Hingoli,4000,4500,4250
61,Hingoli,4700,4800,4750
62,Hingoli,4600,4800,4700
63,Hingoli,4300,4500,4400
64,Hingoli,5000,5000,5000
65,Hingoli,4900,5000,4950
66,Hingoli,5000,5000,5000
67,Hingoli,5000,5000,5000
68,Hingoli,4800,5000,4900
69,Hingoli,4900,5000,4950
70,Hingoli,5000,5000,5000
71,Hingoli,4900,5000,4950
72,Hingoli,4900,5000,4950
73,Akola,5475,5695,5600
74,Akola,5475,5665,5600
75,Akola,5465,5625,5600
76,Akola,5465,5605,5600
77,Akola,5505,5645,5600
78,Akola,5570,5690,5600
79,Akola,5495,5680,5600
80,Akola,5500,5725,5700
81,Akola,5575,5745,5700
82,Akola,5500,5740,5700
83,Akola,5570,5805,5800
84,Akola,5575,5825,5800
85,Akola,5575,5810,5800
86,Akola,5570,5805,5800
87,Akola,5585,5795,5700
88,Akola,5500,5750,5700
89,Akola,5555,5770,5700
90,Akola,5500,5705,5700
91,Akola,5540,5735,5700
92,Akola,5555,5795,5700
93,Akola,5455,5700,5560
94,Akola,5485,5775,5700
95,Akola,5470,5800,5780
96,Akola,5500,5775,5700
97,Akola,5645,5850,5800
98,Akola,5700,5955,5900
99,Akola,5785,6035,6000
100,Akola,5765,6015,6000
101,Akola,5815,5990,5900
102,Akola,5795,6005,6000
103,Akola,5850,6105,6100
104,Akola,4800,6010,6000
105,Akola,4805,5995,5900
106,Akola,4500,6020,6000
107,Akola,5350,5830,5800
108,Akola,4925,5630,5600
109,Akola,4865,5540,5500
110,Akola,4850,5520,5500
111,Akola,4860,5560,5500
112,Akola,4675,5500,5400
113,Akola,4755,5515,5500
114,Akola,4750,5275,5200
115,Akola,4750,5095,5000
116,Akola,4740,5125,5100
117,Akola,4630,5105,5100
118,Akola,4625,5145,5100
119,Akola,4530,5090,5000
120,Akola,4590,5100,5000
121,Akola,4925,5135,5100
122,Akola,4485,5195,5100
123,Akola,4450,5210,5200
124,Akola,4425,5190,5100
125,Akola,4175,5090,5000
126,Akola,4300,5110,5100
127,Akola,4250,5070,5000
128,Akola,4320,4970,4900
129,Akola,4200,4970,4900
130,Akola,4275,4895,4800
131,Akola,4300,5025,5000
132,Akola,4250,5080,5000
133,Akola,4200,5050,5000
134,Akola,4400,5080,5000
135,Akola,4475,5105,5100
136,Akola,4460,5100,5000
137,Akola,4450,5110,5100
138,Akola,4500,5085,5000
139,Akola,4500,5080,5000
140,Akola,4500,5190,5100
141,Akola,4380,5210,5200
142,Akola,4730,5120,5100
143,Akola,4645,5100,4950
144,Akola,4765,5080,5000
145,Akola,4825,5040,5000
146,Akola,4630,4950,4900
147,Akola,4440,5060,5000
148,Akola,4105,5035,5000
149,Akola,4200,5000,4950
150,Akola,4300,5100,4950
151,Akola,4565,5100,4890
152,Akola,4530,5000,4950
153,Akola,4725,5020,5000
154,Akola,4825,5140,5100
155,Akola,4280,5000,4950
156,Akola,4565,5100,4950
157,Akola,4375,5070,5000
158,Akola,4455,5030,5000
159,Akola,4825,5035,5000
160,Akola,4775,5045,5000
161,Akola,4870,5150,5100
162,Akola,4540,5190,5100
163,Akola,4855,5150,5100
164,Akola,5025,5200,5150
165,Akola,4975,5270,5200
166,Akola,4800,5180,5100
167,Akola,4550,5190,5100
168,Akola,4925,5160,5100
169,Akola,4925,5180,5100
170,Akola,4500,5245,5200
171,Akola,4860,5235,5200
172,Akola,5125,5300,5250
173,Akola,5000,5300,5250
174,Akola,4975,5350,5300
175,Akola,5150,5350,5250
176,Akola,5150,5370,5300
177,Akola,5125,5430,5400
178,Akola,5125,5430,5400
179,Akola,5100,5390,5300
180,Akola,4860,5275,5200
181,Akola,4900,5340,5300
182,Akola,5125,5400,5350
183,Akola,5050,5420,5400
184,Akola,5070,5305,5300
185,Amarawati,4300,5050,4675
186,Amarawati,4300,5050,4550
187,Amarawati,4300,4850,4575
188,Amarawati,4300,4825,4563
189,Amarawati,4300,4750,4525
190,Amarawati,4300,4750,4525
191,Amarawati,4300,4800,4550
192,Amarawati,4300,4850,4575
193,Amarawati,4300,4825,4563
194,Amarawati,4300,4800,4550
195,Amarawati,4300,4750,4525
196,Amarawati,4350,4750,4550
197,Amarawati,4300,4725,4513
198,Amarawati,4300,4750,4525
