Sl no.,District Name,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
1,Yavatmal,4300,4600,4550
2,Yavatmal,4300,4891,4650
3,Yavatmal,4300,4500,4400
4,Yavatmal,4350,4590,4400
5,Yavatmal,4300,4675,4450
6,Ahmednagar,2500,4600,3550
7,Ahmednagar,2500,4000,3250
8,Ahmednagar,2500,3700,3100
9,Ahmednagar,2500,4100,3300
10,Ahmednagar,2500,4800,3650
11,Ahmednagar,2500,3000,2750
12,Ahmednagar,2500,3000,2750
13,Latur,3853,3853,3853
14,Latur,3970,4000,3980
15,Latur,3800,4800,4300
16,Latur,4300,4451,4375
17,Latur,5000,5555,5250
18,Latur,4301,6101,5000
19,Latur,3841,4301,4071
20,Latur,3400,4400,3804
21,Latur,3800,4320,3900
22,Latur,2900,3850,3375
23,Latur,3451,3570,3511
24,Latur,3800,4000,3900
25,Latur,3000,3401,3200
26,Latur,3400,3500,3450
27,Latur,3300,3725,3512
28,Latur,3300,3385,3342
29,Latur,3251,3251,3251
30,Latur,2111,2960,2535
31,Latur,2500,3251,2875
32,Latur,3385,3385,3385
33,Latur,2900,3150,3025
34,Latur,2800,3000,2900
35,Latur,2800,3600,3000
36,Latur,3000,3500,3250
37,Latur,3400,3800,3550
38,Latur,3500,3990,3750
39,Latur,2700,3800,3250
40,Latur,2500,4800,3650
41,Latur,3000,3800,3400
42,Latur,3000,4000,3500
43,Latur,3800,4100,3950
44,Latur,3500,4010,3750
45,Latur,3275,3951,3550
46,Hingoli,3100,3200,3150
47,Hingoli,3200,3200,3200
48,Hingoli,3000,3200,3100
49,Sholapur,2100,3000,2700
50,Jalgaon,3100,4000,4000
51,Jalgaon,3300,4000,4000
52,Jalgaon,2800,2800,2800
53,Jalgaon,3200,3200,3200
54,Jalgaon,3422,3422,3422
55,Jalgaon,2500,3555,3555
56,Jalgaon,3450,3450,3450
57,Jalgaon,3400,3400,3400
58,Jalgaon,3751,4000,4000
59,Jalgaon,2500,2500,2500
60,Jalgaon,2150,4000,4000
61,Jalgaon,3651,3651,3651
62,Jalgaon,4000,4000,4000
63,Jalgaon,3611,3800,3800
64,Jalgaon,3800,3800,3800
65,Jalgaon,4200,4200,4200
66,Jalgaon,3500,4100,4100
67,Jalgaon,2800,2900,2900
68,Jalgaon,3701,4500,4500
69,Jalgaon,3500,3500,3500
70,Jalgaon,3481,3902,3902
71,Jalgaon,3611,3836,3836
72,Jalgaon,3500,3500,3500
73,Jalgaon,2500,2500,2500
74,Jalgaon,3200,3700,3700
75,Jalgaon,3300,3400,3400
76,Jalgaon,3500,3500,3500
77,Amarawati,5000,5500,5200
78,Amarawati,5000,5500,5200
79,Amarawati,5000,5500,5200
80,Amarawati,5000,5500,5025
81,Amarawati,5000,5500,5250
82,Amarawati,5000,5500,5250
83,Amarawati,5000,5500,5250
84,Amarawati,5000,5500,5250
85,Amarawati,5000,5500,5250
86,Amarawati,5000,5500,5250
87,Amarawati,5000,5500,5250
88,Amarawati,5000,5500,5250
89,Amarawati,4800,5400,5100
90,Amarawati,4800,5400,5100
91,Amarawati,4800,5400,5100
92,Amarawati,4850,5400,5125
93,Amarawati,5000,5500,5250
94,Amarawati,5000,5550,5275
95,Amarawati,4800,5400,5100
96,Amarawati,5000,5450,5225
97,Amarawati,4800,5400,5100
98,Amarawati,4800,5450,5125
99,Amarawati,4800,5400,5100
100,Amarawati,5000,5400,5200
101,Amarawati,4800,5375,5088
102,Amarawati,4700,5500,5100
103,Amarawati,5000,5600,5300
104,Amarawati,5000,5550,5275
105,Amarawati,5000,5550,5275
106,Amarawati,5000,5600,5300
107,Amarawati,5000,5716,5358
108,Amarawati,4000,4700,4350
109,Amarawati,4000,5201,4600
110,Amarawati,4500,4700,4600
111,Amarawati,2800,3400,3050
112,Amarawati,2850,3400,3100
113,Amarawati,2850,3500,3175
114,Amarawati,3000,3700,3300
115,Amarawati,3250,3750,3500
116,Amarawati,3250,3750,3500
117,Amarawati,3150,3700,3425
118,Amarawati,3350,3850,3500
119,Amarawati,3350,3450,3400
120,Amarawati,3400,3850,3625
121,Amarawati,3300,3850,3575
122,Amarawati,3200,3700,3450
123,Amarawati,3300,3800,3550
124,Amarawati,3250,3850,3550
125,Amarawati,3200,3950,3500
126,Amarawati,3200,3800,3500
127,Amarawati,3250,3850,3450
128,Amarawati,3300,3800,3500
129,Amarawati,3300,3850,3500
130,Amarawati,3200,3800,3500
131,Amarawati,3200,3850,3525
132,Amarawati,3200,3800,3500
133,Amarawati,3000,3800,3400
134,Amarawati,3200,4000,3700
135,Amarawati,2000,2400,2200
136,Amarawati,3250,3650,3450
137,Amarawati,3000,3700,3350
138,Amarawati,3000,3500,3250
139,Amarawati,3100,3500,3300
140,Amarawati,2400,3250,2825
141,Amarawati,2500,3250,2875
142,Amarawati,2400,3250,2825
143,Amarawati,2400,3300,2850
144,Amarawati,2500,3225,2863
145,Amarawati,3000,3500,3250
146,Amarawati,2400,3250,2825
147,Amarawati,2400,3250,2825
148,Amarawati,2400,3350,2875
149,Amarawati,3150,3450,3300
150,Amarawati,3150,3450,3300
151,Amarawati,3200,3500,3350
152,Amarawati,3150,3600,3375
153,Amarawati,3300,3600,3450
154,Amarawati,3200,3500,3350
155,Amarawati,3100,3500,3300
156,Gadchiroli,2500,4000,3500
157,Gadchiroli,3585,5405,4500
158,Gadchiroli,3205,3855,3800
159,Gadchiroli,3450,3825,3800
160,Gadchiroli,3100,3700,3456
161,Gadchiroli,2500,4000,3900
162,Gadchiroli,2600,4600,4000
163,Gadchiroli,2700,3750,3498
164,Gadchiroli,2500,3900,3318
165,Gadchiroli,3305,4075,3800
166,Gadchiroli,2600,4700,4500
167,Gadchiroli,2600,4600,4000
168,Gadchiroli,3600,4805,4300
169,Gadchiroli,2500,3900,3500
170,Gadchiroli,2500,4005,3600
171,Gadchiroli,2310,4800,4400
172,Gadchiroli,2400,4100,4000
173,Gadchiroli,3200,5000,4000
174,Gadchiroli,2100,5300,4000
175,Gadchiroli,2505,4695,4000
176,Gadchiroli,2405,3710,3500
177,Gadchiroli,2655,4715,4000
178,Gadchiroli,3000,4600,4300
179,Gadchiroli,3025,4400,3900
180,Gadchiroli,3200,4620,4300
181,Gadchiroli,2600,4600,4200
182,Gadchiroli,3200,4620,4300
183,Gadchiroli,3100,4700,4000
184,Gadchiroli,2805,4400,4000
185,Gadchiroli,2805,4305,3900
186,Gadchiroli,2505,4695,3791
187,Gadchiroli,3000,4810,4000
188,Gadchiroli,2500,4350,3459
189,Gadchiroli,2600,4300,3800
190,Gadchiroli,2100,4705,3500
191,Gadchiroli,2100,4590,3400
192,Gadchiroli,2800,4755,3656
193,Gadchiroli,2900,4500,3692
194,Gadchiroli,2000,4350,3357
195,Gadchiroli,3200,4495,3741
196,Gadchiroli,2815,3645,3379
197,Pune,3451,4500,3500
198,Pune,3800,4651,3950
199,Pune,3200,4150,3300
200,Pune,2700,5600,4400
201,Pune,3100,4500,3551
202,Pune,2980,5000,3850
203,Pune,4351,4481,4351
204,Pune,3700,4101,4100
205,Pune,3451,3900,3750
206,Pune,3201,3981,3700
207,Pune,2500,3350,3100
208,Pune,2551,3811,3751
209,Pune,2700,3800,3700
210,Pune,2800,3700,3670
211,Pune,2500,3400,2700
212,Pune,2601,3461,3452
213,Pune,2500,3351,3351
214,Pune,3100,3151,3100
215,Pune,2456,2750,2720
216,Hingoli,3700,3700,3700
217,Nanded,3050,3058,3052
218,Aurangabad,3000,3500,3250
219,Aurangabad,2500,3500,3000
220,Aurangabad,3000,3500,3250
221,Aurangabad,3000,3700,3350
222,Aurangabad,3000,5000,4000
223,Aurangabad,3000,4200,3600
224,Aurangabad,2500,3500,3000
225,Aurangabad,2500,3500,3000
226,Aurangabad,3000,4000,3500
227,Aurangabad,3000,3600,3150
228,Aurangabad,3000,4500,3750
229,Aurangabad,2500,4000,3250
230,Aurangabad,3000,3700,3350
231,Aurangabad,3000,3600,3300
232,Aurangabad,3000,3800,3400
233,Aurangabad,3000,3700,3350
234,Aurangabad,3000,4500,3750
235,Aurangabad,3000,4500,3750
236,Aurangabad,2500,3500,3000
237,Aurangabad,2600,3200,2900
238,Aurangabad,2500,4200,3350
239,Aurangabad,3000,4000,3500
240,Aurangabad,3000,4000,3500
241,Aurangabad,3000,3800,3400
242,Aurangabad,3000,4500,3750
243,Aurangabad,2500,3000,2750
244,Aurangabad,3000,3500,3250
245,Aurangabad,2300,3200,2750
246,Aurangabad,2500,3500,3000
247,Aurangabad,2500,4000,3250
248,Aurangabad,3000,4000,3500
249,Aurangabad,3000,3700,3350
250,Aurangabad,2500,3000,2750
251,Aurangabad,2500,3500,3000
252,Aurangabad,3000,4000,3500
253,Aurangabad,2200,3200,2700
254,Aurangabad,3000,3700,3350
255,Aurangabad,3000,3500,3250
256,Aurangabad,3000,3800,3400
257,Aurangabad,2000,3500,2750
258,Aurangabad,2500,3500,3000
259,Aurangabad,3000,3400,3200
260,Aurangabad,2500,3000,2750
261,Aurangabad,2400,3600,3000
262,Aurangabad,1800,3000,2400
263,Aurangabad,2500,3500,3000
264,Aurangabad,2000,3200,2600
265,Aurangabad,2000,3600,2800
266,Aurangabad,2500,3500,3000
267,Aurangabad,3000,3500,3250
268,Aurangabad,2000,3700,2850
269,Aurangabad,2400,3000,2700
270,Aurangabad,2400,3200,2800
271,Aurangabad,2000,3200,2600
272,Aurangabad,2600,3000,2800
273,Aurangabad,3000,3500,3250
274,Aurangabad,3000,3700,3350
275,Aurangabad,2500,4000,3250
276,Aurangabad,2800,3200,3000
277,Aurangabad,3500,4000,3750
278,Aurangabad,3000,4000,3500
279,Aurangabad,2500,3000,2750
280,Aurangabad,2500,3500,3000
281,Aurangabad,2000,2500,2250
282,Aurangabad,3000,3300,3150
283,Aurangabad,3000,3500,3250
284,Aurangabad,2700,3000,2850
285,Aurangabad,3000,3200,3100
286,Aurangabad,2500,3200,2850
287,Aurangabad,3000,4000,3500
288,Aurangabad,2800,3200,3000
289,Aurangabad,3000,4000,3500
290,Aurangabad,3000,3800,3400
291,Aurangabad,3000,3500,3250
292,Aurangabad,2200,3500,2850
293,Aurangabad,3200,3400,3300
294,Aurangabad,3000,4200,3600
295,Aurangabad,3000,4000,3500
296,Aurangabad,3000,4200,3600
297,Aurangabad,3200,4000,3600
298,Aurangabad,3000,3500,3250
299,Aurangabad,3000,3300,3150
300,Aurangabad,3000,3700,3350
301,Aurangabad,3000,3600,3150
302,Aurangabad,3000,3800,3400
303,Aurangabad,3000,3600,3150
304,Aurangabad,3000,3700,3350
305,Aurangabad,3000,3500,3250
306,Aurangabad,2500,3500,3000
307,Aurangabad,2700,3300,3000
308,Aurangabad,2000,3500,2750
309,Aurangabad,2600,3200,2900
310,Aurangabad,2200,3300,2750
311,Aurangabad,3000,3500,3250
312,Aurangabad,2800,3200,3000
313,Aurangabad,2500,3500,3000
314,Aurangabad,2000,2500,2250
315,Aurangabad,3000,3500,3250
316,Aurangabad,2000,3000,2500
317,Aurangabad,2000,3000,2500
318,Aurangabad,2200,3000,2600
319,Aurangabad,2500,3000,2750
320,Aurangabad,2000,3200,2600
321,Aurangabad,2000,2800,2400
322,Aurangabad,2500,3000,2750
323,Aurangabad,2600,3100,2850
324,Aurangabad,2000,2500,2250
325,Aurangabad,1800,3000,2400
326,Aurangabad,2000,3200,2600
327,Aurangabad,2200,3000,2600
328,Aurangabad,2500,3000,2750
329,Aurangabad,2500,3000,2750
330,Aurangabad,2300,3000,2650
331,Aurangabad,2000,2800,2400
332,Aurangabad,2500,3000,2750
333,Aurangabad,2200,3000,2600
334,Aurangabad,2200,2600,2400
335,Aurangabad,2300,2900,2600
336,Jalgaon,3955,3955,3955
337,Jalgaon,4300,4300,4300
338,Jalgaon,3451,3451,3451
339,Jalgaon,3551,3551,3551
340,Jalgaon,4000,4000,4000
341,Jalgaon,4100,4100,4100
342,Jalgaon,3362,3362,3362
343,Jalgaon,3352,3535,3535
344,Jalgaon,3601,3650,3650
345,Jalgaon,3651,3651,3651
346,Jalgaon,3500,3500,3500
347,Jalgaon,3251,3945,3851
348,Jalgaon,3231,3601,3300
349,Jalgaon,3500,3500,3500
350,Jalgaon,3651,3651,3651
351,Jalgaon,3400,3940,3601
352,Jalgaon,3425,3772,3700
353,Jalgaon,2493,2800,2800
354,Jalgaon,2851,3661,3286
355,Jalgaon,3075,3501,3342
356,Jalgaon,2900,3351,3100
357,Jalgaon,3001,3300,3158
358,Jalgaon,3252,3552,3550
359,Jalgaon,3092,3500,3400
360,Jalgaon,2401,3300,3050
361,Jalgaon,3100,3614,3293
362,Jalgaon,2451,3451,3242
363,Jalgaon,3011,3333,3252
364,Jalgaon,3101,3601,3352
365,Jalgaon,2901,3299,3299
366,Jalgaon,3211,3211,3211
367,Jalgaon,3052,3052,3052
368,Osmanabad,3000,5000,4000
369,Osmanabad,3200,4000,3600
370,Osmanabad,4000,4500,4300
371,Osmanabad,3300,4500,3900
372,Osmanabad,4200,4200,4200
373,Osmanabad,2000,4500,3300
374,Osmanabad,4000,4000,4000
375,Osmanabad,2500,4100,3300
376,Osmanabad,2600,3700,3200
377,Osmanabad,2500,3500,3000
378,Osmanabad,3000,4000,3500
379,Osmanabad,2100,4000,3100
380,Osmanabad,2500,3200,2900
381,Osmanabad,2500,3300,2900
382,Osmanabad,2500,3500,3000
383,Osmanabad,2000,3000,2500
384,Osmanabad,2000,3200,2100
385,Osmanabad,2500,3200,2900
386,Osmanabad,2600,4000,3300
387,Osmanabad,2500,3300,2900
388,Osmanabad,2000,3000,2500
389,Osmanabad,2200,2500,2400
390,Osmanabad,1200,2700,2000
391,Osmanabad,1800,2700,2300
392,Osmanabad,1500,2800,2200
393,Osmanabad,2000,2400,2200
394,Osmanabad,2000,2700,2400
395,Osmanabad,1500,2600,2100
396,Osmanabad,1100,2000,1600
397,Osmanabad,1200,2500,1900
398,Osmanabad,1500,2200,1900
399,Osmanabad,1800,2500,2200
400,Osmanabad,2000,3000,2500
401,Osmanabad,1400,2800,2100
402,Osmanabad,1800,3000,2400
403,Osmanabad,1000,2400,1700
404,Osmanabad,1800,2400,2100
405,Osmanabad,2000,2500,2300
406,Osmanabad,1800,2500,2200
407,Osmanabad,2000,2200,2100
408,Osmanabad,1000,2500,1800
409,Osmanabad,1600,2800,2200
410,Osmanabad,1800,3000,2500
411,Osmanabad,1600,2500,2100
412,Osmanabad,2300,2500,2400
413,Osmanabad,1600,2500,2100
414,Osmanabad,1000,5000,3300
415,Osmanabad,2100,3000,2600
416,Osmanabad,2000,3000,2500
417,Osmanabad,1800,2500,2200
418,Osmanabad,1300,2600,2000
419,Osmanabad,2000,3000,2500
420,Osmanabad,2500,2800,2700
421,Osmanabad,1500,3500,2500
422,Osmanabad,1600,3500,2600
423,Osmanabad,1800,3000,2400
424,Osmanabad,2000,3000,2500
425,Osmanabad,2500,3500,3000
426,Osmanabad,2500,4600,3600
427,Nanded,3200,3910,3500
428,Nanded,3350,4150,3600
429,Nanded,3400,4290,3800
430,Nanded,3400,4100,3600
431,Nanded,3500,4310,4000
432,Nanded,3200,4180,3600
433,Nanded,3300,4080,3500
434,Nanded,2800,3900,3400
435,Nanded,2700,3890,3300
436,Nanded,2700,3860,3300
437,Nanded,2900,3850,3250
438,Nanded,2810,3790,3200
439,Nanded,2900,3690,3280
440,Nanded,2400,3640,3000
441,Dhule,3575,4875,4525
442,Dhule,3675,5150,4400
443,Dhule,4000,5000,4400
444,Dhule,3625,5400,4900
445,Dhule,3700,4700,4400
446,Dhule,4400,4425,4425
447,Dhule,3525,5275,4700
448,Dhule,3000,6000,5200
449,Dhule,3500,6200,5250
450,Dhule,3675,5575,4500
451,Dhule,3500,5525,5100
452,Dhule,3025,5625,5000
453,Dhule,3525,5700,5000
454,Dhule,4150,4800,4500
455,Dhule,3575,5700,5100
456,Dhule,3300,6000,5100
457,Dhule,3500,6000,5000
458,Dhule,2700,5550,4850
459,Dhule,3625,5925,5100
460,Dhule,3850,6900,5500
461,Dhule,3500,6250,5800
462,Dhule,3500,5775,4800
463,Dhule,3650,5850,5000
464,Dhule,5200,5200,5200
465,Dhule,2900,5500,4400
466,Dhule,3400,5600,4600
467,Dhule,2900,5375,4400
468,Dhule,3900,5500,4700
469,Dhule,2700,5300,4525
470,Dhule,2700,5300,4525
471,Dhule,3000,5625,5000
472,Dhule,3800,5225,5000
473,Dhule,2500,5100,4200
474,Dhule,3800,3800,3800
475,Dhule,2850,4500,3700
476,Dhule,3000,5100,4000
477,Dhule,2750,4900,4200
478,Dhule,2550,5000,3625
479,Dhule,2500,5125,3800
480,Dhule,2500,5050,3950
481,Dhule,2200,5075,3500
482,Dhule,3125,4625,3300
483,Dhule,3125,4875,4100
484,Dhule,3625,5100,4500
485,Dhule,3800,4800,4400
486,Dhule,2900,4700,4325
487,Dhule,3275,5200,4500
488,Dhule,3275,5200,4500
489,Dhule,3325,5000,4475
490,Dhule,3300,4950,4500
491,Dhule,3500,4450,4450
492,Dhule,2200,4600,3500
493,Dhule,2300,4600,3500
494,Dhule,3400,4825,4000
495,Dhule,2900,4900,4400
496,Dhule,3200,5300,4700
497,Dhule,3400,5000,4900
498,Dhule,3400,5000,4900
499,Dhule,3525,5050,4200
500,Dhule,3525,5050,4200
501,Dhule,3525,5050,4200
502,Dhule,3300,5100,4500
503,Dhule,3300,5100,4500
504,Dhule,3600,5175,4550
505,Dhule,3875,5475,5025
506,Dhule,4225,5600,4800
507,Dhule,3800,5000,4400
508,Dhule,3325,4900,4500
509,Dhule,3200,4800,4125
510,Dhule,3400,4875,4325
511,Dhule,3600,3600,3600
512,Dhule,3000,5075,4100
513,Dhule,3300,4975,4000
514,Dhule,3000,5075,4150
515,Dhule,3500,5225,4500
516,Dhule,3575,3775,3575
517,Dhule,3200,5075,4650
518,Dhule,3350,4900,4450
519,Dhule,2000,4575,4325
520,Dhule,3400,4600,4150
521,Dhule,2600,4425,3000
522,Dhule,4100,4500,4200
523,Dhule,3225,4550,3650
524,Dhule,3500,4225,4075
525,Dhule,3500,4625,4225
526,Dhule,3800,4400,4100
527,Dhule,2900,4550,4100
528,Dhule,3500,4400,4100
529,Dhule,2700,4500,4225
530,Dhule,3300,4500,4205
531,Dhule,3325,4650,4250
532,Dhule,3400,4425,4075
533,Dhule,3400,4425,4075
534,Dhule,3900,4325,4025
535,Dhule,2925,4150,3800
536,Dhule,3900,4525,4000
537,Dhule,2500,3400,3100
538,Dhule,2800,4125,3700
539,Dhule,1700,4425,3800
540,Dhule,2525,4150,3850
541,Dhule,2900,4225,3675
542,Dhule,2975,4075,3600
543,Dhule,2800,4150,3750
544,Dhule,2600,4125,3500
545,Dhule,2600,4125,3750
546,Dhule,2000,4000,3650
547,Dhule,2170,4150,3700
548,Dhule,2000,3950,3550
549,Dhule,2575,3900,3550
550,Dhule,2350,4100,3800
551,Dhule,2000,3875,3450
552,Dhule,2000,3900,3450
553,Dhule,3000,3775,3575
554,Dhule,2000,3900,3500
555,Dhule,2550,4100,3600
556,Dhule,2800,4200,3700
557,Dhule,2200,3875,3450
558,Dhule,2800,4025,3500
559,Dhule,2500,3900,3425
560,Dhule,2300,4100,3850
561,Dhule,2200,3850,3400
562,Dhule,2200,4200,3800
563,Dhule,2500,4000,3500
564,Dhule,2925,4050,3525
565,Dhule,2200,4050,3650
566,Dhule,2450,4150,3600
567,Dhule,2000,4125,3600
568,Dhule,2241,4100,3550
