Sl no.,District Name,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
1,Sangli,1750,2000,1875
2,Sangli,1600,1800,1700
3,Sangli,1700,1800,1750
4,Sangli,1700,1800,1750
5,Sangli,1700,1800,1750
6,Sangli,1700,1800,1750
7,Amarawati,1600,1800,1700
8,Amarawati,1500,1900,1700
9,Amarawati,1750,1900,1825
10,Amarawati,1750,1900,1825
11,Amarawati,1300,1800,1550
12,Amarawati,1350,1850,1600
13,Amarawati,1350,1850,1600
14,Amarawati,1350,1850,1600
15,Amarawati,1250,1800,1525
16,Amarawati,1150,1400,1275
17,Amarawati,1150,1400,1275
18,Amarawati,1200,1400,1300
19,Amarawati,1200,1300,1250
20,Gadchiroli,1500,1500,1500
21,Ahmednagar,1800,2400,2100
22,Ahmednagar,2502,3460,2980
23,Ahmednagar,2601,2601,2601
24,Ahmednagar,2601,2601,2601
25,Ahmednagar,2350,2800,2600
26,Ahmednagar,3000,3650,3325
27,Ahmednagar,2050,2601,2325
28,Ahmednagar,2100,2925,2512
29,Ahmednagar,2100,2925,2512
30,Ahmednagar,2100,2925,2512
31,Ahmednagar,2100,2925,2512
32,Ahmednagar,3600,3800,3700
33,Ahmednagar,1500,3500,2500
34,Ahmednagar,1500,3500,2500
35,Ahmednagar,2700,3105,2900
36,Ahmednagar,3500,3500,3500
37,Ahmednagar,2000,3200,2715
38,Ahmednagar,2300,4000,3150
39,Ahmednagar,2050,2350,2200
40,Ahmednagar,3200,3200,3200
41,Ahmednagar,2000,4000,3000
42,Ahmednagar,2400,2500,2460
43,Ahmednagar,3000,3000,3000
44,Ahmednagar,2300,3500,2950
45,Ahmednagar,2000,2700,2350
46,Ahmednagar,1550,1550,1550
47,Ahmednagar,1550,1550,1550
48,Ahmednagar,1550,1550,1550
49,Ahmednagar,1550,1550,1550
50,Ahmednagar,2000,2200,2100
51,Ahmednagar,1800,1800,1800
52,Ahmednagar,1400,2050,1755
53,Ahmednagar,2100,2100,2100
54,Ahmednagar,1400,1650,1525
55,Ahmednagar,1400,1650,1525
56,Ahmednagar,1400,1650,1525
57,Ahmednagar,1750,2151,1950
58,Ahmednagar,1701,2200,1950
59,Ahmednagar,1701,2200,1950
60,Ahmednagar,2300,2300,2300
61,Ahmednagar,2300,2300,2300
62,Ahmednagar,1700,2200,1950
63,Ahmednagar,1800,2300,2050
64,Ahmednagar,1800,2300,2050
65,Ahmednagar,3300,3300,3300
66,Ahmednagar,100,500,300
67,Ahmednagar,1600,2050,1825
68,Ahmednagar,1800,2000,1900
69,Ahmednagar,1800,2000,1900
70,Ahmednagar,1600,1800,1700
71,Ahmednagar,1800,2100,2000
72,Ahmednagar,1800,2100,2000
73,Ahmednagar,1800,2251,2025
74,Ahmednagar,1700,2200,1950
75,Ahmednagar,1600,1850,1725
76,Ahmednagar,1900,2051,1975
77,Ahmednagar,1850,2300,2075
78,Ahmednagar,1800,2021,1919
79,Ahmednagar,1900,1981,1981
80,Ahmednagar,2000,2150,2080
81,Ahmednagar,1811,2400,2160
82,Ahmednagar,1800,2700,2275
83,Ahmednagar,1675,2000,1837
84,Ahmednagar,1700,2300,2000
85,Ahmednagar,1900,2251,2075
86,Ahmednagar,2350,2350,2350
87,Ahmednagar,1800,2225,2012
88,Ahmednagar,1800,2225,2012
89,Ahmednagar,1800,1800,1800
90,Ahmednagar,1800,2200,2000
91,Ahmednagar,2050,2601,2325
92,Ahmednagar,1841,2150,1995
93,Ahmednagar,1675,2300,1980
94,Ahmednagar,1550,1550,1550
95,Ahmednagar,1600,1900,1750
96,Ahmednagar,1450,2000,1700
97,Ahmednagar,1600,1900,1750
98,Ahmednagar,1700,2000,1850
99,Ahmednagar,1700,1800,1750
100,Ahmednagar,1750,2000,1875
101,Ahmednagar,1500,1800,1650
102,Ahmednagar,1700,2175,1975
103,Ahmednagar,1751,2000,1875
104,Ahmednagar,1750,2000,1850
105,Ahmednagar,1700,1775,1737
106,Ahmednagar,1700,2100,1900
107,Ahmednagar,1500,1825,1662
108,Ahmednagar,1075,2000,1875
109,Ahmednagar,1650,1680,1670
110,Ahmednagar,1750,2200,1975
111,Ahmednagar,1625,2000,1812
112,Ahmednagar,1750,2100,2100
113,Ahmednagar,1627,2200,1913
114,Ahmednagar,1600,2200,1900
115,Ahmednagar,1650,2250,1950
116,Ahmednagar,1500,2000,1750
117,Ahmednagar,1775,2080,1927
118,Ahmednagar,1600,2000,1800
119,Ahmednagar,1600,1900,1750
120,Ahmednagar,1400,2000,1700
121,Ahmednagar,1400,2200,1800
122,Ahmednagar,1200,1451,1325
123,Ahmednagar,1500,1500,1500
124,Ahmednagar,1731,2000,1895
125,Ahmednagar,1600,1850,1740
126,Ahmednagar,1701,1701,1701
127,Ahmednagar,1800,1900,1850
128,Ahmednagar,1600,2550,2095
129,Ahmednagar,1500,1700,1635
130,Ahmednagar,1700,1900,1825
131,Ahmednagar,1700,1950,1875
132,Ahmednagar,1621,1700,1675
133,Ahmednagar,1600,1900,1815
134,Ahmednagar,1600,1600,1600
135,Ahmednagar,1705,1800,1712
136,Ahmednagar,1651,1900,1800
137,Ahmednagar,1750,1825,1800
138,Ahmednagar,1800,1900,1855
139,Ahmednagar,1550,1925,1830
140,Ahmednagar,1600,1900,1800
141,Ahmednagar,1500,2351,1750
142,Ahmednagar,1300,1551,1425
143,Ahmednagar,1301,2000,1650
144,Ahmednagar,2500,2500,2500
145,Ahmednagar,1400,1700,1550
146,Ahmednagar,1675,2300,1987
147,Ahmednagar,1400,2151,1775
148,Ahmednagar,1501,2151,1826
149,Ahmednagar,1300,2000,1650
150,Ahmednagar,1500,2200,1850
151,Ahmednagar,1500,2051,1775
152,Ahmednagar,1500,2900,2200
153,Ahmednagar,1600,2300,1950
154,Ahmednagar,1500,2600,2050
155,Ahmednagar,1500,2100,1800
156,Ahmednagar,1400,2250,1825
157,Ahmednagar,1625,2800,2212
158,Ahmednagar,1600,1800,1700
159,Ahmednagar,1400,1451,1425
160,Ahmednagar,1400,1400,1400
161,Ahmednagar,1501,2000,1750
162,Ahmednagar,1600,2100,1850
163,Ahmednagar,2000,2100,2050
164,Ahmednagar,1400,1600,1500
165,Ahmednagar,1550,2100,1825
166,Ahmednagar,1550,2151,1850
167,Ahmednagar,1551,2100,1825
168,Ahmednagar,1500,1751,1625
169,Ahmednagar,1400,2000,1700
170,Ahmednagar,1638,2000,1819
171,Ahmednagar,1451,1750,1600
172,Ahmednagar,1450,2200,1825
173,Ahmednagar,1500,2000,1750
174,Ahmednagar,1650,2050,1850
175,Ahmednagar,1411,1500,1455
176,Ahmednagar,1511,1700,1605
177,Ahmednagar,1500,1800,1650
178,Ahmednagar,1500,1725,1612
179,Ahmednagar,1500,1725,1612
180,Ahmednagar,1400,1800,1600
181,Ahmednagar,1450,1725,1587
182,Ahmednagar,1300,1550,1425
183,Ahmednagar,1400,1750,1575
184,Ahmednagar,1550,1800,1675
185,Ahmednagar,1500,1791,1645
