Sl no.,District Name,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
1,Amarawati,1050,1150,1100
2,Amarawati,1040,1425,1232
3,Amarawati,1040,1425,1232
4,Amarawati,1050,1425,1237
5,Gadchiroli,1400,1400,1400
6,Gadchiroli,1400,1400,1400
7,Gadchiroli,1400,1400,1400
8,Gadchiroli,1400,1400,1400
9,Gadchiroli,1400,1400,1400
10,Gadchiroli,1025,1025,1025
11,Gadchiroli,1400,1400,1400
12,Gadchiroli,1200,1200,1200
13,Gadchiroli,1200,1200,1200
14,Gadchiroli,1300,1300,1300
15,Gadchiroli,1110,1110,1110
16,Gadchiroli,1425,1425,1425
17,Gadchiroli,1300,1300,1300
18,Gadchiroli,1450,1450,1450
19,Ahmednagar,1600,1600,1600
20,Ahmednagar,1631,1631,1631
21,Ahmednagar,1600,1600,1600
22,Ahmednagar,1500,1600,1550
23,Ahmednagar,1621,1621,1621
24,Ahmednagar,1400,1650,1550
25,Ahmednagar,1450,1631,1540
26,Ahmednagar,1561,1561,1561
27,Ahmednagar,1576,1652,1600
28,Ahmednagar,1551,1581,1565
29,Ahmednagar,1563,1800,1690
30,Ahmednagar,1500,1500,1500
31,Ahmednagar,1555,1555,1555
32,Ahmednagar,1650,1650,1650
33,Ahmednagar,1525,1525,1525
34,Ahmednagar,1451,1551,1501
35,Ahmednagar,1415,1451,1430
36,Ahmednagar,1500,1500,1500
37,Ahmednagar,1391,1391,1391
38,Ahmednagar,1391,1391,1391
39,Ahmednagar,1391,1391,1391
40,Ahmednagar,1200,1400,1300
41,Ahmednagar,1275,1400,1337
42,Ahmednagar,1325,1475,1400
43,Ahmednagar,1375,1375,1375
44,Ahmednagar,1301,1301,1301
45,Ahmednagar,1301,1800,1550
46,Ahmednagar,1311,1400,1351
47,Ahmednagar,1375,1900,1637
48,Ahmednagar,1305,1908,1610
49,Ahmednagar,1300,1300,1300
50,Ahmednagar,1300,1361,1340
51,Ahmednagar,1300,1361,1340
52,Ahmednagar,1161,1370,1265
53,Ahmednagar,1425,1425,1425
54,Ahmednagar,1351,1351,1351
55,Ahmednagar,1600,1600,1600
56,Ahmednagar,1481,1602,1541
57,Ahmednagar,1451,1451,1451
58,Ahmednagar,1451,1451,1451
59,Ahmednagar,1400,1750,1575
60,Ahmednagar,1400,1750,1575
61,Ahmednagar,1650,1650,1650
62,Ahmednagar,1400,1400,1400
63,Ahmednagar,1400,1400,1400
64,Ahmednagar,1500,1500,1500
65,Ahmednagar,1450,1450,1450
66,Ahmednagar,1875,2400,2137
67,Ahmednagar,1375,1375,1375
68,Ahmednagar,1301,1450,1375
69,Ahmednagar,951,1390,1170
70,Ahmednagar,1025,1425,1225
71,Ahmednagar,825,825,825
72,Ahmednagar,1400,1400,1400
73,Ahmednagar,6300,6300,6300
74,Ahmednagar,1300,1300,1300
75,Ahmednagar,1300,1300,1300
76,Ahmednagar,1300,1300,1300
77,Ahmednagar,1291,1291,1291
78,Ahmednagar,1325,1325,1325
79,Ahmednagar,1400,1400,1400
80,Ahmednagar,1362,1362,1362
81,Ahmednagar,1310,1310,1310
82,Ahmednagar,1200,1200,1200
83,Ahmednagar,1100,1125,1112
84,Ahmednagar,1175,1175,1175
85,Ahmednagar,1061,1061,1061
86,Ahmednagar,1125,1125,1125
87,Ahmednagar,1102,1175,1145
88,Ahmednagar,1125,1125,1125
89,Ahmednagar,1100,1151,1130
90,Ahmednagar,1075,1120,1100
91,Ahmednagar,1100,1100,1100
92,Ahmednagar,950,1000,975
93,Ahmednagar,1101,1151,1126
94,Ahmednagar,1111,1111,1111
95,Ahmednagar,1150,1150,1150
96,Ahmednagar,801,1135,968
97,Ahmednagar,1650,1650,1650
98,Ahmednagar,1160,1611,1385
99,Ahmednagar,1125,1125,1125
100,Ahmednagar,800,800,800
101,Ahmednagar,1125,1125,1125
102,Ahmednagar,1651,1651,1651
103,Ahmednagar,1051,1125,1088
104,Ahmednagar,1125,1125,1125
105,Ahmednagar,850,1141,995
106,Ahmednagar,1100,1100,1100
107,Ahmednagar,1101,1101,1101
108,Ahmednagar,1075,1131,1103
109,Ahmednagar,950,1075,1012
110,Ahmednagar,1000,1000,1000
111,Ahmednagar,801,801,801
112,Ahmednagar,1051,1051,1051
113,Ahmednagar,1000,1161,1080
114,Ahmednagar,1001,1001,1001
115,Ahmednagar,1125,1150,1137
116,Ahmednagar,1100,1150,1125
117,Ahmednagar,1125,1141,1133
118,Ahmednagar,1175,1175,1175
119,Ahmednagar,1100,1175,1137
120,Ahmednagar,1075,1170,1122
121,Ahmednagar,1080,1175,1127
122,Ahmednagar,1175,1175,1175
123,Ahmednagar,1233,1250,1241
124,Ahmednagar,1100,1131,1115
125,Ahmednagar,1051,1051,1051
126,Ahmednagar,1111,1111,1111
127,Ahmednagar,1075,1075,1075
128,Ahmednagar,1050,1251,1150
129,Ahmednagar,1150,1150,1150
130,Latur,1390,1390,1390
131,Latur,10000,10700,10300
132,Latur,1100,1340,1220
133,Latur,1000,1000,1000
134,Latur,1000,1200,1100
135,Latur,902,902,902
136,Latur,1000,1150,1057
137,Latur,1172,1172,1172
138,Latur,1125,1125,1125
139,Latur,1151,1151,1151
140,Latur,1200,1275,1237
141,Latur,1286,1286,1286
142,Latur,1396,1397,1396
143,Sholapur,1400,1401,1400
144,Sholapur,1401,1401,1401
145,Nandurbar,1375,1490,1483
146,Nandurbar,1390,1490,1475
147,Nandurbar,1381,1495,1488
148,Nandurbar,1400,1491,1480
149,Nandurbar,1421,1486,1481
150,Nandurbar,1400,1487,1471
151,Nandurbar,1390,1501,1485
152,Nandurbar,1495,1791,1778
153,Nandurbar,1408,1491,1485
154,Nandurbar,1380,1496,1478
155,Nandurbar,1430,1482,1465
156,Nandurbar,1405,1489,1481
157,Nandurbar,1420,1492,1481
158,Nandurbar,1421,1488,1475
159,Nandurbar,1390,1488,1461
160,Nandurbar,1390,1488,1461
161,Nandurbar,1381,1480,1466
162,Nandurbar,1411,1490,1460
163,Sholapur,1740,1762,1751
164,Sholapur,1600,1670,1670
165,Sholapur,1375,1375,1375
166,Sholapur,1225,1225,1225
167,Sholapur,1200,1200,1200
168,Sholapur,1180,1200,1200
169,Sholapur,1160,1180,1160
170,Akola,1725,1725,1725
171,Akola,1300,1800,1550
172,Akola,1800,1800,1800
173,Akola,1075,1075,1075
174,Akola,1600,1800,1700
175,Akola,1800,1800,1800
176,Akola,1700,1700,1700
177,Akola,1600,1650,1625
178,Akola,1225,1225,1225
179,Akola,960,1600,1500
180,Akola,1700,1700,1700
181,Akola,1450,1450,1450
182,Akola,1625,1625,1625
183,Akola,1300,1600,1450
184,Akola,1050,1050,1050
185,Akola,1140,1600,1370
186,Akola,1650,1650,1650
187,Akola,1450,1650,1550
188,Akola,1200,1600,1400
189,Akola,1125,1500,1160
190,Akola,1125,1125,1125
191,Akola,1150,1600,1375
192,Akola,1350,1625,1485
193,Akola,1625,1625,1625
194,Akola,1150,1650,1300
195,Akola,1125,1125,1125
196,Akola,1200,1450,1325
