Sl no.,District Name,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
1,Gadchiroli,4300,4300,4300
2,Gadchiroli,4350,4350,4350
3,Gadchiroli,4350,4350,4350
4,Gadchiroli,4380,4380,4380
5,Gadchiroli,4360,4360,4360
6,Gadchiroli,4300,4300,4300
7,Ahmednagar,4500,5200,4850
8,Ahmednagar,3300,4200,3750
9,Ahmednagar,4500,5600,5050
10,Ahmednagar,5200,5200,5200
11,Ahmednagar,4800,5000,4900
12,Ahmednagar,4600,5200,4900
13,Ahmednagar,4100,4500,4300
14,Ahmednagar,4000,5000,4500
15,Ahmednagar,4800,5125,4960
16,Ahmednagar,4300,5200,4950
17,Ahmednagar,5600,5600,5600
18,Ahmednagar,5200,5301,5250
19,Ahmednagar,4700,5601,5150
20,Ahmednagar,4000,5800,4900
21,Ahmednagar,4900,5301,5100
22,Ahmednagar,5000,5300,5150
23,Ahmednagar,5000,6000,5500
24,Ahmednagar,4000,5800,4975
25,Ahmednagar,4000,5800,4975
26,Ahmednagar,4000,5800,4975
27,Ahmednagar,4500,5550,5025
28,Ahmednagar,5151,5151,5151
29,Ahmednagar,5100,5700,5400
30,Ahmednagar,4100,5150,4625
31,Ahmednagar,4500,5500,5000
32,Ahmednagar,4800,5607,5210
33,Ahmednagar,5205,5811,5508
34,Ahmednagar,4000,5500,4750
35,Ahmednagar,4705,5500,5130
36,Ahmednagar,4500,5800,5180
37,Ahmednagar,4700,5600,5180
38,Ahmednagar,4100,5500,4900
39,Ahmednagar,4100,5500,4900
40,Ahmednagar,4000,5000,4500
41,Ahmednagar,4000,5000,4500
42,Ahmednagar,4000,5400,4700
43,Ahmednagar,4300,5300,4800
44,Ahmednagar,4000,5300,4650
45,Ahmednagar,4300,5300,4800
46,Ahmednagar,4000,5200,4600
47,Ahmednagar,4400,5200,4800
48,Ahmednagar,4000,5200,4690
49,Ahmednagar,4000,5350,4675
50,Ahmednagar,4200,5500,4850
51,Ahmednagar,4200,5300,4750
