District Name,Average_Price_min,Average_prices_max,Average_prices_modal
Ahmednagar,1213.6380802517704,1435.3674272226592,1334.8292682926829
Akola,1283.1,1533.1,1408.1
Amarawati,1796.1538461538462,2000.0,1898.076923076923
Aurangabad,1264.3235563703024,1545.897341888176,1407.2080659945004
Beed,1195.856403622251,1728.895213454075,1462.6610608020699
Buldhana,1497.1285714285714,1712.2,1617.2714285714285
Dhule,1116.3818897637796,1448.8805774278214,1321.7795275590552
Jalana,1174.5192307692307,1670.9529914529915,1378.0576923076924
Jalgaon,1245.7445972495088,1490.114931237721,1397.0039292730844
Kolhapur,1550.625,1700.0,1625.0
Latur,4251.0,4251.0,4251.0
Mumbai,1637.354085603113,2428.4046692607003,2072.7626459143967
Nandurbar,1279.1467889908256,1557.2385321100917,1416.6880733944954
Nashik,1253.8962331201137,1646.1130063965884,1483.2977967306326
Osmanabad,1613.6842105263158,1765.578947368421,1685.9473684210527
Parbhani,1423.3870967741937,1561.0967741935483,1504.3870967741937
Pune,1517.71974522293,1911.4203821656051,1706.5700636942674
Raigad,1350.0,1900.0,1550.0
Sangli,1502.2388059701493,1728.7313432835822,1615.3283582089553
Satara,1529.5945945945946,1777.4504504504505,1647.4054054054054
Sholapur,1371.9140625,1594.2421875,1525.2734375
Thane,1792.6545454545455,2108.181818181818,1956.389090909091
Yavatmal,1350.0,1531.0,1531.0
