District Name,Average_Price_min,Average_prices_max,Average_prices_modal
Ahmednagar,3166.0754716981132,3732.1132075471696,3467.0188679245284
Amarawati,3807.5949367088606,4375.53164556962,4081.4430379746836
Aurangabad,2652.9666666666667,3484.225,3066.6666666666665
Beed,2874.16,3139.08,3010.12
Buldhana,2973.823529411765,3292.0588235294117,3132.8823529411766
Dhule,3114.5873786407765,4282.692556634304,3903.6569579288025
Gadchiroli,2757.9268292682927,4411.707317073171,3854.8048780487807
Hingoli,3893.266666666667,3984.2266666666665,3952.88
Jalgaon,3380.222222222222,3745.9166666666665,3627.9305555555557
Kolhapur,7600.0,8000.0,7800.0
Latur,3339.3529411764707,3892.9411764705883,3591.0
Mumbai,4723.529411764706,6117.64705882353,5523.529411764706
Nagpur,3377.5050505050503,4184.732323232323,3997.691919191919
Nanded,3248.4871794871797,3774.6666666666665,3526.025641025641
Nandurbar,3179.519230769231,3611.980769230769,3456.951923076923
Nashik,3022.325714285714,4125.302857142857,3728.92
Osmanabad,2094.915254237288,3167.7966101694915,2652.5423728813557
Parbhani,3274.3545454545456,3769.163636363636,3590.3
Pune,4353.3859649122805,5191.087719298245,4844.859649122807
Sholapur,3159.4166666666665,3630.3333333333335,3492.75
Thane,5963.636363636364,8554.545454545454,7909.090909090909
Vashim,3617.6612903225805,4165.645161290323,3930.967741935484
Wardha,3331.5714285714284,3840.0,3621.4285714285716
Yavatmal,3418.205882352941,3749.8676470588234,3589.3382352941176
