District Name,Average_Price_min,Average_prices_max,Average_prices_modal
Ahmednagar,1776.0320512820513,2044.639423076923,1922.931891025641
Akola,1097.2851637764932,1328.3757225433526,1239.2061657032755
Amarawati,1365.8719723183392,1645.5570934256054,1511.7820069204151
Aurangabad,1562.3105263157895,1999.3326315789473,1766.0642105263157
Beed,1749.9203314212875,2233.8151688973867,2008.6953473550032
Buldhana,1174.1281725888325,1396.4670050761422,1300.9111675126903
Dhule,1453.8231707317073,1845.4674796747968,1663.7825203252032
Gadchiroli,1500.0,1500.0,1500.0
Hingoli,1364.2156862745098,1408.4313725490197,1385.3333333333333
Jalana,1523.2627118644068,2136.562146892655,1817.8206214689264
Jalgaon,1379.9481481481482,1595.9911111111112,1494.8414814814814
Kolhapur,1950.0,3200.0,2556.25
Latur,1211.4396551724137,1644.1077586206898,1426.0021551724137
Mumbai,1750.9191176470588,3468.75,2669.485294117647
Nagpur,1653.1914893617022,1922.8936170212767,1845.9574468085107
Nanded,1144.8820224719102,1337.5702247191011,1233.5337078651685
Nandurbar,1467.969981238274,1637.2401500938086,1559.703564727955
Nashik,1451.6258503401361,2068.4761904761904,1767.1224489795918
Osmanabad,1926.4684684684685,2253.745945945946,2114.8198198198197
Parbhani,1551.8014888337468,1774.8908188585608,1670.9305210918114
Pune,2447.34375,3019.56640625,2755.359375
Raigad,1700.0,2316.6666666666665,1958.3333333333333
Sangli,1999.691629955947,2333.480176211454,2174.11013215859
Satara,1936.6569343065694,2291.5401459854015,2113.6204379562046
Sholapur,1766.4318181818182,2520.299715909091,2244.083806818182
Thane,2343.944636678201,2759.9653979238756,2608.2698961937717
Vashim,1163.3816425120774,1391.9420289855072,1280.4106280193237
Wardha,590.0,650.0,600.0
Yavatmal,1191.8085106382978,1328.6808510638298,1273.6808510638298
