District Name,Average_Price_min,Average_prices_max,Average_prices_modal
Ahmednagar,1187.8934802571166,1282.4517906336089,1244.4214876033059
Akola,1283.864406779661,1434.2203389830509,1362.4237288135594
Amarawati,1224.6923076923076,1342.448717948718,1283.6666666666667
Aurangabad,1191.4951644100581,1280.94584139265,1244.2514506769826
Beed,1127.7622377622379,1261.1503496503497,1205.3776223776224
Buldhana,1070.3843902439025,1213.6634146341464,1176.4078048780489
Dhule,1124.5700416088766,1305.0055478502081,1244.2330097087379
Gadchiroli,1315.0,1315.0,1315.0
Jalana,1160.875816993464,1331.616557734205,1248.0174291938997
Jalgaon,1232.0058997050148,1328.1404129793511,1293.7469026548672
Kolhapur,1450.0,1554.6153846153845,1502.3076923076924
Latur,1464.9285714285713,1553.2142857142858,1505.9285714285713
Mumbai,1576.923076923077,1938.4615384615386,1757.6923076923076
Nagpur,1204.5615763546798,1298.472906403941,1269.8620689655172
Nanded,1070.909090909091,1122.7272727272727,1098.1818181818182
Nandurbar,1191.7590062111801,1364.4447204968944,1271.872049689441
Nashik,1177.1499372647427,1322.3287327478042,1280.198243412798
Osmanabad,1177.526627218935,1297.792899408284,1254.6568047337278
Parbhani,4200.0,4500.0,4300.0
Pune,1389.6311475409836,1494.122950819672,1465.0
Sangli,1448.6666666666667,1499.0,1473.5733333333333
Satara,1449.0625,1469.21875,1459.6875
Sholapur,1237.6291739894552,1339.4903339191565,1297.9279437609841
