District Name,Average_Price_min,Average_prices_max,Average_prices_modal
Ahmednagar,4382.785087719299,5156.039473684211,4812.425438596491
Akola,4263.55753968254,5008.376984126984,4705.696428571428
Amarawati,3696.056338028169,101789.08169014084,4324.8112676056335
Aurangabad,4285.898734177215,5240.5822784810125,4929.101265822785
Beed,4188.4807692307695,5018.988461538462,4672.596153846154
Bhandara,4045.8888888888887,4282.949494949495,4185.636363636364
Buldhana,4047.4433198380566,5029.606275303644,4661.108299595142
Chandrapur,4125.0,4175.0,4150.0
Dhule,3725.2924528301887,5285.108490566037,4697.867924528302
Gadchiroli,4340.0,4340.0,4340.0
Hingoli,3982.0759493670885,4487.620253164557,4252.0
Jalana,4022.1493055555557,5010.493055555556,4597.96875
Jalgaon,3980.4712643678163,4877.4808429118775,4617.045977011494
Kolhapur,5427.083333333333,6197.916666666667,5812.5
Latur,4337.226993865031,5183.053169734151,4790.427402862986
Mumbai,5583.333333333333,7083.333333333333,6083.333333333333
Nagpur,3909.8,4145.0,4074.68
Nanded,3417.6288659793813,4609.896907216495,3986.680412371134
Nandurbar,4251.298245614035,4959.245614035088,4673.122807017544
Nashik,3921.2968299711815,5601.636887608069,5215.881844380404
Osmanabad,3888.190476190476,4999.961038961039,4651.74025974026
Parbhani,3896.0046511627907,4698.925581395349,4309.618604651163
Pune,5474.317972350231,6066.497695852535,5872.1889400921655
Sangli,5609.567901234568,6239.506172839506,5920.0
Sholapur,4116.736363636363,4980.827272727272,4608.409090909091
Thane,5809.523809523809,6590.476190476191,6216.666666666667
Vashim,4018.558587479936,4808.868378812199,4482.0963081861955
Yavatmal,4123.0,4565.972972972973,4329.540540540541
