District Name,Average_Price_min,Average_prices_max,Average_prices_modal
Ahmednagar,2628.2771535580523,4561.535580524344,3518.8389513108614
Bhandara,2550.1181818181817,3238.3333333333335,3109.806060606061
Gadchiroli,4000.0,4000.0,4000.0
Jalgaon,1400.0,1625.0,1500.0
Kolhapur,2500.0,5986.111111111111,3295.8333333333335
Mumbai,3013.6363636363635,6922.727272727273,4943.181818181818
Nagpur,2440.6593406593406,4297.802197802198,3749.1758241758243
Nanded,1675.0,1675.0,1675.0
Nandurbar,1961.3636363636363,1972.7272727272727,1967.0454545454545
Nashik,1852.0,1861.0,1860.0
Pune,2475.0,2966.8823529411766,2722.4117647058824
Raigad,3255.694618272841,4916.570713391739,3866.3829787234044
Sangli,2098.913043478261,6239.855072463768,4168.659420289855
Satara,1693.3333333333333,1733.3333333333333,1708.3333333333333
Sholapur,2257.6413793103447,5547.11724137931,3409.2206896551725
Thane,2711.697175141243,4100.298305084746,3185.1525423728813
