District Name,Average_Price_min,Average_prices_max,Average_prices_modal
Ahmednagar,3114.6017222820237,3329.280947255113,3260.411194833154
Akola,3045.376722817764,3329.2220520673814,3215.196018376723
Amarawati,2992.7880228136883,3324.06463878327,3174.2148288973385
Aurangabad,3129.266666666667,3279.7533333333336,3230.8866666666668
Beed,3062.692225772098,3669.577209797657,3310.0905218317357
Bhandara,2910.0434782608695,3038.7391304347825,2996.5652173913045
Buldhana,3022.69,3430.3025,3278.469
Chandrapur,3193.645308924485,3389.9359267734553,3311.0228832951943
Dhule,2837.472440944882,3155.433070866142,3088.149606299213
Gadchiroli,2733.3333333333335,2733.3333333333335,2733.3333333333335
Hingoli,3236.799578059072,3368.09388185654,3314.6244725738397
Jalana,3043.3715846994537,3348.905282331512,3275.0673952641164
Jalgaon,2961.087044534413,3222.576923076923,3144.016194331984
Latur,3209.8729281767955,3463.05682715075,3363.210734017364
Nagpur,3003.499377334994,3397.2328767123286,3274.4981320049815
Nanded,3126.7025316455697,3325.65664556962,3234.0015822784812
Nandurbar,3090.5035714285714,3296.182142857143,3217.6285714285714
Nashik,2899.2367724867727,3528.4695767195767,3389.2341269841268
Osmanabad,3074.815573770492,3349.4262295081967,3281.967213114754
Parbhani,3074.4612403100773,3368.723514211886,3234.7894056847545
Pune,2753.1509433962265,3241.735849056604,3157.1132075471696
Sangli,3295.348623853211,3471.2201834862385,3378.2844036697247
Satara,3474.9583333333335,3568.7083333333335,3521.8333333333335
Sholapur,3207.64,3303.66,3274.9
Vashim,3157.2342007434945,3471.803903345725,3352.274163568773
Wardha,2974.6347417840375,3430.618779342723,3217.241314553991
Yavatmal,3109.396,3357.7992,3245.1272
