District Name,Average_Price_min,Average_prices_max,Average_prices_modal
Ahmednagar,3582.644245142003,3869.5022421524664,3751.013452914798
Akola,3635.2755102040815,4018.293367346939,3863.043367346939
Amarawati,3615.1876347951115,3950.7735442127964,3810.3803019410498
Aurangabad,3609.1774809160306,4122.582061068702,3977.043893129771
Beed,3473.407042253521,3920.407042253521,3753.5605633802816
Bhandara,3416.520930232558,3596.0558139534883,3529.274418604651
Buldhana,3556.7075882068634,4007.6834219429675,3833.1300144997585
Chandrapur,3604.005305039788,3939.368700265252,3815.257294429708
Dhule,3043.3502673796793,3994.1470588235293,3619.5748663101604
Gadchiroli,3600.8823529411766,3600.8823529411766,3600.8823529411766
Hingoli,4169.446640316206,4348.66930171278,4232.507246376812
Jalana,3695.148936170213,4169.739952718676,3958.0401891252955
Jalgaon,3329.212121212121,3764.676236044657,3656.944178628389
Latur,3882.246791707799,4236.053307008884,4079.873642645607
Nagpur,3551.9416666666666,3955.5857142857144,3826.042857142857
Nanded,3882.6685823754788,4169.063218390805,4046.4655172413795
Nandurbar,3488.8563829787236,3824.558510638298,3697.3936170212764
Nashik,3213.914454277286,3765.380530973451,3634.3893805309735
Osmanabad,3900.1897435897436,4265.112820512821,4126.076923076923
Parbhani,3724.4500907441015,4006.3212341197823,3906.5372050816695
Pune,3100.5072463768115,3563.6304347826085,3418.9057971014495
Satara,3637.5,3756.25,3712.5
Sholapur,4051.849884526559,4483.258660508083,4340.750577367206
Vashim,3743.1446488294314,4192.0894648829435,4003.2608695652175
Wardha,3532.515184381779,4130.811279826464,3821.4501084598696
Yavatmal,3885.988543371522,4197.480360065467,4083.0761047463175
