District Name,Average_Price_min,Average_prices_max,Average_prices_modal
Ahmednagar,3415.416030534351,3847.9656488549617,3640.709923664122
Akola,3336.2664233576643,3897.0620437956204,3689.934306569343
Amarawati,3010.029126213592,3811.9126213592235,3520.8867313915857
Aurangabad,3577.9333333333334,3941.866666666667,3713.6
Beed,3495.504672897196,4138.915887850468,3812.8317757009345
Bhandara,3313.5185185185187,3380.925925925926,3353.1481481481483
Buldhana,3219.5495867768595,3880.1289256198347,3593.489256198347
Dhule,2939.5714285714284,4208.047619047619,3823.5238095238096
Hingoli,3706.3793103448274,4403.597701149425,3871.7586206896553
Jalana,3389.3939393939395,4177.060606060606,3939.0757575757575
Jalgaon,3521.229674796748,4049.4634146341464,3906.788617886179
Latur,3633.454773869347,4301.71608040201,3994.354271356784
Mumbai,4477.777777777777,5477.777777777777,4877.777777777777
Nagpur,3475.0,3750.0,3681.25
Nanded,2827.5033112582782,3610.417218543046,3234.430463576159
Nandurbar,4042.4239130434785,4320.521739130435,4183.771739130435
Nashik,3183.3846153846152,3974.474358974359,3756.4871794871797
Osmanabad,3602.754098360656,4211.580327868853,3989.967213114754
Parbhani,3664.4444444444443,4033.962962962963,3867.4444444444443
Pune,5162.748344370861,5590.350993377483,5420.443708609271
Raigad,3125.0,3887.5,3737.5
Satara,3240.25,3467.5,3340.0
Sholapur,3335.670588235294,4165.125490196078,3870.2039215686273
Vashim,3367.5898030127464,3960.882966396292,3727.1564310544613
Yavatmal,3589.5882352941176,3826.294117647059,3699.705882352941
