Sl no.,District Name,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
1,Gadchiroli,4000,4000,4000
2,Raigad,7000,7500,7200
3,Raigad,7000,7500,7200
4,Raigad,7000,7500,7200
5,Raigad,7000,7500,7200
6,Raigad,7000,7500,7200
7,Raigad,7000,7500,7200
8,Raigad,7000,7500,7200
9,Raigad,7000,7500,7200
10,Raigad,7000,7500,7200
11,Raigad,7000,7500,7200
12,Raigad,7000,7500,7200
13,Raigad,2000,2500,2250
14,Raigad,7000,7500,7200
15,Raigad,7000,7500,7200
16,Raigad,7000,7500,7200
17,Raigad,7000,7500,7200
18,Raigad,2000,2500,2250
19,Raigad,2000,2500,2250
20,Raigad,2000,2500,2250
21,Raigad,2000,2500,2250
22,Raigad,2000,2500,2250
23,Raigad,2000,2500,2250
24,Raigad,2000,2500,2250
25,Raigad,2000,2500,2250
26,Raigad,2000,2500,2250
27,Raigad,2000,2500,2250
28,Raigad,2000,2500,2250
29,Raigad,2000,2500,2250
30,Raigad,2000,2500,2250
31,Raigad,2000,2500,2250
32,Raigad,2000,2500,2250
33,Raigad,2000,2500,2250
34,Raigad,4500,5500,5000
35,Raigad,4500,5500,5000
36,Raigad,4500,5500,5000
37,Raigad,4500,5500,5000
38,Raigad,4500,5500,5000
39,Raigad,4500,5500,5000
40,Raigad,4500,5500,5000
41,Raigad,4500,5500,5000
42,Raigad,4500,5500,5000
43,Raigad,4500,5500,5000
44,Raigad,4500,5500,5000
45,Raigad,4500,5500,5000
46,Raigad,4500,5500,5000
47,Raigad,4500,5500,5000
48,Raigad,4500,5500,5000
49,Raigad,4500,5500,5000
50,Raigad,4500,5500,5000
51,Raigad,4500,5500,5000
52,Raigad,4500,5500,5000
53,Raigad,4500,5500,5000
54,Raigad,4500,5500,5000
55,Raigad,4500,5500,5000
56,Raigad,4500,5500,5000
57,Raigad,4500,5500,5000
58,Raigad,4500,5500,5000
59,Raigad,4500,5500,5000
60,Raigad,4500,5500,5000
61,Raigad,4500,5500,5000
62,Raigad,4500,5500,5000
63,Raigad,4500,5500,5000
64,Raigad,4500,5500,5000
65,Raigad,4500,5500,5000
66,Raigad,4500,5500,5000
67,Raigad,4500,5500,5000
68,Raigad,4500,5500,5000
69,Raigad,4500,5500,5000
70,Raigad,4500,5500,5000
71,Raigad,4500,5500,5000
72,Raigad,4500,5500,5000
73,Raigad,4500,5500,5000
74,Raigad,4500,5500,5000
75,Raigad,4500,5500,5000
76,Raigad,4500,5500,5000
77,Raigad,4500,5500,5000
78,Raigad,4500,5500,5000
79,Raigad,4500,5500,5000
80,Raigad,4500,5500,5000
81,Raigad,4500,5500,5000
82,Raigad,4500,5500,5000
83,Raigad,4500,5500,5000
84,Raigad,4500,5500,5000
85,Raigad,4500,5500,5000
86,Raigad,4500,5500,5000
87,Raigad,4500,5500,5000
88,Raigad,4500,5500,5000
89,Raigad,4500,5500,5000
90,Raigad,4500,5500,5000
91,Raigad,4500,5500,5000
92,Raigad,4500,5500,5000
93,Raigad,4500,5500,5000
94,Raigad,4500,5500,5000
95,Raigad,4500,5500,5000
96,Raigad,4500,5500,5000
97,Raigad,4500,5500,5000
98,Raigad,4500,5500,5000
99,Raigad,4500,5500,5000
100,Raigad,4500,5500,5000
101,Raigad,4500,5500,5000
102,Raigad,4500,5500,5000
103,Raigad,4500,5500,5000
104,Raigad,4500,5500,5000
105,Raigad,4500,5500,5000
106,Raigad,4500,5500,5000
107,Raigad,4500,5500,5000
108,Raigad,4500,5500,5000
109,Raigad,4500,5500,5000
110,Raigad,4500,5500,5000
111,Raigad,3500,4500,4000
112,Raigad,4500,5500,5000
113,Raigad,4500,5500,5000
114,Raigad,4500,5500,5000
115,Raigad,4500,5500,5000
116,Raigad,4500,5500,5000
117,Raigad,4500,5500,5000
118,Raigad,4500,5500,5000
119,Raigad,4500,5500,5000
120,Raigad,4500,5500,5000
