Sl no.,District Name,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
1,Yavatmal,3100,3285,3200
2,Yavatmal,3100,3295,3200
3,Yavatmal,3000,3300,3200
4,Yavatmal,3000,3340,3200
5,Yavatmal,3100,3320,3200
6,Yavatmal,3100,3326,3200
7,Yavatmal,3100,3300,3200
8,Yavatmal,3000,3280,3100
9,Yavatmal,2900,3200,3050
10,Yavatmal,2800,3200,3000
11,Yavatmal,2800,3107,3000
12,Yavatmal,2800,3150,3000
13,Yavatmal,2800,3110,3000
14,Yavatmal,2800,3071,3000
15,Yavatmal,2800,3100,3000
16,Yavatmal,2800,3180,2950
17,Yavatmal,2800,3150,3000
18,Yavatmal,2800,3000,2900
19,Yavatmal,2700,2900,2800
20,Yavatmal,3400,3555,3450
21,Yavatmal,3400,3600,3550
22,Yavatmal,3400,3600,3500
23,Yavatmal,3200,3625,3400
24,Yavatmal,3400,3634,3500
25,Yavatmal,3100,3390,3250
26,Yavatmal,3050,3250,3100
27,Yavatmal,3050,3125,3075
28,Yavatmal,3000,3220,3100
29,Yavatmal,3000,3180,3050
30,Yavatmal,3000,3100,3050
31,Yavatmal,3000,3147,3075
32,Yavatmal,2900,3170,3000
33,Yavatmal,2900,3150,3000
34,Yavatmal,2900,3131,3000
35,Amarawati,3150,3250,3200
36,Amarawati,3150,3220,3185
37,Amarawati,3200,3240,3220
38,Amarawati,3150,3200,3175
39,Amarawati,3250,3270,3260
40,Amarawati,3150,3300,3225
41,Amarawati,3100,3300,3200
42,Amarawati,2900,3100,3000
43,Amarawati,2800,3050,2925
44,Amarawati,2800,2950,2875
45,Amarawati,2800,3050,2925
46,Amarawati,3000,3250,3125
47,Amarawati,3200,3250,3225
48,Amarawati,3150,3200,3175
49,Amarawati,3150,3300,3225
50,Amarawati,3200,3400,3300
51,Amarawati,3250,3400,3325
52,Amarawati,3200,3300,3250
53,Amarawati,3100,3300,3200
54,Amarawati,3350,3450,3400
55,Amarawati,3200,3300,3250
56,Amarawati,3050,3600,3325
57,Amarawati,3250,3550,3400
58,Amarawati,3050,3400,3225
59,Amarawati,3200,3550,3375
60,Amarawati,3100,3550,3325
61,Gadchiroli,2800,2800,2800
62,Gadchiroli,2700,2700,2700
63,Gadchiroli,2700,2700,2700
64,Ahmednagar,1800,1985,1890
65,Ahmednagar,3275,3331,3303
66,Ahmednagar,3300,3321,3315
67,Ahmednagar,3275,3275,3275
68,Ahmednagar,3300,3325,3310
69,Ahmednagar,3311,3575,3443
70,Ahmednagar,3200,3300,3255
71,Ahmednagar,3255,3255,3255
72,Ahmednagar,3325,3325,3325
73,Ahmednagar,3251,3351,3301
74,Ahmednagar,3311,3361,3336
75,Ahmednagar,3100,3311,3205
76,Ahmednagar,3391,3421,3400
77,Ahmednagar,3100,3311,3205
78,Ahmednagar,3100,3311,3205
79,Ahmednagar,3391,3421,3400
80,Ahmednagar,3350,3400,3375
81,Ahmednagar,3300,3433,3365
82,Ahmednagar,3000,3341,3170
83,Ahmednagar,3000,3250,3125
84,Ahmednagar,2950,3261,3105
85,Ahmednagar,2700,3251,2990
86,Ahmednagar,3211,3225,3219
87,Ahmednagar,3100,3163,3140
88,Ahmednagar,3100,3141,3125
89,Ahmednagar,2900,3131,3025
90,Ahmednagar,2900,3161,3030
91,Ahmednagar,2900,3161,3030
92,Ahmednagar,2900,3175,3040
93,Ahmednagar,2800,3171,2985
94,Ahmednagar,2800,3082,2941
95,Ahmednagar,2851,3075,2990
96,Ahmednagar,2851,3071,2961
97,Ahmednagar,2700,3075,2880
98,Ahmednagar,2900,3100,3000
99,Ahmednagar,2900,3025,2960
100,Ahmednagar,2850,3111,2950
101,Ahmednagar,2700,3199,2950
102,Ahmednagar,3031,3175,3100
103,Ahmednagar,3000,3200,3100
104,Ahmednagar,3181,3229,3205
105,Ahmednagar,3175,3225,3200
106,Ahmednagar,3176,3260,3210
107,Ahmednagar,3105,3225,3165
108,Ahmednagar,3200,3200,3200
109,Ahmednagar,3300,3300,3300
110,Ahmednagar,3400,3400,3400
111,Ahmednagar,3350,3350,3350
112,Ahmednagar,3200,3300,3250
113,Ahmednagar,3200,3300,3250
114,Ahmednagar,3121,3121,3121
115,Ahmednagar,3200,3200,3200
116,Ahmednagar,3500,3500,3500
117,Ahmednagar,3451,3451,3451
118,Ahmednagar,3650,3650,3650
119,Ahmednagar,3400,3551,3475
120,Ahmednagar,3100,3500,3300
121,Ahmednagar,3400,3500,3450
122,Ahmednagar,3000,3550,3275
123,Ahmednagar,3400,3605,3502
124,Ahmednagar,3711,3711,3711
125,Ahmednagar,2500,3700,3100
126,Ahmednagar,3525,3525,3525
127,Ahmednagar,3200,3575,3387
128,Ahmednagar,3300,3650,3475
129,Ahmednagar,3300,3550,3425
130,Ahmednagar,2800,3670,3235
131,Ahmednagar,3000,3500,3250
132,Ahmednagar,3500,3700,3600
133,Ahmednagar,2500,3300,2900
134,Ahmednagar,3100,3325,3212
135,Ahmednagar,3400,3551,3475
136,Ahmednagar,3300,3500,3400
137,Ahmednagar,3400,3600,3500
138,Ahmednagar,3000,3675,3337
139,Ahmednagar,3000,3700,3350
140,Ahmednagar,3300,3400,3350
141,Ahmednagar,3300,3350,3325
142,Ahmednagar,2700,3225,2962
143,Ahmednagar,2900,3100,3000
144,Ahmednagar,2300,3150,2750
145,Ahmednagar,2500,3200,2850
146,Ahmednagar,2900,3075,2987
147,Ahmednagar,2400,3100,2600
148,Ahmednagar,2700,3100,2900
149,Ahmednagar,2500,3051,2775
150,Ahmednagar,1800,3063,2431
151,Ahmednagar,2200,3011,2605
152,Ahmednagar,2200,2875,2537
153,Ahmednagar,2950,3011,2980
154,Ahmednagar,2500,2961,2730
155,Latur,3250,3327,3275
156,Latur,3200,3285,3240
157,Latur,3200,3260,3250
158,Latur,3200,3260,3230
159,Latur,3200,3260,3230
160,Latur,3200,3250,3220
161,Latur,3200,3285,3240
162,Latur,3200,3274,3250
163,Latur,3200,3280,3260
164,Latur,3200,3285,3240
165,Latur,3200,3280,3250
166,Latur,3250,3321,3275
167,Latur,3200,3330,3250
168,Latur,3200,3341,3250
169,Latur,3200,3320,3250
170,Latur,3200,3311,3250
171,Latur,3200,3307,3250
172,Latur,3100,3291,3195
173,Latur,3240,3310,3275
174,Latur,2800,3316,3085
175,Latur,3250,3325,3292
176,Latur,3200,3325,3250
177,Latur,3300,3355,3320
178,Latur,3200,3360,3275
179,Latur,3300,3360,3330
180,Latur,3250,3345,3300
181,Latur,3300,3385,3340
182,Latur,3200,3340,3275
183,Latur,3250,3411,3350
184,Latur,3150,3321,3250
185,Latur,3200,3311,3250
186,Latur,3100,3260,3175
187,Latur,3100,3280,3175
188,Latur,3100,3214,3150
189,Latur,3100,3190,3150
190,Latur,3050,3211,3150
191,Latur,3000,3150,3075
192,Latur,3050,3127,3075
193,Latur,3000,3120,3050
194,Latur,3000,3100,3050
195,Latur,3050,3170,3100
196,Latur,3050,3180,3100
197,Latur,3000,3217,3100
198,Latur,3050,3190,3100
199,Latur,3000,3180,3075
200,Latur,2950,3115,3025
201,Latur,2900,3070,2975
202,Latur,2800,3060,2930
203,Latur,2800,3080,2950
204,Latur,2850,3050,2950
205,Latur,2800,3100,2900
206,Latur,2800,3060,2950
207,Latur,2700,2975,2840
208,Latur,2700,2950,2825
209,Latur,2700,3100,2900
210,Latur,2825,3065,2925
211,Latur,3000,3140,3070
212,Latur,2700,3200,3000
213,Latur,3000,3250,3125
214,Latur,3000,3210,3100
215,Latur,3200,3311,3250
216,Latur,3200,3300,3250
217,Latur,3200,3252,3225
218,Latur,3200,3325,3250
219,Latur,3000,3350,3150
220,Latur,3100,3200,3150
221,Latur,3100,3200,3150
222,Latur,3100,3211,3150
223,Latur,3150,3250,3200
224,Latur,3211,3351,3281
225,Latur,3200,3350,3275
226,Latur,3200,3375,3250
227,Latur,3200,3350,3275
228,Latur,3200,3400,3300
229,Latur,3300,3771,3550
230,Latur,3200,3375,3325
231,Latur,3200,3400,3300
232,Latur,3200,3411,3300
233,Latur,3200,3411,3300
234,Latur,3200,3400,3350
235,Latur,3400,3450,3425
236,Latur,2500,3375,2900
237,Latur,3100,3390,3250
238,Latur,3200,3400,3300
239,Latur,3200,3400,3300
240,Latur,3150,3400,3250
