Sl no.,District Name,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
1,Yavatmal,4000,4426,4300
2,Yavatmal,3400,3800,3605
3,Yavatmal,3500,3750,3650
4,Yavatmal,4030,4475,4300
5,Yavatmal,4000,4600,4400
6,Yavatmal,4000,4500,4300
7,Amarawati,4000,4500,4250
8,Amarawati,4000,4500,4250
9,Amarawati,4000,4400,4200
10,Amarawati,4500,4700,4600
11,Amarawati,3800,4600,4200
12,Amarawati,3800,4500,4150
13,Amarawati,3200,3400,3300
14,Amarawati,3400,3550,3475
15,Amarawati,3450,3550,3500
16,Amarawati,3400,3600,3500
17,Amarawati,3400,3600,3500
18,Amarawati,3450,3550,3500
19,Amarawati,3500,3600,3550
20,Amarawati,3450,3650,3550
21,Amarawati,3550,3650,3600
22,Amarawati,3400,3600,3500
23,Amarawati,3300,3750,3525
24,Amarawati,3300,3500,3400
25,Amarawati,3150,3350,3250
26,Amarawati,3100,3300,3200
27,Amarawati,3500,5450,4475
28,Amarawati,3400,5450,4425
29,Amarawati,3500,5450,4475
30,Amarawati,3200,5450,4325
31,Amarawati,3450,5450,4450
32,Amarawati,3600,5450,4525
33,Amarawati,3500,5450,4475
34,Amarawati,3400,5450,4425
35,Amarawati,3600,5450,4520
36,Amarawati,3600,5450,4525
37,Amarawati,3500,5450,4475
38,Gadchiroli,3300,3300,3300
39,Gadchiroli,3300,3300,3300
40,Gadchiroli,3300,3300,3300
41,Gadchiroli,3300,3300,3300
42,Gadchiroli,3300,3300,3300
43,Gadchiroli,3650,3650,3650
44,Gadchiroli,3650,3650,3650
45,Gadchiroli,3770,3770,3770
46,Gadchiroli,3680,3680,3680
47,Gadchiroli,3680,3680,3680
48,Gadchiroli,3720,3720,3720
49,Gadchiroli,3665,3665,3665
50,Gadchiroli,3800,3800,3800
51,Gadchiroli,3800,3800,3800
52,Gadchiroli,3800,3800,3800
53,Gadchiroli,3800,3800,3800
54,Gadchiroli,3700,3700,3700
55,Ahmednagar,4500,4650,4575
56,Ahmednagar,4500,4600,4550
57,Ahmednagar,4200,4700,4450
58,Ahmednagar,4100,4800,4450
59,Ahmednagar,4300,4806,4595
60,Ahmednagar,4000,4400,4200
61,Ahmednagar,3800,4800,4300
62,Ahmednagar,3500,4300,3900
63,Ahmednagar,3800,4700,4250
64,Ahmednagar,4000,4400,4200
65,Ahmednagar,4300,4650,4475
66,Ahmednagar,4650,4700,4675
67,Ahmednagar,4651,4651,4651
68,Ahmednagar,3800,3800,3800
69,Ahmednagar,3751,4051,3901
70,Ahmednagar,4800,4800,4800
71,Ahmednagar,4700,4900,4800
72,Ahmednagar,4608,4608,4608
73,Ahmednagar,4751,4751,4751
74,Ahmednagar,4000,4255,4100
75,Ahmednagar,4000,4800,4400
76,Ahmednagar,3800,3800,3800
77,Ahmednagar,3800,3800,3800
78,Ahmednagar,2800,3200,3050
79,Ahmednagar,2800,3200,3050
80,Ahmednagar,3200,3200,3200
81,Ahmednagar,2900,3000,2960
82,Ahmednagar,3800,3800,3800
83,Ahmednagar,3800,3800,3800
84,Ahmednagar,2700,2800,2750
85,Ahmednagar,2900,2900,2900
86,Ahmednagar,2900,2900,2900
87,Ahmednagar,2700,2900,2800
88,Ahmednagar,2900,3000,2950
89,Ahmednagar,2900,3000,2950
90,Ahmednagar,2700,3100,2900
91,Ahmednagar,3000,3151,3075
92,Ahmednagar,3100,3100,3100
93,Ahmednagar,3100,3100,3100
94,Ahmednagar,3100,3100,3100
95,Ahmednagar,3100,3100,3100
96,Ahmednagar,3200,3200,3200
97,Ahmednagar,3051,3400,3225
98,Ahmednagar,2900,3400,3150
99,Ahmednagar,3500,3500,3500
100,Ahmednagar,2800,3200,3000
101,Ahmednagar,3200,3400,3300
102,Ahmednagar,3200,3400,3350
103,Ahmednagar,3400,3400,3400
104,Ahmednagar,3300,3300,3300
105,Ahmednagar,3350,3350,3350
106,Ahmednagar,3350,3350,3350
107,Ahmednagar,3000,3350,3175
108,Ahmednagar,3000,3600,3300
