Sl no.,District Name,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
1,Amarawati,3800,4200,4000
2,Amarawati,3800,4000,3900
3,Amarawati,3500,4000,3750
4,Ahmednagar,4000,4400,4200
5,Ahmednagar,4300,4300,4300
6,Ahmednagar,4000,4000,4000
7,Ahmednagar,3500,3500,3500
8,Ahmednagar,4300,4600,4450
9,Ahmednagar,3500,4300,3900
10,Ahmednagar,3500,4500,4000
11,Ahmednagar,3501,4500,3705
12,Ahmednagar,3200,4800,4100
13,Ahmednagar,4000,4500,4250
14,Ahmednagar,3200,4500,4000
15,Ahmednagar,3200,4500,4000
16,Ahmednagar,4700,4700,4700
17,Ahmednagar,4500,4500,4500
18,Ahmednagar,4300,4700,4500
19,Ahmednagar,4000,4700,4350
20,Ahmednagar,4800,4800,4800
21,Ahmednagar,4000,4000,4000
22,Ahmednagar,4500,5000,4750
23,Ahmednagar,4300,5000,4790
24,Ahmednagar,4300,5000,4790
25,Ahmednagar,4300,5000,4790
26,Ahmednagar,3300,4300,3800
27,Ahmednagar,5000,5000,5000
28,Ahmednagar,5200,5200,5200
29,Ahmednagar,4200,5300,4800
30,Ahmednagar,3501,5400,4450
31,Ahmednagar,4700,4900,4800
32,Ahmednagar,4200,5301,4800
33,Ahmednagar,4000,4200,4100
34,Ahmednagar,4000,4200,4100
35,Ahmednagar,3000,4600,3850
36,Ahmednagar,4300,4600,4460
37,Ahmednagar,3600,4500,4100
38,Ahmednagar,4300,4300,4300
39,Ahmednagar,3700,4401,4100
40,Ahmednagar,3000,4200,3600
41,Ahmednagar,4000,4100,4050
42,Ahmednagar,3000,4100,3550
43,Ahmednagar,3200,4000,3600
44,Ahmednagar,3800,4000,3900
45,Ahmednagar,3900,4100,4000
46,Ahmednagar,3500,3900,3700
47,Ahmednagar,4000,4000,4000
48,Ahmednagar,3000,4000,3560
49,Ahmednagar,3500,4100,3800
50,Ahmednagar,3600,3950,3775
51,Ahmednagar,3900,4000,3950
52,Ahmednagar,4000,4000,4000
53,Ahmednagar,3700,4000,3850
54,Ahmednagar,4000,5000,4600
55,Ahmednagar,3900,4151,4025
56,Ahmednagar,3200,4000,3500
57,Ahmednagar,3800,4075,3940
58,Ahmednagar,4000,4000,4000
59,Ahmednagar,4000,4000,4000
60,Ahmednagar,1500,3000,2330
61,Ahmednagar,3800,3950,3850
62,Ahmednagar,3400,3900,3650
63,Ahmednagar,3300,3501,3400
64,Ahmednagar,3800,3800,3800
65,Ahmednagar,3700,3900,3800
66,Ahmednagar,3825,3900,3850
67,Ahmednagar,4000,4000,4000
68,Ahmednagar,2500,3000,2750
69,Ahmednagar,3500,3500,3500
70,Ahmednagar,2100,2100,2100
71,Ahmednagar,3000,3000,3000
72,Ahmednagar,3000,3300,3150
73,Ahmednagar,3000,3000,3000
74,Ahmednagar,2200,2800,2500
75,Ahmednagar,2500,2500,2500
76,Ahmednagar,2000,2850,2450
77,Ahmednagar,2400,2700,2550
78,Ahmednagar,2300,2500,2400
79,Ahmednagar,2200,2200,2200
80,Ahmednagar,2300,3000,2650
81,Ahmednagar,3000,3000,3000
82,Ahmednagar,210,2100,2100
83,Ahmednagar,2000,2500,2300
84,Ahmednagar,2500,2500,2500
85,Ahmednagar,2300,3100,2700
86,Ahmednagar,2500,3000,2750
87,Ahmednagar,2500,3300,2900
88,Ahmednagar,2000,2600,2300
89,Ahmednagar,2200,2900,2550
90,Ahmednagar,2500,2600,2550
91,Ahmednagar,2500,3000,2750
92,Ahmednagar,2700,3000,2850
93,Ahmednagar,2500,2800,2650
94,Ahmednagar,3000,3300,3150
95,Ahmednagar,3300,3300,3300
96,Ahmednagar,3300,3300,3300
97,Ahmednagar,2500,3200,2850
98,Ahmednagar,3000,3200,3100
99,Ahmednagar,2400,3100,2750
100,Ahmednagar,2300,3300,2800
101,Ahmednagar,2500,3300,2900
102,Ahmednagar,3000,3000,3000
103,Ahmednagar,1500,2400,1950
104,Ahmednagar,2800,3100,2910
105,Ahmednagar,2601,3100,2850
106,Ahmednagar,2500,3400,2950
107,Ahmednagar,3750,3750,3750
108,Ahmednagar,2200,2200,2200
109,Ahmednagar,2800,3300,3050
