District,arrival_weighted_price
Belgaum,5468.024775896414
Bellary,4337.526126126126
Bijapur,4872.1009915269515
Chamrajnagar,5269.622938115797
Chikmagalur,6491.524308865586
Chitradurga,5716.966935483871
Davangere,5232.744285714286
Dharwad,5324.7684861675925
Gadag,5177.328151402501
Gulbarga,5618.334656609766
Hassan,6066.79936558287
Haveri,5466.735120265539
Karwar(Uttar Kannad),6850.480895196507
Kolar,10200.0
Mandya,5000.0
Mysore,5248.060164156506
Raichur,4817.916178506764
Shimoga,6550.230578512396
Tumkur,11979.095238095239
