District,arrival_weighted_price
Bagalkot,5136.319876213251
Bangalore,6787.794558697515
Belgaum,4942.708854427214
Bellary,5597.195121951219
Bidar,4648.752800753848
Bijapur,4286.466165413533
Chamrajnagar,5300.0
Chikmagalur,4334.666666666667
Chitradurga,4819.852476290833
Davangere,6752.2467532467535
Dharwad,4504.349275998245
Gadag,4934.749378261082
Gulbarga,4638.448414985591
Hassan,4995.76726844584
Haveri,4978.6274509803925
Karwar(Uttar Kannad),4260.4
Koppal,4257.155555555555
Mandya,4949.019607843137
Mysore,5296.9839723444375
Raichur,5196.723707664884
Shimoga,6454.772727272727
Tumkur,4321.543371522095
