District,arrival_weighted_price
Bagalkot,3596.5205377147126
Bangalore,4874.11003236246
Belgaum,3515.864269141531
Bellary,4009.3963209372596
Bijapur,4171.93670886076
Chamrajnagar,1664.1509433962265
Chikmagalur,3870.289024390244
Chitradurga,3864.104208705679
Davangere,3210.1898340248963
Dharwad,3791.480770010132
Gadag,3614.093480210786
Gulbarga,3962.7583012578502
Haveri,3469.7255301794453
Karwar(Uttar Kannad),3504.1728395061727
Kolar,3164.6577902359263
Koppal,3578.502275025278
Mysore,3054.883855981417
Raichur,3938.7171222450197
Shimoga,5893.75
Tumkur,3814.241002117149
Udupi,3529.75
