District,arrival_weighted_price
Bagalkot,1745.8073744437381
Bangalore,2230.8068201792935
Belgaum,1836.7185813415574
Bellary,1401.2328207631601
Bidar,2652.4984813292835
Bijapur,1815.8483754512636
Chamrajnagar,1126.7241379310344
Chikmagalur,2196.7891304347827
Chitradurga,1350.0
Davangere,1281.3904199475066
Dharwad,1621.9244071146245
Gadag,1556.9017358339984
Gulbarga,2504.5002920560746
Hassan,1690.1364942528735
Haveri,1339.4684848484849
Karwar(Uttar Kannad),2300.0
Kolar,1818.0
Koppal,1297.8877551020407
Mandya,1500.0
Mysore,1767.939393939394
Raichur,1349.5729327170004
Shimoga,2790.4545454545455
Tumkur,1334.108843537415
