District,arrival_weighted_price
Bagalkot,1265.729736131508
Bangalore,1583.0431170886077
Belgaum,1351.1935613077655
Bellary,1313.0821676295793
Bidar,1413.3082901554403
Bijapur,1160.5841754461405
Chamrajnagar,1201.046559599234
Chikmagalur,1492.4451371017838
Chitradurga,1292.466593938749
Davangere,1306.520779278413
Dharwad,1402.844862644486
Gadag,1320.660515819231
Gulbarga,1448.298755186722
Hassan,1300.2480970814668
Haveri,1259.9954710685493
Karwar(Uttar Kannad),1285.3620751555768
Kolar,2706.3101778817386
Koppal,1307.0438964909904
Madikeri(Kodagu),1059.2491243432573
Mandya,1272.215909090909
Mysore,1162.1043933930728
Raichur,1467.785217940619
Shimoga,1225.821685591711
Tumkur,1399.8581800580832
