District,arrival_weighted_price
Bangalore,4275.998942714664
Belgaum,3403.616570327553
Bellary,1512.289685442575
Bidar,3455.4932402317636
Chamrajnagar,3991.8444714459297
Chikmagalur,2239.3662453531597
Chitradurga,2873.8367346938776
Davangere,2951.31953213953
Dharwad,1110.1694915254238
Gadag,1854.5298013245033
Gulbarga,3119.4312138728324
Hassan,3783.172231107557
Haveri,1854.1563275434244
Karwar(Uttar Kannad),2565.1785714285716
Kolar,2586.9375750019844
Koppal,2118.6461448825016
Madikeri(Kodagu),1765.167701863354
Mandya,2487.679876312149
Mangalore(Dakshin Kannad),2997.2897772474143
Mysore,3445.9669273536806
Raichur,1970.9275810580205
Shimoga,3252.637729468599
Tumkur,2181.712712712713
Udupi,2869.5945945945946
