District,arrival_weighted_price
Bagalkot,1736.2957494407158
Bangalore,2751.304079847304
Belgaum,1707.9957494407158
Bellary,2257.013720742534
Bidar,2000.641130870953
Bijapur,2342.200826934436
Chikmagalur,1907.140625
Chitradurga,2644.0
Davangere,2351.80749682338
Dharwad,1777.7642566191446
Gadag,1929.2806281861535
Gulbarga,1100.0
Hassan,2386.212679725948
Haveri,1428.4271013990058
Koppal,1827.4021094264997
Mandya,2463.4615384615386
Mysore,2439.0456140350875
Raichur,1734.096463022508
Shimoga,2876.6360725720383
