"Crop Production Statistics",,,,,
,,,,,
"State/Crop/District","Year","Season","Area (Hectare)","Production (Tonnes)","Yield (Tonnes/Hectare)"
"Karnataka",,,,,
"Arhar/Tur",,,,,
" 1.BAGALKOTE"," 2008-09","Kharif     ",1056,288,0.27
," 2009-10","Kharif     ",4811,2610,0.54
," 2010-11","Kharif     ",11231,5708,0.51
," 2011-12","Kharif     ",7437,1915,0.26
," 2012-13","Kharif     ",949,209,0.22
," 2013-14","Kharif     ",4074,2129,0.52
," 2014-15","Kharif     ",6144,2673,0.44
," 2015-16","Kharif     ",4547,1261,0.28
," 2016-17","Kharif     ",37261,29239,0.78
," 2017-18","Kharif     ",23003,15974,0.69
," 2018-19","Kharif     ",42565,19329,0.45
" 2.BALLARI"," 2008-09","Kharif     ",9640,4854,0.50
," 2009-10","Kharif     ",8938,3303,0.37
," 2010-11","Kharif     ",10544,4367,0.41
," 2011-12","Kharif     ",9066,2989,0.33
," 2012-13","Kharif     ",5127,1802,0.35
," 2013-14","Kharif     ",3325,1614,0.49
," 2014-15","Kharif     ",3427,1319,0.38
," 2015-16","Kharif     ",2931,1041,0.36
," 2016-17","Kharif     ",11946,7036,0.59
," 2017-18","Kharif     ",9363,7694,0.82
," 2018-19","Kharif     ",13708,9168,0.67
" 3.BANGALORE RURAL"," 2008-09","Kharif     ",1340,1419,1.06
," 2009-10","Kharif     ",1306,1069,0.82
," 2010-11","Kharif     ",1640,1806,1.10
," 2011-12","Kharif     ",1650,1014,0.61
," 2012-13","Kharif     ",1197,729,0.61
," 2013-14","Kharif     ",1274,815,0.64
," 2014-15","Kharif     ",1554,1736,1.12
," 2015-16","Kharif     ",1416,527,0.37
," 2016-17","Kharif     ",1274,2301,1.81
," 2017-18","Kharif     ",1347,1144,0.85
," 2018-19","Kharif     ",815,782,0.96
" 4.BELAGAVI"," 2008-09","Kharif     ",4237,1715,0.40
," 2009-10","Kharif     ",4671,1424,0.30
," 2010-11","Kharif     ",5623,1955,0.35
," 2011-12","Kharif     ",4160,1636,0.39
," 2012-13","Kharif     ",2314,1167,0.50
," 2013-14","Kharif     ",3834,1650,0.43
," 2014-15","Kharif     ",2869,2322,0.81
," 2015-16","Kharif     ",5075,1143,0.23
," 2016-17","Kharif     ",9895,7295,0.74
," 2017-18","Kharif     ",6278,4276,0.68
," 2018-19","Kharif     ",14881,7719,0.52
" 5.BENGALURU URBAN"," 2008-09","Kharif     ",714,376,0.53
," 2009-10","Kharif     ",617,285,0.46
," 2010-11","Kharif     ",737,432,0.59
," 2011-12","Kharif     ",1013,464,0.46
," 2012-13","Kharif     ",638,452,0.71
," 2013-14","Kharif     ",1011,929,0.92
," 2014-15","Kharif     ",2093,1362,0.65
," 2015-16","Kharif     ",463,170,0.37
," 2016-17","Kharif     ",821,820,1.00
," 2017-18","Kharif     ",600,569,0.95
," 2018-19","Kharif     ",461,279,0.61
" 6.BIDAR"," 2008-09","Kharif     ",62667,50782,0.81
," 2009-10","Kharif     ",67000,49647,0.74
," 2010-11","Kharif     ",72728,65568,0.90
," 2011-12","Kharif     ",76010,44842,0.59
," 2012-13","Kharif     ",68625,82666,1.20
," 2013-14","Kharif     ",73270,59305,0.81
," 2014-15","Kharif     ",65965,44243,0.67
," 2015-16","Kharif     ",67453,29797,0.44
," 2016-17","Kharif     ",81611,101487,1.24
," 2017-18","Kharif     ",78680,129909,1.65
," 2018-19","Kharif     ",77019,34828,0.45
" 7.CHAMARAJANAGARA"," 2008-09","Kharif     ",2349,1196,0.51
," 2009-10","Kharif     ",1949,1494,0.77
," 2010-11","Kharif     ",1292,676,0.52
," 2011-12","Kharif     ",1371,598,0.44
," 2012-13","Kharif     ",917,883,0.96
," 2013-14","Kharif     ",1124,366,0.33
," 2014-15","Kharif     ",1054,473,0.45
," 2015-16","Kharif     ",542,141,0.26
," 2016-17","Kharif     ",821,68,0.08
," 2017-18","Kharif     ",786,755,0.96
," 2018-19","Kharif     ",962,442,0.46
" 8.CHIKKABALLAPURA"," 2008-09","Kharif     ",8247,4309,0.52
," 2009-10","Kharif     ",3894,1539,0.40
," 2010-11","Kharif     ",10964,9260,0.84
," 2011-12","Kharif     ",7279,4951,0.68
," 2012-13","Kharif     ",5802,2210,0.38
," 2013-14","Kharif     ",4989,4033,0.81
," 2014-15","Kharif     ",3417,1834,0.54
," 2015-16","Kharif     ",7682,3780,0.49
," 2016-17","Kharif     ",13168,4979,0.38
," 2017-18","Kharif     ",10720,11172,1.04
," 2018-19","Kharif     ",4417,1229,0.28
" 9.CHIKKAMAGALURU"," 2008-09","Kharif     ",597,314,0.53
," 2009-10","Kharif     ",717,332,0.46
