"Min,Max,Modal Price from Karnataka[Arhar Dal(Tur Dal)] from 01-Jan-2013To31-Dec-2013 (Total-210) (Total-210)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
75,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5800,6850,6200,25-May-13
206,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6400,7500,6950,25-May-13
79,Kolar,Chintamani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2800,3500,3200,26-May-13
74,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5800,7020,6200,27-May-13
143,Mysore,Mysore (Bandipalya),Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,7300,6600,27-May-13
205,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),Large,6450,7500,6975,27-May-13
14,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,6825,7000,6850,28-May-13
73,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5800,7020,6200,28-May-13
78,Kolar,Chintamani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2850,3500,3000,28-May-13
87,Hassan,Hassan,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6620,6800,6800,28-May-13
97,Udupi,Kundapura,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5900,6316,6316,28-May-13
142,Mysore,Mysore (Bandipalya),Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,7200,6600,28-May-13
204,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6400,7550,6975,28-May-13
72,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6200,7200,6600,29-May-13
203,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6400,7550,6975,29-May-13
71,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6200,7200,6600,30-May-13
141,Mysore,Mysore (Bandipalya),Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,7200,6600,30-May-13
202,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6450,7500,6975,30-May-13
70,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6200,7200,6600,31-May-13
140,Mysore,Mysore (Bandipalya),Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,7200,6600,31-May-13
201,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),Large,6400,7500,6950,31-May-13
69,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6100,7200,6700,1-Jun-13
139,Mysore,Mysore (Bandipalya),Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,7200,6600,1-Jun-13
200,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6500,7500,7000,1-Jun-13
68,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6100,7200,6700,3-Jun-13
103,Madikeri(Kodagu),Madikeri,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5980,5980,5980,3-Jun-13
138,Mysore,Mysore (Bandipalya),Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,7300,6650,3-Jun-13
198,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),Large,6400,7650,7025,3-Jun-13
199,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6400,7650,7025,3-Jun-13
67,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6100,7200,6700,4-Jun-13
197,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6400,7600,7000,4-Jun-13
66,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6440,6900,6500,5-Jun-13
96,Udupi,Kundapura,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5850,5850,5850,5-Jun-13
137,Mysore,Mysore (Bandipalya),Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,7200,6600,5-Jun-13
196,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6400,7600,7000,5-Jun-13
65,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6200,6800,6500,6-Jun-13
195,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),Large,6500,7600,7050,6-Jun-13
64,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6200,6800,6500,7-Jun-13
194,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),Large,6500,7500,7000,7-Jun-13
63,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5800,6900,6500,10-Jun-13
193,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),Large,6400,7650,7025,10-Jun-13
62,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5800,7100,6400,11-Jun-13
136,Mysore,Mysore (Bandipalya),Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,7200,6600,11-Jun-13
192,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),Large,6500,7650,7075,11-Jun-13
61,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5600,7000,6300,12-Jun-13
135,Mysore,Mysore (Bandipalya),Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,7200,6600,12-Jun-13
191,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),Large,6400,7650,7025,12-Jun-13
60,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5600,7160,6300,13-Jun-13
86,Hassan,Hassan,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5000,7000,6800,13-Jun-13
95,Udupi,Kundapura,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5644,5644,5644,13-Jun-13
134,Mysore,Mysore (Bandipalya),Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,7200,6600,13-Jun-13
190,Shimoga,Shimoga,Arhar Dal(Tur Dal),Arhar Dal(Tur),Large,6400,7650,7025,13-Jun-13
13,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,5825,6800,6200,14-Jun-13
59,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5600,7160,6300,14-Jun-13
