State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Bagalkot,Badami,Bajra,28,175,01-Jan-2010
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,24,01-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Bajra,28,5,01-Jan-2010
Karnataka,KK,Bellary,Kottur,Bajra,28,2,01-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,5,01-Jan-2010
Karnataka,KK,Gadag,Rona,Bajra,28,3,01-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,15,01-Jan-2010
Karnataka,KK,Raichur,Lingasugur,Bajra,28,78,01-Jan-2010
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,8,02-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Bajra,28,2,02-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,7,02-Jan-2010
Karnataka,KK,Bijapur,Bijapur,Bajra,28,8,02-Jan-2010
Karnataka,KK,Bijapur,Talikot,Bajra,28,1,02-Jan-2010
Karnataka,KK,Gadag,Rona,Bajra,28,3,02-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,15,02-Jan-2010
Karnataka,KK,Raichur,Lingasugur,Bajra,28,98,02-Jan-2010
Karnataka,KK,Belgaum,Ramdurga,Bajra,28,7,03-Jan-2010
Karnataka,KK,Bagalkot,Badami,Bajra,28,117,04-Jan-2010
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,29,04-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,13,04-Jan-2010
Karnataka,KK,Bijapur,Bijapur,Bajra,28,34,04-Jan-2010
Karnataka,KK,Gadag,Rona,Bajra,28,3,04-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,20,04-Jan-2010
Karnataka,KK,Koppal,Koppal,Bajra,28,15,04-Jan-2010
Karnataka,KK,Raichur,Lingasugur,Bajra,28,89,04-Jan-2010
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,21,05-Jan-2010
Karnataka,KK,Bangalore,Bangalore,Bajra,28,12,05-Jan-2010
Karnataka,KK,Bellary,Bellary,Bajra,28,3,05-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,9,05-Jan-2010
Karnataka,KK,Bijapur,Bijapur,Bajra,28,15,05-Jan-2010
Karnataka,KK,Gadag,Rona,Bajra,28,1,05-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,25,05-Jan-2010
Karnataka,KK,Raichur,Lingasugur,Bajra,28,44,05-Jan-2010
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,6,06-Jan-2010
Karnataka,KK,Bagalkot,Hungund,Bajra,28,7,06-Jan-2010
Karnataka,KK,Bellary,Bellary,Bajra,28,6,06-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,6,06-Jan-2010
Karnataka,KK,Bidar,Humanabad,Bajra,28,1,06-Jan-2010
Karnataka,KK,Gadag,Rona,Bajra,28,1,06-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,15,06-Jan-2010
Karnataka,KK,Raichur,Lingasugur,Bajra,28,50,06-Jan-2010
Karnataka,KK,Bagalkot,Badami,Bajra,28,6,07-Jan-2010
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,9,07-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,10,07-Jan-2010
Karnataka,KK,Bijapur,Bijapur,Bajra,28,33,07-Jan-2010
Karnataka,KK,Gadag,Rona,Bajra,28,1,07-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,30,07-Jan-2010
Karnataka,KK,Koppal,Koppal,Bajra,28,11,07-Jan-2010
Karnataka,KK,Raichur,Lingasugur,Bajra,28,67,07-Jan-2010
Karnataka,KK,Raichur,Raichur,Bajra,28,1,07-Jan-2010
Karnataka,KK,Bagalkot,Badami,Bajra,28,46,08-Jan-2010
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,6,08-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,5,08-Jan-2010
Karnataka,KK,Bijapur,Bijapur,Bajra,28,30,08-Jan-2010
Karnataka,KK,Bijapur,Sindagi,Bajra,28,10,08-Jan-2010
Karnataka,KK,Gadag,Rona,Bajra,28,1,08-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,25,08-Jan-2010
Karnataka,KK,Raichur,Lingasugur,Bajra,28,124,08-Jan-2010
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,9,09-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,9,09-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,20,09-Jan-2010
Karnataka,KK,Raichur,Raichur,Bajra,28,2,09-Jan-2010
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,19,11-Jan-2010
Karnataka,KK,Bellary,Kottur,Bajra,28,9,11-Jan-2010
Karnataka,KK,Bidar,Basava Kalayana,Bajra,28,13,11-Jan-2010
Karnataka,KK,Bijapur,Bijapur,Bajra,28,20,11-Jan-2010
Karnataka,KK,Bijapur,Talikot,Bajra,28,1,11-Jan-2010
Karnataka,KK,Gadag,Rona,Bajra,28,1,11-Jan-2010
Karnataka,KK,Gulbarga,Gulbarga,Bajra,28,21,11-Jan-2010
Karnataka,KK,Koppal,Koppal,Bajra,28,16,11-Jan-2010
Karnataka,KK,Raichur,Lingasugur,Bajra,28,85,11-Jan-2010
Karnataka,KK,Raichur,Raichur,Bajra,28,1,11-Jan-2010
Karnataka,KK,Bagalkot,Bagalakot,Bajra,28,10,12-Jan-2010
Karnataka,KK,Bellary,Kottur,Bajra,28,1,12-Jan-2010
