"Min,Max,Modal Price from Karnataka[Bajra(Pearl Millet/Cumbu)] from 01-Jan-2012To31-Dec-2012 (Total-2438) (Total-2438)",,,,,,,,,
Sl no.,``````,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1501,Bidar,Humanabad,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,950,950,950,1-Jan-12
1848,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,995,995,995,1-Jan-12
2022,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,960,1050,1010,1-Jan-12
268,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,936,1041,1032,2-Jan-12
602,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,920,1200,1050,2-Jan-12
813,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1072,1082,1072,2-Jan-12
1336,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,922,1176,1021,2-Jan-12
1509,Bagalkot,Hungund,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,1001,980,2-Jan-12
1623,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,998,1351,1180,2-Jan-12
1664,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1000,1026,1021,2-Jan-12
1847,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,995,995,995,2-Jan-12
2098,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,960,1016,995,2-Jan-12
2361,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,750,1200,975,2-Jan-12
2438,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,800,1069,900,2-Jan-12
267,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,951,1025,951,3-Jan-12
601,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,910,1150,1000,3-Jan-12
812,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1032,1217,1050,3-Jan-12
1031,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,900,1050,1000,3-Jan-12
1335,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,926,1176,1051,3-Jan-12
1424,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,950,950,950,3-Jan-12
1500,Bidar,Humanabad,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,900,1030,951,3-Jan-12
1508,Bagalkot,Hungund,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,1000,980,3-Jan-12
1663,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1032,1032,1032,3-Jan-12
1846,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,990,1010,1000,3-Jan-12
1951,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,948,969,969,3-Jan-12
