"Min,Max,Modal Price from Karnataka[Bajra(Pearl Millet/Cumbu)] from 01-Jan-2018To31-Dec-2018 (Total-2702) (Total-2702)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
216,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1045,1180,1143,1-Jan-18
632,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1050,1275,1110,1-Jan-18
882,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,869,1567,1153,1-Jan-18
985,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1100,1050,1-Jan-18
1301,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1025,1675,1285,1-Jan-18
1661,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,956,1077,1016,1-Jan-18
1832,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1090,1110,1106,1-Jan-18
2108,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1070,1070,1070,1-Jan-18
2379,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1001,1256,1122,1-Jan-18
2681,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1037,1193,1072,1-Jan-18
215,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1055,1165,1128,2-Jan-18
399,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1750,1900,1825,2-Jan-18
631,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1020,1300,1100,2-Jan-18
881,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1015,1521,1215,2-Jan-18
1300,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1044,1452,1275,2-Jan-18
1831,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1106,1126,1118,2-Jan-18
2107,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1070,1070,1070,2-Jan-18
2378,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1055,1180,1147,2-Jan-18
2680,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1060,1168,1096,2-Jan-18
214,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1062,1166,1115,3-Jan-18
630,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1080,1250,1120,3-Jan-18
880,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1088,1509,1241,3-Jan-18
984,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1075,1050,3-Jan-18
1299,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1032,1525,1354,3-Jan-18
1449,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1000,1080,1050,3-Jan-18
1830,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1120,1130,1126,3-Jan-18
2377,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1080,1212,1120,3-Jan-18
2679,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1046,1216,1081,3-Jan-18
213,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1055,1101,1089,4-Jan-18
398,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1750,1900,1825,4-Jan-18
629,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1000,1130,1100,4-Jan-18
879,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,933,1616,1313,4-Jan-18
1298,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1012,1502,1255,4-Jan-18
1829,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1120,1131,1127,4-Jan-18
2106,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1070,1070,1070,4-Jan-18
2376,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1210,1129,4-Jan-18
2678,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1229,1074,4-Jan-18
50,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Small,1100,1100,1100,5-Jan-18
212,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1036,1126,1082,5-Jan-18
397,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1750,1900,1825,5-Jan-18
