State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Haveri,Shiggauv,Cotton,15,17,01-Jan-2017
Karnataka,KK,Karwar(Uttar Kannad),Haliyala,Cotton,15,80,01-Jan-2017
Karnataka,KK,Mysore,Hunsur,Cotton,15,7,01-Jan-2017
Karnataka,KK,Belgaum,Soundati,Cotton,15,189,02-Jan-2017
Karnataka,KK,Bellary,Kottur,Cotton,15,67,02-Jan-2017
Karnataka,KK,Bijapur,Bijapur,Cotton,15,153,02-Jan-2017
Karnataka,KK,Davangere,Davangere,Cotton,15,3,02-Jan-2017
Karnataka,KK,Dharwad,Annigeri,Cotton,15,47,02-Jan-2017
Karnataka,KK,Dharwad,Dharwar,Cotton,15,25,02-Jan-2017
Karnataka,KK,Dharwad,Hubli (Amaragol),Cotton,15,11,02-Jan-2017
Karnataka,KK,Gadag,Gadag,Cotton,15,8,02-Jan-2017
Karnataka,KK,Gadag,Nargunda,Cotton,15,25,02-Jan-2017
Karnataka,KK,Gadag,Rona,Cotton,15,1,02-Jan-2017
Karnataka,KK,Gulbarga,Gulburga(Jhevargi),Cotton,15,70,02-Jan-2017
Karnataka,KK,Haveri,Haveri,Cotton,15,177,02-Jan-2017
Karnataka,KK,Haveri,Ranebennur,Cotton,15,490,02-Jan-2017
Karnataka,KK,Haveri,Savanur,Cotton,15,52,02-Jan-2017
Karnataka,KK,Mysore,Nanjangud,Cotton,15,9,02-Jan-2017
Karnataka,KK,Raichur,Raichur,Cotton,15,106,02-Jan-2017
Karnataka,KK,Raichur,Sindhanur,Cotton,15,39,02-Jan-2017
Karnataka,KK,Bellary,Bellary,Cotton,15,5,03-Jan-2017
Karnataka,KK,Bijapur,Bijapur,Cotton,15,94,03-Jan-2017
Karnataka,KK,Chitradurga,Chitradurga,Cotton,15,126,03-Jan-2017
Karnataka,KK,Davangere,Davangere,Cotton,15,1,03-Jan-2017
Karnataka,KK,Dharwad,Annigeri,Cotton,15,116,03-Jan-2017
Karnataka,KK,Dharwad,Hubli (Amaragol),Cotton,15,13,03-Jan-2017
Karnataka,KK,Gadag,Gadag,Cotton,15,8,03-Jan-2017
Karnataka,KK,Gadag,Nargunda,Cotton,15,47,03-Jan-2017
Karnataka,KK,Gulbarga,Gulburga(Jhevargi),Cotton,15,21,03-Jan-2017
Karnataka,KK,Haveri,Haveri,Cotton,15,78,03-Jan-2017
Karnataka,KK,Haveri,Savanur,Cotton,15,18,03-Jan-2017
Karnataka,KK,Haveri,Shiggauv,Cotton,15,28,03-Jan-2017
Karnataka,KK,Raichur,Manvi,Cotton,15,40,03-Jan-2017
Karnataka,KK,Raichur,Raichur,Cotton,15,137,03-Jan-2017
Karnataka,KK,Raichur,Sindhanur,Cotton,15,26,03-Jan-2017
Karnataka,KK,Belgaum,Sankeshwar,Cotton,15,1,04-Jan-2017
Karnataka,KK,Bijapur,Bijapur,Cotton,15,94,04-Jan-2017
Karnataka,KK,Davangere,Davangere,Cotton,15,2,04-Jan-2017
Karnataka,KK,Dharwad,Annigeri,Cotton,15,297,04-Jan-2017
Karnataka,KK,Dharwad,Hubli (Amaragol),Cotton,15,4,04-Jan-2017
Karnataka,KK,Gadag,Gadag,Cotton,15,5,04-Jan-2017
Karnataka,KK,Gadag,Nargunda,Cotton,15,51,04-Jan-2017
Karnataka,KK,Gulbarga,Gulburga(Jhevargi),Cotton,15,19,04-Jan-2017
Karnataka,KK,Haveri,Haveri,Cotton,15,73,04-Jan-2017
Karnataka,KK,Haveri,Ranebennur,Cotton,15,171,04-Jan-2017
Karnataka,KK,Haveri,Shiggauv,Cotton,15,50,04-Jan-2017
Karnataka,KK,Koppal,Yalburga,Cotton,15,12,04-Jan-2017
Karnataka,KK,Mysore,Nanjangud,Cotton,15,9,04-Jan-2017
Karnataka,KK,Raichur,Manvi,Cotton,15,37,04-Jan-2017
