"Min,Max,Modal Price from Karnataka[Cotton] from 01-Jan-2017To31-Dec-2017 (Total-3263) (Total-3263)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1237,Karwar(Uttar Kannad),Haliyala,Cotton,Varalakshmi (Ginned),FAQ,5369,6486,6149,1-Jan-17
1619,Mysore,Hunsur,Cotton,H-4(A) 27mm FIne,FAQ,5300,5300,5300,1-Jan-17
2814,Haveri,Shiggauv,Cotton,GCH,FAQ,4259,5335,5200,1-Jan-17
2815,Haveri,Shiggauv,Cotton,Varalakshmi (Ginned),FAQ,5800,6399,6000,1-Jan-17
210,Dharwad,Annigeri,Cotton,GCH,FAQ,3850,5450,5250,2-Jan-17
565,Bijapur,Bijapur,Cotton,LH-1556,FAQ,4165,5551,5455,2-Jan-17
812,Davangere,Davangere,Cotton,MCU 5,FAQ,4059,6290,5471,2-Jan-17
862,Dharwad,Dharwar,Cotton,LH-1556,FAQ,5069,6459,5540,2-Jan-17
1047,Gadag,Gadag,Cotton,GCH,FAQ,4077,5201,5035,2-Jan-17
1137,Gulbarga,Gulburga(Jhevargi),Cotton,GCH,FAQ,4950,5400,5150,2-Jan-17
1424,Haveri,Haveri,Cotton,GCH,FAQ,3885,5012,4869,2-Jan-17
1598,Dharwad,Hubli (Amaragol),Cotton,GCH,FAQ,3909,5539,5359,2-Jan-17
1703,Bellary,Kottur,Cotton,GCH,FAQ,3135,5569,4935,2-Jan-17
1924,Mysore,Nanjangud,Cotton,Other,FAQ,4000,4000,4000,2-Jan-17
2044,Gadag,Nargunda,Cotton,GCH,Medium,5095,5300,5170,2-Jan-17
2302,Raichur,Raichur,Cotton,F-1054,FAQ,4500,5400,4900,2-Jan-17
2485,Haveri,Ranebennur,Cotton,GCH,Medium,2839,5759,5390,2-Jan-17
2486,Haveri,Ranebennur,Cotton,Varalakshmi (Ginned),Medium,3169,6679,5839,2-Jan-17
2493,Gadag,Rona,Cotton,Jayadhar,FAQ,4500,4900,4721,2-Jan-17
